CIK,resolved_ticker,matched_alias,matched_articles,title_matches,body_matches,exact_ticker_matches,direct_high_confidence_edges,multi_company_high_confidence_edges,training_high_confidence_edges,training_distinct_recorded_dates,publisher_count,native_tag_agreement_rate,top_publisher_hash,top_publisher_fraction,publisher_entropy,training_days_denominator,training_day_coverage,risk_flags,risk_flag_count
1434524,CLIR,clearsign technologies,233,13.0,220.0,0.0,9.0,106.0,89.0,14,1,0.1759656652360515,08f472aed74b038b1cd05a1e3cd5afd5b1a5ccd3c9ab2b14bf706239f26376a8,1.0,-0.0,1008,0.013888888888888888,PUBLISHER_CONCENTRATION_GE_80_PERCENT,1
6201,AAL,AAL,72,0.0,0.0,72.0,7.0,65.0,47.0,20,1,0.3888888888888889,1b425b87521ec0ab5e4c02aa6bbf44fa197505a03a1fa7f593d749168cc34d2f,1.0,-0.0,1008,0.01984126984126984,SINGLE_TOKEN_SEMANTIC_RISK,1
883569,FOSL,FOSL,51,0.0,0.0,51.0,50.0,1.0,0.0,0,1,0.9803921568627451,deb56840b9cdc03f6c4ee4d521ae2d441afded63a6b8dfc35db2427b482be521,1.0,-0.0,1008,0.0,SINGLE_TOKEN_SEMANTIC_RISK,1
1383149,UDN,invesco db us dollar index bearish fund,40,0.0,40.0,0.0,0.0,18.0,0.0,0,0,0.3,,0.0,0.0,0,0.0,NONE,0
1565025,ABEV,ambev s a,789,63.0,726.0,0.0,58.0,661.0,317.0,69,5,0.25602027883396705,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.5,1.3143738430069454,1008,0.06845238095238096,NONE,0
1173643,TRX,tanzanian gold,91,55.0,36.0,0.0,69.0,20.0,65.0,31,2,0.26373626373626374,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,0.5882352941176471,0.6774944044487072,1008,0.030753968253968252,NONE,0
1383058,DBO,invesco db oil fund,502,2.0,500.0,0.0,3.0,123.0,16.0,8,0,0.10358565737051793,,0.0,0.0,1008,0.007936507936507936,NONE,0
6845,APOG,APOG,4,0.0,0.0,4.0,0.0,4.0,4.0,1,0,0.0,,0.0,0.0,1008,0.000992063492063492,SINGLE_TOKEN_SEMANTIC_RISK,1
1652130,NTLA,NTLA,51,0.0,0.0,51.0,1.0,50.0,43.0,11,1,0.2549019607843137,08f472aed74b038b1cd05a1e3cd5afd5b1a5ccd3c9ab2b14bf706239f26376a8,1.0,-0.0,1008,0.010912698412698412,SINGLE_TOKEN_SEMANTIC_RISK,1
726958,CASY,CASY,259,0.0,0.0,259.0,31.0,228.0,115.0,56,0,0.5482625482625483,,0.0,0.0,1008,0.05555555555555555,SINGLE_TOKEN_SEMANTIC_RISK,1
1293613,KYN,kayne anderson energy infrastructure fund,18,3.0,15.0,0.0,0.0,6.0,6.0,4,0,0.3888888888888889,,0.0,0.0,1008,0.003968253968253968,NONE,0
1607997,NMS,nuveen minnesota quality municipal income fund,43,41.0,2.0,0.0,12.0,29.0,38.0,33,1,0.9534883720930233,7276994fe3b691a33351d3624d75910566c16617a432697d5d342172678d794d,1.0,-0.0,1008,0.03273809523809524,NONE,0
