period,slice,model,n,dates,BA,MCC,Brier,up_recall,down_recall,pred_up,actual_up,mean_probability
test,2018-11,body,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-11,semantic,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-11,static,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-11,gate,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-11,gate_cal,60,20,0.5416666666666667,0.08206099398622183,0.2638844102010932,0.5833333333333334,0.5,0.55,0.6,0.5231545980698483
test,2018-11,primary_gate,60,20,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5833333333333334,0.4583333333333333,0.5666666666666667,0.6,0.5286494985133012
test,2018-12,constant,54,18,0.5,0.0,0.25,1.0,0.0,1.0,0.35185185185185186,0.5
test,2018-12,prior,54,18,0.5,0.0,0.2661716961719773,1.0,0.0,1.0,0.35185185185185186,0.5470941883767536
test,2018-12,title,54,18,0.5135338345864662,0.02742042485535409,0.27944447495014607,0.6842105263157895,0.34285714285714286,0.6666666666666666,0.35185185185185186,0.5920703615622268
test,2018-12,price,54,18,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5688141779806959
test,2018-12,old_body,54,18,0.5894736842105264,0.17138276114211987,0.2450768686871347,0.5789473684210527,0.6,0.46296296296296297,0.35185185185185186,0.5043966815102817
test,2018-12,old_semantic,54,18,0.5015037593984962,0.0029741626587270107,0.2884243643181007,0.631578947368421,0.37142857142857144,0.6296296296296297,0.35185185185185186,0.5735785418199196
test,2018-12,old_integrated,54,18,0.47744360902255634,-0.043355498476206,0.24961809296025605,0.5263157894736842,0.42857142857142855,0.5555555555555556,0.35185185185185186,0.5393375995419534
test,2018-12,body,54,18,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5688141779806959
test,2018-12,semantic,54,18,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5688141779806959
test,2018-12,static,54,18,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5688141779806959
test,2018-12,gate,54,18,0.42030075187969923,-0.15763062091253158,0.2713014992300027,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5688141779806959
test,2018-12,gate_cal,54,18,0.42030075187969923,-0.15763062091253158,0.26440684019552013,0.5263157894736842,0.3142857142857143,0.6296296296296297,0.35185185185185186,0.5599633764496416
