method,symbol,period,scope,n,BA,MCC,Brier,pred_up,constant,up_rate,invalid_n,news_ratio,days
llm_news,AMZN,validation,all,126,0.5306122448979592,0.06456195123721009,0.30710497632844347,0.30952380952380953,False,0.3888888888888889,0,0.5793650793650794,42
llm_news,AMZN,2018-09,all,57,0.5431034482758621,0.08652717095470748,0.31860504561601294,0.45614035087719296,False,0.49122807017543857,0,0.6666666666666666,19
llm_news,AMZN,2018-10,all,69,0.46726190476190477,-0.0770456245185723,0.29760491909088604,0.18840579710144928,False,0.30434782608695654,0,0.5072463768115942,23
llm_news,AMZN,2018-11,all,60,0.5277777777777778,0.060398433888913625,0.36749619759677205,0.2833333333333333,False,0.6,0,0.5166666666666667,20
llm_news,AMZN,2018-12,all,54,0.5864661654135338,0.20504842951441307,0.25159290049821714,0.2037037037037037,False,0.35185185185185186,0,0.5,18
llm_news,AMZN,2019-01,all,63,0.44473684210526315,-0.11470786693528089,0.3762638208320512,0.3333333333333333,False,0.6031746031746031,0,0.4126984126984127,21
llm_news,AMZN,2019-02,all,2,0.5,0.0,0.34774684124042027,0.0,True,0.5,0,0.0,1
llm_price,AAPL,test,all,178,0.47088543640267777,-0.058451037782362686,0.2921684140351836,0.4550561797752809,False,0.4887640449438202,0,1.0,60
llm_price,AAPL,validation,all,126,0.5185091277890467,0.03697609087413528,0.27262563384578814,0.5317460317460317,False,0.4603174603174603,0,0.9841269841269841,42
llm_price,AAPL,2018-09,all,57,0.5634236453201971,0.1302608319197154,0.25216463756045704,0.6140350877192983,False,0.49122807017543857,0,0.9824561403508771,19
llm_price,AAPL,2018-10,all,69,0.47307692307692306,-0.05352685998753094,0.28952819599453994,0.463768115942029,False,0.43478260869565216,0,0.9855072463768116,23
llm_price,AAPL,2018-11,all,60,0.4532814238042269,-0.09531089965802728,0.299764133179954,0.4,False,0.5166666666666667,0,1.0,20
llm_price,AAPL,2018-12,all,53,0.44040247678018574,-0.12069914437862586,0.30419127438480975,0.33962264150943394,False,0.3584905660377358,0,1.0,18
llm_price,AAPL,2019-01,all,63,0.47609147609147606,-0.04781704781704782,0.27121068867216075,0.5873015873015873,False,0.5873015873015873,0,1.0,21
llm_price,AAPL,2019-02,all,2,,0.0,0.4058593893621969,1.0,True,0.0,0,1.0,1
llm_price,AMZN,test,all,179,0.488360450563204,-0.02344399209786283,0.2846161316727275,0.5642458100558659,False,0.5251396648044693,0,0.4692737430167598,60
llm_price,AMZN,validation,all,126,0.5593692022263451,0.1183158186634457,0.23785030531635692,0.3968253968253968,False,0.3888888888888889,0,0.5793650793650794,42
llm_price,AMZN,2018-09,all,57,0.5794334975369457,0.15906300624662031,0.2451997594995553,0.5263157894736842,False,0.49122807017543857,0,0.6666666666666666,19
llm_price,AMZN,2018-10,all,69,0.49702380952380953,-0.00603681610520369,0.23177901707806253,0.2898550724637681,False,0.30434782608695654,0,0.5072463768115942,23
llm_price,AMZN,2018-11,all,60,0.5277777777777778,0.05455447255899809,0.2781957323001048,0.5333333333333333,False,0.6,0,0.5166666666666667,20
