method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
P_own_tabpfn,AMZN,development,126,0.5742115027829313,0.16622858516380254,0.2572197099066059,0.746031746031746,0
P_own_tabpfn,AMZN,later,179,0.5227784730913642,0.04799788190327827,0.25087018368650754,0.659217877094972,0
P_own_tabpfn,AMZN,train_forward_oof,382,0.4915237911770372,-0.021190376267280098,0.2604382972410834,0.8010471204188482,0
T_A1,AAPL,development,126,0.5190162271805274,0.04311460004568581,0.2647688106374327,0.7380952380952381,0
T_A1,AAPL,later,178,0.5433876468359227,0.09297074296671386,0.26208145428619695,0.6797752808988764,0
T_A1,AAPL,train_forward_oof,383,0.505678935798433,0.011369091783513554,0.28558971342457673,0.5926892950391645,0
T_A1,AMZN,development,126,0.5092764378478664,0.018146220519527786,0.26690645655544,0.5396825396825397,0
T_A1,AMZN,later,179,0.4665206508135169,-0.06725395075843722,0.2673658259970975,0.553072625698324,0
T_A1,AMZN,train_forward_oof,382,0.5444725761620387,0.0918432037233606,0.2803898456423999,0.6282722513089005,0
T_A1_interaction,AAPL,development,126,0.5443711967545639,0.08901363935873205,0.2453560357010705,0.5555555555555556,0
T_A1_interaction,AAPL,later,178,0.5453454591385626,0.09071956988061922,0.24952265767193713,0.5168539325842697,0
T_A1_interaction,AAPL,train_forward_oof,383,0.4214390395129925,-0.15499603288764577,0.274050433586317,0.5378590078328982,0
T_A1_interaction,AMZN,development,126,0.5064935064935064,0.012824880070183379,0.2573624981321281,0.42063492063492064,0
T_A1_interaction,AMZN,later,179,0.4900500625782228,-0.0199123395330595,0.2658468760209904,0.5307262569832403,0
T_A1_interaction,AMZN,train_forward_oof,382,0.5288824063626607,0.05847724589544079,0.2565019635192151,0.5837696335078534,0
T_mix,AAPL,development,126,0.5043103448275862,0.009976261268042172,0.27934016185067223,0.753968253968254,0
T_mix,AAPL,later,178,0.5019578123026399,0.005300163149005918,0.291212883219794,0.8370786516853933,0
T_mix,AAPL,train_forward_oof,383,0.5026633222479003,0.005266866462625027,0.287888166416895,0.5509138381201044,0
T_mix,AMZN,development,126,0.5231910946196661,0.04559152581164996,0.2725993851690179,0.5634920634920635,0
T_mix,AMZN,later,179,0.5172090112640801,0.03453057075782532,0.26326732732778896,0.547486033519553,0
T_mix,AMZN,train_forward_oof,382,0.49815614937942043,-0.0037773869666751555,0.31205583078329463,0.612565445026178,0
T_original,AAPL,development,126,0.4969574036511156,-0.0071210911486985625,0.2733190513554996,0.7619047619047619,0
T_original,AAPL,later,178,0.5211570039156246,0.04577523516318793,0.2633518023574482,0.6910112359550562,0
T_original,AAPL,train_forward_oof,383,0.5019587396426357,0.0038908145883661993,0.29864971767004717,0.5691906005221932,0
T_original,AMZN,development,126,0.5166975881261595,0.03289758474798845,0.27442345324434453,0.5714285714285714,0
T_original,AMZN,later,179,0.48360450563204005,-0.03289821650381903,0.26882989683051445,0.547486033519553,0
T_original,AMZN,train_forward_oof,382,0.548917081762391,0.09963263447600926,0.2911074219965548,0.599476439790576,0
T_original_interaction,AAPL,development,126,0.48073022312373226,-0.04051369561259254,0.2565389126306386,0.6587301587301587,0
T_original_interaction,AAPL,later,178,0.5016420361247947,0.003318838683576153,0.2687555774649433,0.5730337078651685,0
T_original_interaction,AAPL,train_forward_oof,383,0.4859365311989178,-0.027700829411968653,0.26110272360693426,0.5248041775456919,0
T_original_interaction,AMZN,development,126,0.4823747680890538,-0.03443854790293075,0.27912311859268985,0.5317460317460317,0
T_original_interaction,AMZN,later,179,0.47828535669586986,-0.04352745666432122,0.2723476610002291,0.5418994413407822,0
T_original_interaction,AMZN,train_forward_oof,382,0.5816247901587913,0.16343183758127247,0.24834515408039312,0.5392670157068062,0
F1_new_temperature,AAPL,development,126,0.5793610547667343,0.19548759607310848,0.24937539761252484,0.7936507936507936,0
F1_new_temperature,AAPL,later,178,0.5174308450170519,0.041750263492643866,0.2500144527776403,0.7752808988764045,0
F1_new_temperature,AAPL,train_forward_oof,383,0.503029705202638,0.006144151764253761,0.2549263073395269,0.6214099216710183,0
F1_new_temperature,AMZN,development,126,0.5667903525046383,0.1315903389919538,0.24814005474580902,0.42857142857142855,0
F1_new_temperature,AMZN,later,179,0.538235294117647,0.07657608480148803,0.24739731778855678,0.46368715083798884,0
F1_new_temperature,AMZN,train_forward_oof,382,0.5379502985937199,0.07580157347985839,0.2585922987273407,0.4816753926701571,0
F2_new_temperature,AAPL,development,126,0.5512170385395537,0.13971562617722497,0.24988440594097544,0.8412698412698413,0
F2_new_temperature,AAPL,later,178,0.5514083617531893,0.12542620043096026,0.24994576576059868,0.7865168539325843,0
F2_new_temperature,AAPL,train_forward_oof,383,0.5039033876331661,0.007732598917166891,0.2615915942622317,0.5587467362924282,0
