method,symbol,phase,original_news,n,BA,MCC,Brier,pred_up,constant
T_A1,AAPL,train_forward_oof,1,379,0.5055699855699856,0.011128735664454902,0.28534618858210453,0.5910290237467019,0
T_A1,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
T_A1,AMZN,development,1,73,0.5060386473429952,0.011715032439906943,0.26683166765753197,0.547945205479452,0
T_A1,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
T_A1,AMZN,later,1,84,0.38642898217366306,-0.22714203565267396,0.2941054337157947,0.44047619047619047,0
T_A1,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
T_A1,AMZN,train_forward_oof,1,198,0.4816044966785896,-0.03691381686658837,0.31133347066484046,0.5454545454545454,0
T_A1_interaction,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
T_A1_interaction,AAPL,development,1,124,0.5462184873949579,0.0925951636336371,0.24671197730166283,0.5564516129032258,0
T_A1_interaction,AAPL,later,1,178,0.5453454591385626,0.09071956988061922,0.24952265767193713,0.5168539325842697,0
T_A1_interaction,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
T_A1_interaction,AAPL,train_forward_oof,1,379,0.4206204906204906,-0.156345603281674,0.27368512214924573,0.5356200527704486,0
T_A1_interaction,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
T_A1_interaction,AMZN,development,1,73,0.49275362318840576,-0.014744195615489713,0.25035853394058266,0.3424657534246575,0
T_A1_interaction,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
T_A1_interaction,AMZN,later,1,84,0.4404830362277171,-0.12099808487292067,0.29086862364766164,0.39285714285714285,0
T_A1_interaction,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
T_A1_interaction,AMZN,train_forward_oof,1,198,0.44271844660194176,-0.11484513764274669,0.2652467485887971,0.4595959595959596,0
T_mix,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
T_mix,AAPL,development,1,124,0.5089285714285714,0.020750849886770974,0.28124423451819364,0.7580645161290323,0
T_mix,AAPL,later,1,178,0.5019578123026399,0.005300163149005918,0.291212883219794,0.8370786516853933,0
T_mix,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
T_mix,AAPL,train_forward_oof,1,379,0.5028282828282828,0.005583091291022458,0.2876688996534974,0.5488126649076517,0
T_mix,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
T_mix,AMZN,development,1,73,0.5322061191626409,0.06320251114885668,0.27665781841521453,0.589041095890411,0
T_mix,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
T_mix,AMZN,later,1,84,0.49654974123059226,-0.006922446149029845,0.28537172821810153,0.42857142857142855,0
T_mix,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
T_mix,AMZN,train_forward_oof,1,198,0.38932038834951455,-0.22128008770113303,0.3724264318962637,0.5151515151515151,0
T_original,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
T_original,AAPL,development,1,124,0.5015756302521008,0.003704861477355895,0.27512600933761505,0.7661290322580645,0
T_original,AAPL,later,1,178,0.5211570039156246,0.04577523516318793,0.2633518023574482,0.6910112359550562,0
T_original,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
T_original,AAPL,train_forward_oof,1,379,0.501976911976912,0.003919474052520323,0.29854402928399154,0.5672823218997362,0
T_original,AMZN,development,0,53,0.5146627565982405,0.02894601536677788,0.2670094676789736,0.5283018867924528,0
T_original,AMZN,development,1,73,0.5213365539452496,0.04210074048854419,0.27980620988769583,0.6027397260273972,0
T_original,AMZN,later,0,95,0.5489804964539007,0.10286554024931781,0.2437223833826705,0.6526315789473685,0
T_original,AMZN,later,1,84,0.42409430707303053,-0.1522938152786566,0.29722529894414756,0.42857142857142855,0
T_original,AMZN,train_forward_oof,0,184,0.5955165692007798,0.20890014770087442,0.24709181436825195,0.717391304347826,0
T_original,AMZN,train_forward_oof,1,198,0.48441492079713844,-0.031151062942379456,0.3320108149440687,0.4898989898989899,0
T_original_interaction,AAPL,development,0,2,,0.0,0.16128765646434737,0.5,0
T_original_interaction,AAPL,development,1,124,0.48319327731092443,-0.035345158082611995,0.2580752232139659,0.6612903225806451,0
T_original_interaction,AAPL,later,1,178,0.5016420361247947,0.003318838683576153,0.2687555774649433,0.5730337078651685,0
T_original_interaction,AAPL,train_forward_oof,0,4,0.6666666666666666,0.3333333333333333,0.3086636922488203,0.75,0
