phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
outer,240,AAPL,AR0,2018-07,438,0.42260210913960494,-0.1559933729698064,0.2503204532520939,0.4505879645128891,0.4956896551724138,0.34951456310679613,0.5684931506849316,False,438,0.5296803652968036
outer,240,AAPL,AR0,2018-08,566,0.5279480456337148,0.05649573126352628,0.2470338061038011,0.4718956745211759,0.7852193995381063,0.2706766917293233,0.7720848056537103,False,566,0.627208480565371
outer,240,AAPL,AR1,2018-06,731,0.4517409114183308,-0.09731952396044681,0.25163803217210773,0.42788096013902466,0.347926267281106,0.5555555555555556,0.387140902872777,False,731,0.5471956224350205
outer,240,AAPL,AR1,2018-07,438,0.4516864747238032,-0.09929638663499306,0.2503613470315574,0.441852192835621,0.5732758620689655,0.3300970873786408,0.6187214611872146,False,438,0.5296803652968036
outer,240,AAPL,AR1,2018-08,566,0.5507735852332911,0.10470470436467438,0.24642476923141599,0.4865512511069823,0.8083140877598153,0.2932330827067669,0.784452296819788,False,566,0.627208480565371
outer,240,AMZN,AR0,2018-06,201,0.3505116959064327,-0.26960269818633287,0.2518251609903937,0.374208089668616,0.4027777777777778,0.2982456140350877,0.48756218905472637,False,201,0.572139303482587
outer,240,AMZN,AR0,2018-07,164,0.5075901328273245,0.01956261160495388,0.25211459799686664,0.48861480075901326,0.8387096774193549,0.17647058823529413,0.8292682926829268,False,164,0.5548780487804879
outer,240,AMZN,AR0,2018-08,170,0.48414347043345796,-0.05965066744917378,0.2492579842462586,0.571250519318654,0.9080459770114943,0.060240963855421686,0.9235294117647059,False,170,0.6705882352941176
outer,240,AMZN,AR1,2018-06,201,0.3923611111111111,-0.19412712620018346,0.2511123515486993,0.40497076023391815,0.4513888888888889,0.3333333333333333,0.5124378109452736,False,201,0.572139303482587
outer,240,AMZN,AR1,2018-07,164,0.49573055028463,-0.014363459873396055,0.2528248579983431,0.4726438962681847,0.9032258064516129,0.08823529411764706,0.9085365853658537,False,164,0.5548780487804879
outer,240,AMZN,AR1,2018-08,170,0.5506855006231823,0.14078114352385912,0.24958393691073139,0.5165489544384434,0.896551724137931,0.20481927710843373,0.8470588235294118,False,170,0.6705882352941176
