phase,symbol,month,method,n,BA,MCC,Brier,pred_up,constant
train_forward_oof,AMZN,2018-06,F2_branch_recency,63,0.5081521739130435,0.01616439375349599,0.24444707198126664,0.6190476190476191,False
train_forward_oof,AMZN,2018-06,F2_system_recency,63,0.37717391304347825,-0.23728815961624536,0.2559562594625514,0.5396825396825397,False
train_forward_oof,AMZN,2018-07,R1_infinity_refit,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.75,False
train_forward_oof,AMZN,2018-07,R1_recency,60,0.5333333333333333,0.08333333333333333,0.25600340468538174,0.8,False
train_forward_oof,AMZN,2018-07,F1_infinity_refit,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,False
train_forward_oof,AMZN,2018-07,F1_branch_recency,60,0.5833333333333334,0.17914359097500465,0.2408713472655239,0.6833333333333333,False
train_forward_oof,AMZN,2018-07,F1_system_recency,60,0.5666666666666667,0.15075567228888181,0.24998759650307636,0.7333333333333333,False
train_forward_oof,AMZN,2018-07,F2_infinity_refit,60,0.55,0.11095900821829636,0.2574755727535602,0.7166666666666667,False
train_forward_oof,AMZN,2018-07,F2_branch_recency,60,0.5833333333333334,0.17914359097500465,0.2531499587947802,0.6833333333333333,False
train_forward_oof,AMZN,2018-07,F2_system_recency,60,0.5666666666666667,0.15075567228888181,0.2622662080323327,0.7333333333333333,False
train_forward_oof,AMZN,2018-08,R1_infinity_refit,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,False
train_forward_oof,AMZN,2018-08,R1_recency,69,0.6116379310344828,0.23648875780580347,0.23633443373219806,0.6811594202898551,False
train_forward_oof,AMZN,2018-08,F1_infinity_refit,69,0.6400862068965517,0.27661828579457937,0.23051480645941932,0.5072463768115942,False
train_forward_oof,AMZN,2018-08,F1_branch_recency,69,0.6370689655172415,0.2729638873910405,0.23038519261589005,0.43478260869565216,False
train_forward_oof,AMZN,2018-08,F1_system_recency,69,0.6198275862068966,0.23781714225489284,0.2368975298805426,0.4492753623188406,False
train_forward_oof,AMZN,2018-08,F2_infinity_refit,69,0.6336206896551724,0.274433014821148,0.23045955049466177,0.6376811594202898,False
train_forward_oof,AMZN,2018-08,F2_branch_recency,69,0.6258620689655172,0.25303634910526385,0.2507604844549228,0.5942028985507246,False
train_forward_oof,AMZN,2018-08,F2_system_recency,69,0.6086206896551725,0.21971768720102056,0.25727282171957544,0.6086956521739131,False
