CIK,ticker,issuer_name,training_period_SIC_evidence,derived_FF12_industry,industry_status,source,mapping_source,mapping_sha256
1071438,BAK,BRASKEM SA,"[{""filing_date"":""2021-05-14"",""accession"":""0001292814-21-002286"",""form"":""20-F"",""SIC"":2860,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1337298,FF,FutureFuel Corp.,"[{""filing_date"":""2018-03-16"",""accession"":""0001437749-18-004879"",""form"":""10-K"",""SIC"":2860,""FF12"":""Chems""},{""filing_date"":""2021-11-09"",""accession"":""0001437749-21-025948"",""form"":""10-Q"",""SIC"":2860,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
885462,GURE,"GULF RESOURCES, INC.","[{""filing_date"":""2018-03-16"",""accession"":""0001193805-18-000422"",""form"":""10-K"",""SIC"":2800,""FF12"":""Chems""},{""filing_date"":""2021-11-15"",""accession"":""0001193805-21-001576"",""form"":""10-Q"",""SIC"":2800,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
105132,WDFC,WD 40 CO,"[{""filing_date"":""2018-01-09"",""accession"":""0000105132-18-000008"",""form"":""10-Q"",""SIC"":2890,""FF12"":""Chems""},{""filing_date"":""2021-10-22"",""accession"":""0000105132-21-000028"",""form"":""10-K"",""SIC"":2890,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1257640,KRO,KRONOS WORLDWIDE INC,"[{""filing_date"":""2018-03-12"",""accession"":""0001564590-18-005295"",""form"":""10-K"",""SIC"":2810,""FF12"":""Chems""},{""filing_date"":""2021-11-04"",""accession"":""0001564590-21-054503"",""form"":""10-Q"",""SIC"":2810,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1600033,ELF,"e.l.f. Beauty, Inc.","[{""filing_date"":""2018-03-01"",""accession"":""0001600033-18-000014"",""form"":""10-K"",""SIC"":2844,""FF12"":""Chems""},{""filing_date"":""2021-11-04"",""accession"":""0001600033-21-000062"",""form"":""10-Q"",""SIC"":2844,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1673985,ASIX,AdvanSix Inc.,"[{""filing_date"":""2018-02-27"",""accession"":""0001673985-18-000014"",""form"":""10-K"",""SIC"":2821,""FF12"":""Chems""},{""filing_date"":""2021-10-29"",""accession"":""0001673985-21-000144"",""form"":""10-Q"",""SIC"":2821,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
738214,AMTX,"AEMETIS, INC","[{""filing_date"":""2018-03-29"",""accession"":""0001654954-18-003317"",""form"":""10-K"",""SIC"":2860,""FF12"":""Chems""},{""filing_date"":""2021-11-12"",""accession"":""0001654954-21-012030"",""form"":""10-Q"",""SIC"":2860,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
9326,BCPC,BALCHEM CORP,"[{""filing_date"":""2018-03-01"",""accession"":""0001140361-18-011267"",""form"":""10-K"",""SIC"":2800,""FF12"":""Chems""},{""filing_date"":""2021-10-29"",""accession"":""0001628280-21-020827"",""form"":""10-Q"",""SIC"":2800,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
1324404,CF,"CF Industries Holdings, Inc.","[{""filing_date"":""2018-02-22"",""accession"":""0001324404-18-000006"",""form"":""10-K"",""SIC"":2870,""FF12"":""Chems""},{""filing_date"":""2021-11-05"",""accession"":""0001324404-21-000032"",""form"":""10-Q"",""SIC"":2870,""FF12"":""Chems""}]",Chems,INDUSTRY_STABLE,SEC filing submission headers accepted 2018-2021,Ken French SICcodes12.zip,d801141acf039f2e06e6d4d9ba2b3992e9747a1d82fabd53ef21da4a3af79fff
