symbol,first_date,last_date,trading_rows,rows_2018_2023,missing_ohlcv_rows,missing_ohlcv_rate,duplicate_dates,non_monotonic_dates,invalid_ohlc_rows,adjusted_close_available_fraction,price_eligible_2018_2023
HWC,1991-06-04,2020-06-19,7318,621,0,0.0,0,0,0,1.0,0
NBSE,2004-05-28,2023-12-28,4930,1508,0,0.0,0,0,0,1.0,1
MRKR,2002-07-16,2023-12-28,5402,1508,0,0.0,0,0,0,1.0,1
ATHX,2007-06-12,2023-12-28,4167,1508,0,0.0,0,0,0,1.0,1
FXC,2006-06-26,2023-12-28,4408,1508,0,0.0,0,0,0,1.0,1
DGRS,2013-07-25,2023-12-28,2626,1508,0,0.0,0,0,0,1.0,1
CEZ,2015-01-08,2020-07-01,1137,597,0,0.0,0,0,0,1.0,0
tectp,2019-05-30,2023-12-28,1155,1155,0,0.0,0,0,0,1.0,0
AQUA,2017-10-26,2020-06-19,662,621,0,0.0,0,0,0,1.0,0
CLBK,2018-04-20,2023-12-28,1433,1433,0,0.0,0,0,0,1.0,0
CFA,2014-07-02,2023-12-28,2390,1508,0,0.0,0,0,0,1.0,1
FAST,1987-08-20,2023-12-28,9162,1508,0,0.0,0,0,646,1.0,0
XSW,2011-09-29,2023-12-28,3082,1508,0,0.0,0,0,0,1.0,1
DRIV,2018-04-17,2023-12-28,1436,1436,0,0.0,0,0,0,1.0,0
XPL,2006-09-06,2023-12-28,4358,1508,0,0.0,0,0,0,1.0,1
MLAB,1984-02-29,2020-06-19,7551,621,0,0.0,0,0,1026,1.0,0
ORI,1980-03-17,2020-06-19,10153,621,0,0.0,0,0,2528,1.0,0
EDRY,2018-06-01,2023-12-28,1404,1404,0,0.0,0,0,0,1.0,0
LDSF,2019-01-08,2023-12-28,1253,1253,0,0.0,0,0,0,1.0,0
DAC,2006-10-16,2023-12-28,4330,1508,0,0.0,0,0,0,1.0,1
GRVY,2005-02-08,2023-12-28,4755,1508,0,0.0,0,0,0,1.0,1
GRUB,2014-04-04,2020-07-02,1573,630,0,0.0,0,0,0,1.0,0
OMEX,1999-10-26,2023-12-28,6083,1508,0,0.0,0,0,0,1.0,1
STOK,2018-10-25,2020-07-02,264,264,0,0.0,0,0,0,1.0,0
QEMM,2014-06-05,2023-12-28,2409,1508,0,0.0,0,0,0,1.0,1
FFWM,2014-11-03,2023-12-28,2304,1508,0,0.0,0,0,0,1.0,1
SBB,2007-01-25,2020-07-02,3061,533,0,0.0,0,0,0,1.0,0
XBIO,2016-06-30,2023-12-28,1887,1508,0,0.0,0,0,0,1.0,1
DLS,2006-06-16,2023-12-28,4414,1508,0,0.0,0,0,0,1.0,1
FSBC,2007-08-31,2020-04-01,3168,566,0,0.0,0,0,0,1.0,0
UL,1980-03-25,2023-12-28,11034,1508,0,0.0,0,0,863,1.0,0
TTAI,2017-07-10,2023-12-28,1630,1508,0,0.0,0,0,0,1.0,1
VECO,1994-11-29,2023-12-28,7322,1508,0,0.0,0,0,0,1.0,1
HOPE,1998-01-29,2023-12-28,6522,1508,0,0.0,0,0,0,1.0,1
WHLR,2012-11-19,2023-12-28,2796,1508,0,0.0,0,0,0,1.0,1
BXMT,1980-12-29,2023-12-28,10842,1508,0,0.0,0,0,1653,1.0,0
ADCT,2020-05-18,2023-12-28,911,911,0,0.0,0,0,0,1.0,0
FOSL,1993-04-08,2023-12-28,7737,1508,0,0.0,0,0,0,1.0,1
CUBI,2012-03-14,2023-12-28,2968,1508,0,0.0,0,0,0,1.0,1
JW-B,1982-09-14,2020-07-02,5893,436,0,0.0,0,0,1146,1.0,0
TH,2015-01-05,2023-12-28,1519,1461,0,0.0,0,0,0,1.0,1
BOMN,2017-06-13,2020-07-02,770,630,0,0.0,0,0,0,1.0,0
MIST,2019-05-09,2020-07-02,291,291,0,0.0,0,0,0,1.0,0
DNL,2006-06-16,2023-12-28,4414,1508,0,0.0,0,0,0,1.0,1
SMMV,2016-09-09,2020-07-02,948,630,0,0.0,0,0,0,1.0,0
SNV,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
SMM,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
ACER,2002-09-17,2023-11-20,5332,1482,0,0.0,0,0,0,1.0,0
MEDP,2016-08-11,2020-07-02,980,630,0,0.0,0,0,0,1.0,0
HWCPL,2015-04-01,2020-07-02,1322,628,0,0.0,0,0,0,1.0,0
TJX,1987-06-26,2023-12-28,9200,1508,0,0.0,0,0,132,1.0,0
MNTA,2004-06-22,2020-07-02,4037,630,0,0.0,0,0,0,1.0,0
FTDR,2018-09-13,2023-12-28,1332,1332,0,0.0,0,0,0,1.0,0
APY,2018-04-27,2020-06-18,540,540,0,0.0,0,0,0,1.0,0
wd,2010-12-15,2023-12-28,3281,1508,0,0.0,0,0,0,1.0,1
ASB,1980-03-17,2023-12-28,11040,1508,0,0.0,0,0,492,1.0,0
THG,1995-10-11,2023-12-28,7103,1508,0,0.0,0,0,0,1.0,1
FCEL,1992-06-25,2023-12-28,7936,1508,0,0.0,0,0,0,1.0,1
VPC,2015-01-05,2023-12-28,1529,1243,0,0.0,0,0,0,1.0,1
PJUL,2018-08-09,2020-07-02,468,468,0,0.0,0,0,0,1.0,0
SNA,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
MEET,2003-09-04,2020-06-19,4228,621,0,0.0,0,0,0,1.0,0
FUD,2008-04-04,2020-04-01,3020,566,0,0.0,0,0,0,1.0,0
JCS,1981-11-18,2020-06-19,9729,621,0,0.0,0,0,2086,1.0,0
HXL,1980-03-17,2020-04-01,10098,566,0,0.0,0,0,1929,1.0,0
AEO,1994-04-14,2023-12-28,7480,1508,0,0.0,0,0,0,1.0,1
AI,1997-12-23,2023-12-28,6436,1398,0,0.0,0,0,0,1.0,1
MPC,2011-06-24,2020-07-02,2271,630,0,0.0,0,0,0,1.0,0
BR,2007-03-22,2023-12-28,4223,1508,0,0.0,0,0,0,1.0,1
AFT,2011-02-25,2023-12-28,3232,1508,0,0.0,0,0,0,1.0,1
SHEN,2015-01-02,2020-07-02,1385,630,0,0.0,0,0,0,1.0,0
BAUG,2019-08-06,2020-07-02,221,221,0,0.0,0,0,0,1.0,0
VEU,2007-03-08,2023-12-28,4233,1508,0,0.0,0,0,0,1.0,1
ECLN,2019-08-21,2020-07-02,166,166,0,0.0,0,0,0,1.0,0
FBM,2017-02-10,2020-07-02,854,630,0,0.0,0,0,0,1.0,0
D,1980-03-17,2023-12-28,11040,1508,0,0.0,0,0,1150,1.0,0
PASG,2020-02-28,2023-12-28,966,966,0,0.0,0,0,0,1.0,0
AFC,2007-04-17,2020-07-02,3328,630,0,0.0,0,0,0,1.0,0
BE,2000-10-02,2023-12-28,4175,1408,1,0.00023952095808383233,0,0,2,0.9997604790419161,0
FTSL,2013-05-02,2023-12-28,2684,1508,0,0.0,0,0,0,1.0,1
SANW,2010-06-14,2020-06-19,2515,620,0,0.0,0,0,0,1.0,0
GENE,2005-09-06,2023-12-28,4610,1508,0,0.0,0,0,0,1.0,1
BSJL,2014-09-17,2020-07-02,1455,630,0,0.0,0,0,0,1.0,0
FBZ,2011-04-19,2023-12-28,3195,1508,0,0.0,0,0,0,1.0,1
HLI,2015-08-13,2020-07-02,1231,630,0,0.0,0,0,0,1.0,0
ATRA,2014-10-16,2023-12-28,2316,1508,0,0.0,0,0,0,1.0,1
AGG,2003-09-29,2023-12-28,5098,1508,0,0.0,0,0,0,1.0,1
