stage,symbol,seed,method,has_news,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AMZN,574,MEAN_LINEAR,True,415,0.6431011246398364,0.23209166066791986,0.2862754306228667,0.6433734939759036,0.4843373493975904,False
aggregation,AMZN,574,MEAN_THEN_MAP,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,MEAN_THEN_MAP,True,415,0.6273817269262942,0.2342856183014476,0.25750043422814484,0.6289156626506024,0.42650602409638555,False
aggregation,AMZN,574,MAP_THEN_MEAN,False,389,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False
aggregation,AMZN,574,MAP_THEN_MEAN,True,415,0.6273817269262942,0.23359257348674484,0.25750043422814484,0.6289156626506024,0.42650602409638555,False
aggregation,AMZN,575,PRICE,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
aggregation,AMZN,575,PRICE,True,415,0.5124430709173715,0.2677334719480782,0.02515349918445304,0.5108433734939759,0.5734939759036145,False
aggregation,AMZN,575,FULL,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
aggregation,AMZN,575,FULL,True,415,0.6298447811134864,0.255442816933475,0.26229273976123,0.6313253012048192,0.42891566265060244,False
aggregation,AMZN,575,CONTROL,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
aggregation,AMZN,575,CONTROL,True,415,0.6543707593642532,0.22291303044765742,0.31033929721336195,0.655421686746988,0.44819277108433736,False
aggregation,AMZN,575,SET_BASE,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
aggregation,AMZN,575,SET_BASE,True,415,0.6418463611859838,0.2330138115240015,0.2867404963053101,0.6433734939759036,0.42650602409638555,False
aggregation,AMZN,575,MEAN_LINEAR,False,389,0.5567781690140845,0.24737962021588583,0.11672878090713508,0.5681233933161953,0.6246786632390745,False
