stage,symbol,method,reference,bootstrap,delta_BA,low,high
aggregation,AAPL,MAP_THEN_MEAN,CONTROL,day1,-0.043305430618024325,-0.06990538585055717,-0.015410093161392401
aggregation,AAPL,MAP_THEN_MEAN,CONTROL,day5,-0.043305430618024325,-0.06724976413651615,-0.015161638811409351
aggregation,AAPL,MAP_THEN_MEAN,FULL,day1,-0.023519490254872558,-0.04788145242029663,0.003981296567792164
aggregation,AAPL,MAP_THEN_MEAN,FULL,day5,-0.023519490254872558,-0.04558450703121811,-0.0009388231644587527
aggregation,AAPL,MAP_THEN_MEAN,SET_BASE,day1,0.002299891720806263,-0.006346486622532469,0.011147996906178084
aggregation,AAPL,MAP_THEN_MEAN,SET_BASE,day5,0.002299891720806263,-0.007912123722733535,0.012526571998858817
aggregation,AAPL,MAP_THEN_MEAN,MEAN_THEN_MAP,day1,0.0012889388639013826,-0.002017856853992749,0.0049944801017514666
aggregation,AAPL,MAP_THEN_MEAN,MEAN_THEN_MAP,day5,0.0012889388639013826,-0.001966480955815014,0.00450379740851014
aggregation,AMZN,SET_BASE,CONTROL,day1,-0.016314763415278877,-0.0351882387616082,0.0016385694294299633
aggregation,AMZN,SET_BASE,CONTROL,day5,-0.016314763415278877,-0.035569312226816995,0.0019363373407266344
aggregation,AMZN,SET_BASE,FULL,day1,-0.007727828443034629,-0.02717476637557114,0.010465751014406506
aggregation,AMZN,SET_BASE,FULL,day5,-0.007727828443034629,-0.02563461365822739,0.008717861540104115
aggregation,AMZN,SET_BASE,SET_BASE,day1,0.0,0.0,0.0
aggregation,AMZN,SET_BASE,SET_BASE,day5,0.0,0.0,0.0
aggregation,AMZN,SET_BASE,MEAN_THEN_MAP,day1,0.004435963521015066,-0.002893413215898605,0.012184908503970119
aggregation,AMZN,SET_BASE,MEAN_THEN_MAP,day5,0.004435963521015066,-0.0032473792777884883,0.011489301773523536
aggregation,AMZN,MEAN_LINEAR,CONTROL,day1,-0.017264736981231824,-0.03847139716933052,0.004552011030998022
aggregation,AMZN,MEAN_LINEAR,CONTROL,day5,-0.017264736981231824,-0.038986045986428235,0.0037386311458057235
aggregation,AMZN,MEAN_LINEAR,FULL,day1,-0.008677802008987575,-0.026609669641536236,0.010216365931620166
aggregation,AMZN,MEAN_LINEAR,FULL,day5,-0.008677802008987575,-0.02789805548577478,0.009939808710078372
aggregation,AMZN,MEAN_LINEAR,SET_BASE,day1,-0.0009499735659529475,-0.01470448237131882,0.01316188703653139
aggregation,AMZN,MEAN_LINEAR,SET_BASE,day5,-0.0009499735659529475,-0.012109703561453458,0.010411400767379958
aggregation,AMZN,MEAN_LINEAR,MEAN_THEN_MAP,day1,0.003485989955062118,-0.00883441801758709,0.015454237535276081
aggregation,AMZN,MEAN_LINEAR,MEAN_THEN_MAP,day5,0.003485989955062118,-0.007547284003660819,0.013657220759118526
aggregation,AMZN,MEAN_THEN_MAP,CONTROL,day1,-0.020750726936293942,-0.03977280802949278,-0.0016622091981572766
aggregation,AMZN,MEAN_THEN_MAP,CONTROL,day5,-0.020750726936293942,-0.040065400015142805,-0.0007261196650141885
aggregation,AMZN,MEAN_THEN_MAP,FULL,day1,-0.012163791964049694,-0.0317891218468273,0.0064225538637319775
