stage,symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,573,FULL,803,0.684495252373813,0.21863635061314832,0.3725424956922409,0.6899128268991283,0.5803237858032378,False
aggregation,AAPL,573,CONTROL,803,0.7103073463268366,0.20402642750856334,0.4255724264388147,0.7160647571606475,0.5865504358655044,False
aggregation,AAPL,573,SET_BASE,803,0.6432096451774112,0.22038549408771066,0.2971071618285077,0.6537982565379825,0.638854296388543,False
aggregation,AAPL,573,MEAN_LINEAR,803,0.6608726886556722,0.21807508347994795,0.33073072071783693,0.6699875466998755,0.6226650062266501,False
aggregation,AAPL,573,MEAN_THEN_MAP,803,0.6536606696651674,0.21983487996233225,0.3178547447058829,0.663760896637609,0.6338729763387297,False
aggregation,AAPL,573,MAP_THEN_MEAN,803,0.6511525487256371,0.21980482297046852,0.3126665716837098,0.6612702366127023,0.6338729763387297,False
aggregation,AAPL,574,PRICE,803,0.5640960769615192,0.24624599942631864,0.13583632011124291,0.5778331257783312,0.6699875466998755,False
aggregation,AAPL,574,FULL,803,0.661922163918041,0.22517902151595204,0.3269617308725784,0.6674968866749689,0.5803237858032378,False
aggregation,AAPL,574,CONTROL,803,0.6738349575212393,0.20671421415220412,0.35192543254611625,0.6799501867995019,0.5877957658779577,False
aggregation,AAPL,574,SET_BASE,803,0.6543915542228886,0.22190067322441953,0.3205469078092313,0.6650062266500623,0.6400996264009963,False
aggregation,AAPL,574,MEAN_LINEAR,803,0.6520958270864567,0.22109279210202346,0.31042067894708286,0.660024906600249,0.6077210460772104,False
aggregation,AAPL,574,MEAN_THEN_MAP,803,0.6529297851074463,0.22180028212913816,0.3152388607757479,0.6625155666251556,0.6276463262764632,False
aggregation,AAPL,574,MAP_THEN_MEAN,803,0.6565873313343329,0.22174887384589262,0.3229991169553131,0.6662515566625156,0.6288916562889165,False
aggregation,AAPL,575,PRICE,803,0.5605478510744628,0.2462306541816014,0.12447752686370779,0.5703611457036114,0.6226650062266501,False
aggregation,AAPL,575,FULL,803,0.6806284357821089,0.22461935835913516,0.364885474804984,0.6861768368617683,0.5815691158156912,False
aggregation,AAPL,575,CONTROL,803,0.7022613693153423,0.2054041163554117,0.4080868844887497,0.7073474470734745,0.5778331257783312,False
aggregation,AAPL,575,SET_BASE,803,0.6519865067466267,0.22124161154781788,0.3183475538355921,0.663760896637609,0.6537982565379825,False
aggregation,AAPL,575,MEAN_LINEAR,803,0.649690779610195,0.2194798424372844,0.3075434763290245,0.6587795765877957,0.6214196762141968,False
aggregation,AAPL,575,MEAN_THEN_MAP,803,0.6460301099450274,0.220909018692473,0.30510725469408645,0.6575342465753424,0.6500622665006227,False
aggregation,AAPL,575,MAP_THEN_MEAN,803,0.6487475012493753,0.22090319955190477,0.310279671388163,0.660024906600249,0.6475716064757161,False
aggregation,AMZN,573,PRICE,804,0.5302835051546392,0.2533903070634105,0.06167216968605176,0.5335820895522388,0.595771144278607,False
aggregation,AMZN,573,FULL,804,0.6118903647898493,0.25076918341484516,0.2244023506825673,0.6131840796019901,0.5410447761194029,False
aggregation,AMZN,573,CONTROL,804,0.6158430808881841,0.23115288542139878,0.2321093279428392,0.6169154228855721,0.5348258706467661,False
aggregation,AMZN,573,SET_BASE,804,0.5984957375099127,0.23637925836758403,0.19728503954862506,0.599502487562189,0.5323383084577115,False
aggregation,AMZN,573,MEAN_LINEAR,804,0.5931676249008724,0.23568453098227413,0.18689186335801924,0.5945273631840796,0.5422885572139303,False
aggregation,AMZN,573,MEAN_THEN_MAP,804,0.5972938144329897,0.23690043719149514,0.19484673890722448,0.5982587064676617,0.5310945273631841,False
aggregation,AMZN,573,MAP_THEN_MEAN,804,0.6021882434575734,0.23654817609447548,0.20471477002198768,0.6032338308457711,0.5335820895522388,False
aggregation,AMZN,574,PRICE,804,0.5148195876288659,0.25753816199373764,0.03037496093298459,0.5186567164179104,0.6106965174129353,False
aggregation,AMZN,574,FULL,804,0.5964264472640761,0.2549166263229975,0.19395492864664665,0.5982587064676617,0.5559701492537313,False
aggregation,AMZN,574,CONTROL,804,0.606128568596352,0.237610925356149,0.21385636037222927,0.6082089552238806,0.5634328358208955,False
aggregation,AMZN,574,SET_BASE,804,0.5803677636796194,0.24194257419205423,0.16152199576657345,0.582089552238806,0.5522388059701493,False
aggregation,AMZN,574,MEAN_LINEAR,804,0.5896362014274386,0.24122723264887908,0.1810580465897285,0.5920398009950248,0.572139303482587,False
aggregation,AMZN,574,MEAN_THEN_MAP,804,0.5832052934179223,0.24235968590499102,0.16690768219831084,0.5845771144278606,0.5422885572139303,False
aggregation,AMZN,574,MAP_THEN_MEAN,804,0.5832052934179223,0.2420019575491432,0.16690768219831084,0.5845771144278606,0.5422885572139303,False
aggregation,AMZN,575,PRICE,804,0.5351779341792229,0.25788565064979113,0.07171154121319115,0.5385572139303483,0.5982587064676617,False
aggregation,AMZN,575,FULL,804,0.6000446074544012,0.25154159364598466,0.20019156440237984,0.6007462686567164,0.5236318407960199,False
aggregation,AMZN,575,CONTROL,804,0.6121505749405234,0.234750721268355,0.22467241220674314,0.6131840796019901,0.5335820895522388,False
aggregation,AMZN,575,SET_BASE,804,0.6063144329896908,0.23996443289358235,0.21271322577876453,0.6069651741293532,0.5223880597014925,False
aggregation,AMZN,575,MEAN_LINEAR,804,0.5995241871530531,0.2400542479576765,0.19952175675231995,0.6007462686567164,0.5385572139303483,False
aggregation,AMZN,575,MEAN_THEN_MAP,804,0.5913709357652657,0.24315821534183946,0.1828143737637074,0.5920398009950248,0.5223880597014925,False
aggregation,AMZN,575,MAP_THEN_MEAN,804,0.5927463322759714,0.24290763555235206,0.1855093304304885,0.5932835820895522,0.5186567164179104,False
