block,symbol,seed,method,calibration_fold,features,numeric_features,negation_features,coefficient_norm,max_iterations
574_AAPL_0,AAPL,574,CONTROL,0,5000,0,0,13.773371504908003,41
574_AAPL_0,AAPL,574,CONTROL,1,5000,0,0,13.621691925148092,40
574_AAPL_0,AAPL,574,CONTROL,2,5000,0,0,13.613233966580886,40
574_AAPL_0,AAPL,574,FREQUENCY,0,5000,0,0,13.713051152526232,41
574_AAPL_0,AAPL,574,FREQUENCY,1,5000,0,0,13.462605701560612,43
574_AAPL_0,AAPL,574,FREQUENCY,2,5000,0,0,13.639634758428949,42
574_AAPL_0,AAPL,574,NEGATION,0,5000,0,3,13.775280901398363,41
574_AAPL_0,AAPL,574,NEGATION,1,5000,0,3,13.624932456501767,40
574_AAPL_0,AAPL,574,NEGATION,2,5000,0,3,13.621881869915509,40
574_AAPL_0,AAPL,574,NUMERIC,0,5000,1289,0,13.812502572608775,41
574_AAPL_0,AAPL,574,NUMERIC,1,5000,1283,0,13.596479828313466,40
574_AAPL_0,AAPL,574,NUMERIC,2,5000,1306,0,13.67795436089065,40
574_AAPL_0,AAPL,574,NO_STEM,0,5000,0,0,13.742431714385068,41
574_AAPL_0,AAPL,574,NO_STEM,1,5000,0,0,13.60746365913076,41
574_AAPL_0,AAPL,574,NO_STEM,2,5000,0,0,13.607307218262932,40
574_AAPL_1,AAPL,574,CONTROL,0,5000,0,0,13.639622114024323,39
574_AAPL_1,AAPL,574,CONTROL,1,5000,0,0,13.6613398225665,41
574_AAPL_1,AAPL,574,CONTROL,2,5000,0,0,13.724336084705143,43
574_AAPL_1,AAPL,574,FREQUENCY,0,5000,0,0,13.614617708544452,41
574_AAPL_1,AAPL,574,FREQUENCY,1,5000,0,0,13.546429775752133,41
574_AAPL_1,AAPL,574,FREQUENCY,2,5000,0,0,13.717400423269634,43
574_AAPL_1,AAPL,574,NEGATION,0,5000,0,3,13.638447754958444,39
574_AAPL_1,AAPL,574,NEGATION,1,5000,0,3,13.662440721647934,41
574_AAPL_1,AAPL,574,NEGATION,2,5000,0,3,13.723490332102743,42
574_AAPL_1,AAPL,574,NUMERIC,0,5000,1274,0,13.690390983168488,40
574_AAPL_1,AAPL,574,NUMERIC,1,5000,1260,0,13.663617423036325,39
574_AAPL_1,AAPL,574,NUMERIC,2,5000,1289,0,13.761843983464402,41
574_AAPL_1,AAPL,574,NO_STEM,0,5000,0,0,13.674190467881726,40
