stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
aggregation,AAPL,573,MEAN_THEN_MAP,2018-07,60,0.5897435897435898,0.1944530791021692,0.20780441903521993,0.6666666666666666,0.7833333333333333,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-08,69,0.6160130718954249,0.18755101959701145,0.24701069259469788,0.7246376811594203,0.782608695652174,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-09,57,0.5997536945812808,0.24391759001099753,0.21456972463472546,0.5964912280701754,0.6842105263157895,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-10,69,0.6282051282051282,0.23306730133328316,0.2544603402301914,0.6231884057971014,0.5217391304347826,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-11,60,0.5800889877641824,0.23618658756241842,0.16339011369947531,0.5833333333333334,0.6,False
aggregation,AAPL,573,MEAN_THEN_MAP,2018-12,53,0.686532507739938,0.2143515490241539,0.37777264669154326,0.7169811320754716,0.33962264150943394,False
aggregation,AAPL,573,MEAN_THEN_MAP,2019-01,63,0.5493762993762994,0.23040652206632728,0.1009815786122318,0.5714285714285714,0.6349206349206349,False
aggregation,AAPL,573,MEAN_THEN_MAP,2019-02,2,,0.2743144657234174,,,0.5,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-01,59,0.6469907407407407,0.22619278876737464,0.3134512811475197,0.6610169491525424,0.6779661016949152,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-02,57,0.7306250000000001,0.2106198797103731,0.4635736922883116,0.7368421052631579,0.5789473684210527,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-03,62,0.59375,0.23475057771364655,0.19101436199010402,0.5967741935483871,0.5967741935483871,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-04,63,0.748991935483871,0.22367731408907457,0.5348375457090452,0.746031746031746,0.6825396825396826,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-05,66,0.6542404473438956,0.21235994071654582,0.31562122427266287,0.6666666666666666,0.6212121212121212,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-06,63,0.7037037037037037,0.2116953166524545,0.4462924542634687,0.7301587301587301,0.7142857142857143,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-07,60,0.5897435897435898,0.19462770293601223,0.20780441903521993,0.6666666666666666,0.7833333333333333,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-08,69,0.6437908496732025,0.18696357631768676,0.29921589477050653,0.7391304347826086,0.7681159420289855,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-09,57,0.5997536945812808,0.24371947984725453,0.21456972463472546,0.5964912280701754,0.6842105263157895,False
aggregation,AAPL,573,MAP_THEN_MEAN,2018-10,69,0.6282051282051282,0.23320406565820925,0.2544603402301914,0.6231884057971014,0.5217391304347826,False
