stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,574,574_AAPL_8,NUMERIC,80,0.6577624135763671,0.20280414755691192,0.31823669313654934,0.6625,0.575,False
preprocess,AAPL,574,574_AAPL_8,NO_STEM,80,0.6345065996228787,0.20623781825016638,0.2696069544674473,0.6375,0.55,False
preprocess,AAPL,574,574_AAPL_9,PRICE,80,0.5575109993714644,0.2355877559438973,0.13034078933306992,0.575,0.7375,False
preprocess,AAPL,574,574_AAPL_9,FULL,80,0.6367064739157763,0.21934798238257383,0.29410527775762735,0.65,0.6875,False
preprocess,AAPL,574,574_AAPL_9,CONTROL,80,0.6675047140163419,0.2073660354887298,0.34285716699445046,0.675,0.6125,False
preprocess,AAPL,574,574_AAPL_9,FREQUENCY,80,0.7061596480201131,0.2057023079500988,0.4196363894498585,0.7125,0.6,False
preprocess,AAPL,574,574_AAPL_9,NEGATION,80,0.6675047140163419,0.20726566136258046,0.34285716699445046,0.675,0.6125,False
preprocess,AAPL,574,574_AAPL_9,NUMERIC,80,0.6558768070395977,0.2105768009116455,0.3172860505596491,0.6625,0.6,False
preprocess,AAPL,574,574_AAPL_9,NO_STEM,80,0.6693903205531113,0.21310571494018155,0.343121377260829,0.675,0.5875,False
preprocess,AAPL,575,575_AAPL_0,PRICE,81,0.5841523341523341,0.24228136960568877,0.17149455410873407,0.5925925925925926,0.6049382716049383,False
preprocess,AAPL,575,575_AAPL_0,FULL,81,0.7355651105651105,0.19529984886882518,0.47553203167161295,0.7407407407407407,0.5802469135802469,False
preprocess,AAPL,575,575_AAPL_0,CONTROL,81,0.7128378378378378,0.2038821890898945,0.42672543232691745,0.7160493827160493,0.5555555555555556,False
preprocess,AAPL,575,575_AAPL_0,FREQUENCY,81,0.6901105651105651,0.2074693383389089,0.3795224077987308,0.691358024691358,0.5308641975308642,False
preprocess,AAPL,575,575_AAPL_0,NEGATION,81,0.7128378378378378,0.20321659391744043,0.42672543232691745,0.7160493827160493,0.5555555555555556,False
preprocess,AAPL,575,575_AAPL_0,NUMERIC,81,0.6993243243243243,0.20442552435097514,0.4008709252876504,0.7037037037037037,0.5679012345679012,False
preprocess,AAPL,575,575_AAPL_0,NO_STEM,81,0.687960687960688,0.20589960963980675,0.3768484337432518,0.691358024691358,0.5555555555555556,False
preprocess,AAPL,575,575_AAPL_1,PRICE,81,0.5863022113022113,0.24807570576665977,0.1742170807036809,0.5925925925925926,0.5802469135802469,False
preprocess,AAPL,575,575_AAPL_1,FULL,81,0.6701474201474201,0.24495491305060893,0.34875200683741386,0.6790123456790124,0.6172839506172839,False
preprocess,AAPL,575,575_AAPL_1,CONTROL,81,0.6950245700245701,0.20460868720661218,0.3997428237215845,0.7037037037037037,0.6172839506172839,False
preprocess,AAPL,575,575_AAPL_1,FREQUENCY,81,0.6815110565110565,0.21246967142332907,0.3744678741302123,0.691358024691358,0.6296296296296297,False
preprocess,AAPL,575,575_AAPL_1,NEGATION,81,0.6950245700245701,0.20460771147829024,0.3997428237215845,0.7037037037037037,0.6172839506172839,False
preprocess,AAPL,575,575_AAPL_1,NUMERIC,81,0.6815110565110565,0.2081076729140092,0.3744678741302123,0.691358024691358,0.6296296296296297,False
preprocess,AAPL,575,575_AAPL_1,NO_STEM,81,0.6815110565110565,0.21556744735889433,0.3744678741302123,0.691358024691358,0.6296296296296297,False
preprocess,AAPL,575,575_AAPL_2,PRICE,81,0.5890663390663391,0.2490503438945117,0.19209089488810213,0.6049382716049383,0.691358024691358,False
preprocess,AAPL,575,575_AAPL_2,FULL,81,0.7355651105651105,0.18013957215400137,0.47553203167161295,0.7407407407407407,0.5802469135802469,False
preprocess,AAPL,575,575_AAPL_2,CONTROL,81,0.6993243243243243,0.19138788702783865,0.4008709252876504,0.7037037037037037,0.5679012345679012,False
preprocess,AAPL,575,575_AAPL_2,FREQUENCY,81,0.7825552825552826,0.1897691607056865,0.5640720762113608,0.7777777777777778,0.4691358024691358,False
preprocess,AAPL,575,575_AAPL_2,NEGATION,81,0.6993243243243243,0.19144501824951174,0.4008709252876504,0.7037037037037037,0.5679012345679012,False
preprocess,AAPL,575,575_AAPL_2,NUMERIC,81,0.7149877149877151,0.19177726222576452,0.42918527537820933,0.7160493827160493,0.5308641975308642,False
preprocess,AAPL,575,575_AAPL_2,NO_STEM,81,0.7782555282555282,0.19449340669529208,0.5548097041453113,0.7777777777777778,0.5185185185185185,False
preprocess,AAPL,575,575_AAPL_3,PRICE,80,0.4444444444444444,0.26542354768771015,-0.1111111111111111,0.45,0.55,False
preprocess,AAPL,575,575_AAPL_3,FULL,80,0.6262626262626263,0.2544473073445479,0.251259453814803,0.625,0.5,False
preprocess,AAPL,575,575_AAPL_3,CONTROL,80,0.6641414141414141,0.21331669554916471,0.33734954246999327,0.675,0.625,False
preprocess,AAPL,575,575_AAPL_3,FREQUENCY,80,0.6527777777777778,0.22349170338958615,0.3120246366187608,0.6625,0.6125,False
preprocess,AAPL,575,575_AAPL_3,NEGATION,80,0.6755050505050505,0.2135716600891595,0.36325626729340155,0.6875,0.6375,False
preprocess,AAPL,575,575_AAPL_3,NUMERIC,80,0.6641414141414141,0.21476453770870493,0.33734954246999327,0.675,0.625,False
preprocess,AAPL,575,575_AAPL_3,NO_STEM,80,0.6414141414141414,0.21305885905344737,0.28721347895177635,0.65,0.6,False
preprocess,AAPL,575,575_AAPL_4,PRICE,80,0.5088383838383839,0.2595935849315129,0.0176378381427302,0.5125,0.5375,False
preprocess,AAPL,575,575_AAPL_4,FULL,80,0.7424242424242424,0.1967991933317561,0.4923659639173309,0.75,0.6,False
preprocess,AAPL,575,575_AAPL_4,CONTROL,80,0.726010101010101,0.19751852977016562,0.4677904449317905,0.7375,0.6375,False
preprocess,AAPL,575,575_AAPL_4,FREQUENCY,80,0.7449494949494949,0.1966997382096755,0.4930213860065878,0.75,0.575,False
preprocess,AAPL,575,575_AAPL_4,NEGATION,80,0.7398989898989898,0.19729315035218636,0.4930493313022979,0.75,0.625,False
