phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,pred_up,constant
train_forward_oof,AMZN,2018-03,ORIG_FINBERT,62,0.382010582010582,0.3548387096774194,-0.2622758125723706,0.3402130583065925,0.3724867724867724,0.7258064516129032,False
train_forward_oof,AMZN,2018-04,ORIG_FINBERT,63,0.39642857142857146,0.3968253968253968,-0.205886164914561,0.28973153771597654,0.36530612244897964,0.5079365079365079,False
train_forward_oof,AMZN,2018-05,ORIG_FINBERT,65,0.4220272904483431,0.4307692307692308,-0.15415288347095465,0.29092588801302666,0.31384015594541914,0.5384615384615384,False
train_forward_oof,AMZN,2018-06,ORIG_FINBERT,63,0.4989130434782609,0.5396825396825397,-0.002195496824144787,0.24424332010338076,0.5760869565217391,0.6507936507936508,False
train_forward_oof,AMZN,2018-07,ORIG_FINBERT,60,0.55,0.55,0.11095900821829636,0.2574755727535602,0.5677777777777778,0.7166666666666667,False
train_forward_oof,AMZN,2018-08,ORIG_FINBERT,69,0.6336206896551724,0.6521739130434783,0.274433014821148,0.23045955049466177,0.6482758620689655,0.6376811594202898,False
train_forward_oof,AMZN,2018-03,L1_FILTERED_FINBERT,62,0.4576719576719577,0.43548387096774194,-0.08979133729352984,0.32630868080075887,0.40740740740740744,0.6774193548387096,False
train_forward_oof,AMZN,2018-04,L1_FILTERED_FINBERT,63,0.5178571428571428,0.5079365079365079,0.03604686254552953,0.2583173885411911,0.5173469387755102,0.5873015873015873,False
train_forward_oof,AMZN,2018-05,L1_FILTERED_FINBERT,65,0.5433723196881092,0.5538461538461539,0.08632497247641324,0.24603982519429926,0.5857699805068226,0.5692307692307692,False
train_forward_oof,AMZN,2018-06,L1_FILTERED_FINBERT,63,0.4152173913043478,0.49206349206349204,-0.19167454300136627,0.24578846868614648,0.47282608695652173,0.7619047619047619,False
train_forward_oof,AMZN,2018-07,L1_FILTERED_FINBERT,60,0.6166666666666667,0.6166666666666667,0.2345088235604828,0.24025948906742361,0.5922222222222222,0.55,False
train_forward_oof,AMZN,2018-08,L1_FILTERED_FINBERT,69,0.5426724137931035,0.5797101449275363,0.09593671849388664,0.23685397401369324,0.6353448275862068,0.7391304347826086,False
