method,symbol,phase,stratum,n,BA,MCC,Brier,predicted_up,constant
F6,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
F6,AMZN,development,has_analog,2,,0.0,0.19350104960321324,1.0,1
F6,AMZN,development,no_analog,124,0.5180989223542415,0.036522222804707564,0.2663146785071756,0.6370967741935484,0
F6,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
F6,AMZN,later,has_analog,2,,0.0,0.28672312509001685,0.5,0
F6,AMZN,later,no_analog,177,0.5134271099744245,0.028343100853491888,0.25417435052362075,0.6610169491525424,0
F6,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
F6,AMZN,train_oof,has_analog,32,0.6333333333333333,0.2581988897471611,0.24254825316136916,0.5,0
F6,AMZN,train_oof,no_analog,350,0.5479696345014888,0.1048566460728089,0.2529078979474638,0.7028571428571428,0
F6,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
P0,AAPL,development,has_analog,21,0.5772727272727273,0.1589409883014377,0.2994383063026166,0.6190476190476191,0
P0,AAPL,development,no_analog,105,0.5345394736842105,0.07024393586862704,0.28633237761881575,0.4,0
P0,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
P0,AAPL,later,has_analog,19,0.45238095238095233,-0.09523809523809523,0.45491365373414033,0.3684210526315789,0
P0,AAPL,later,no_analog,159,0.5157142857142858,0.0350686992144886,0.3536447736855326,0.27672955974842767,0
P0,AAPL,train_oof,has_analog,121,0.49271978021978025,-0.015250601987182595,0.29247588424171544,0.34710743801652894,0
P0,AAPL,train_oof,no_analog,262,0.5358056265984654,0.06934907679467225,0.33864860719535556,0.41603053435114506,0
P0,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
P0,AMZN,development,has_analog,2,,0.0,0.3006268493505587,0.5,0
P0,AMZN,development,no_analog,124,0.5646587455098093,0.12606748580086227,0.26214207930475963,0.45161290322580644,0
P0,AMZN,development,no_original_news,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5094339622641509,0
P0,AMZN,later,has_analog,2,,0.0,0.47970810550889975,0.0,1
P0,AMZN,later,no_analog,177,0.5681585677749361,0.13737524044679036,0.24786239109549205,0.5649717514124294,0
P0,AMZN,later,no_original_news,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6631578947368421,0
P0,AMZN,train_oof,has_analog,32,0.575,0.15289415743128767,0.3328374705006991,0.34375,0
P0,AMZN,train_oof,no_analog,350,0.5392820915545957,0.07950632749809158,0.28653936214474574,0.58,0
P0,AMZN,train_oof,no_original_news,184,0.571150097465887,0.15750225190539477,0.24499033244624976,0.7282608695652174,0
P1,AAPL,development,has_analog,21,0.5818181818181818,0.18090680674665818,0.23578356310147358,0.7142857142857143,0
P1,AAPL,development,no_analog,105,0.5762061403508771,0.1808130941803548,0.24206521795900932,0.7714285714285715,0
P1,AAPL,development,no_original_news,2,,0.0,0.219583675438098,0.5,0
P1,AAPL,later,has_analog,19,0.5357142857142857,0.06900655593423542,0.26495255370665477,0.47368421052631576,0
P1,AAPL,later,no_analog,159,0.5221428571428571,0.04941498525677939,0.2594465086327695,0.7232704402515723,0
P1,AAPL,train_oof,has_analog,121,0.44903846153846155,-0.1026589931723952,0.2756210675639269,0.4297520661157025,0
P1,AAPL,train_oof,no_analog,262,0.5065856777493606,0.012627208354540185,0.2604789025005522,0.4541984732824427,0
P1,AAPL,train_oof,no_original_news,4,0.6666666666666666,0.3333333333333333,0.2587048015148473,0.75,0
