method,symbol,month,n,BA,MCC,Brier,predicted_up,constant
P1,AMZN,2018-03,62,0.419047619047619,-0.18744806778279025,0.311749771518395,0.7580645161290323,0
P1,AMZN,2018-04,63,0.3678571428571429,-0.26348037250184686,0.27378304634794953,0.5396825396825397,0
P1,AMZN,2018-05,65,0.5224171539961013,0.04419286852477699,0.2612467854813592,0.5076923076923077,0
P1,AMZN,2018-06,63,0.5956521739130435,0.2074986987830624,0.23391810060918894,0.7301587301587301,0
P1,AMZN,2018-07,60,0.5833333333333334,0.19245008972987526,0.24374266056093222,0.75,0
P1,AMZN,2018-08,69,0.6336206896551724,0.274433014821148,0.23060211345278409,0.6376811594202898,0
P1,AMZN,2018-09,57,0.47598522167487683,-0.04977665340318334,0.2645023502172696,0.631578947368421,0
P1,AMZN,2018-10,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6086956521739131,0
P1,AMZN,2018-11,60,0.5277777777777778,0.055978284637523995,0.2844212127969923,0.6166666666666667,0
P1,AMZN,2018-12,54,0.5586466165413534,0.1127242960381356,0.2517515803234166,0.5555555555555556,0
P1,AMZN,2019-01,63,0.44263157894736843,-0.11775013847245042,0.2726201747470885,0.6507936507936508,0
P1,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
P2,AAPL,2018-03,62,0.4395833333333333,-0.12500464502703568,0.34495971049411644,0.3709677419354839,0
P2,AAPL,2018-04,63,0.5856854838709677,0.17511819922894495,0.2719320775569443,0.3968253968253968,0
P2,AAPL,2018-05,66,0.5326188257222739,0.06478638258673626,0.3117735934914604,0.48484848484848486,0
P2,AAPL,2018-06,63,0.4444444444444444,-0.10998533626601496,0.3699250548741555,0.49206349206349204,0
P2,AAPL,2018-07,60,0.5695970695970696,0.1339790111041232,0.2987760623591283,0.5666666666666667,0
P2,AAPL,2018-08,69,0.5032679738562091,0.005769753570144489,0.3507059710502407,0.4492753623188406,0
P2,AAPL,2018-09,57,0.45566502463054187,-0.08877935232369505,0.3394908437333572,0.47368421052631576,0
P2,AAPL,2018-10,69,0.6256410256410256,0.2552394923998475,0.23199260841458474,0.391304347826087,0
P2,AAPL,2018-11,60,0.5417130144605117,0.09627854781311668,0.3588266222923411,0.25,0
P2,AAPL,2018-12,53,0.43188854489164086,-0.15183249942890767,0.3386178902508971,0.24528301886792453,0
P2,AAPL,2019-01,63,0.5218295218295218,0.045596075258755316,0.38871324916256683,0.3333333333333333,0
P2,AAPL,2019-02,2,,0.0,0.16371265094690232,0.5,0
P2,AMZN,2018-03,62,0.39629629629629626,-0.22655704750137484,0.34954169161479115,0.7096774193548387,0
P2,AMZN,2018-04,63,0.45714285714285713,-0.08528028654224418,0.3114850326314661,0.47619047619047616,0
P2,AMZN,2018-05,65,0.554093567251462,0.10663931317935317,0.27722183463040045,0.5076923076923077,0
P2,AMZN,2018-06,63,0.6543478260869565,0.3018817718513035,0.25300607989314833,0.5873015873015873,0
P2,AMZN,2018-07,60,0.6,0.2364331218717302,0.24691937447845175,0.7666666666666667,0
P2,AMZN,2018-08,69,0.580603448275862,0.15916190598026567,0.29003279759635725,0.5072463768115942,0
P2,AMZN,2018-09,57,0.5092364532019704,0.0184956984007698,0.2869634440846685,0.5263157894736842,0
P2,AMZN,2018-10,69,0.5952380952380952,0.17958267458705968,0.2393832952581249,0.391304347826087,0
P2,AMZN,2018-11,60,0.5833333333333333,0.16666666666666666,0.25676462874305184,0.6,0
P2,AMZN,2018-12,54,0.575187969924812,0.14372207796170244,0.2298801723953138,0.48148148148148145,0
P2,AMZN,2019-01,63,0.5226315789473684,0.04497996538855028,0.25802332386196203,0.5873015873015873,0
P2,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
P3,AAPL,2018-03,62,0.434375,-0.13145556003198527,0.36688305450321296,0.532258064516129,0
P3,AAPL,2018-04,63,0.5690524193548387,0.14483097765268826,0.26962868161703435,0.3492063492063492,0
P3,AAPL,2018-05,66,0.5265610438024231,0.053624197893232216,0.30712099307683133,0.4090909090909091,0
P3,AAPL,2018-06,63,0.47685185185185186,-0.047178209756024825,0.36255747527565185,0.38095238095238093,0
P3,AAPL,2018-07,60,0.49633699633699635,-0.007051526900217009,0.3328465956433501,0.5666666666666667,0
P3,AAPL,2018-08,69,0.5032679738562091,0.005769753570144489,0.3566663336597108,0.4492753623188406,0
P3,AAPL,2018-09,57,0.45566502463054187,-0.08877935232369505,0.3498143782991497,0.47368421052631576,0
P3,AAPL,2018-10,69,0.6128205128205129,0.22779283096882866,0.23502075742916403,0.4057971014492754,0
P3,AAPL,2018-11,60,0.5578420467185762,0.13072756259258225,0.34104082148656223,0.26666666666666666,0
P3,AAPL,2018-12,53,0.4582043343653251,-0.09092455400574968,0.3317655521291193,0.2641509433962264,0
P3,AAPL,2019-01,63,0.4890852390852391,-0.022798037629377658,0.39808828855229456,0.3333333333333333,0
P3,AAPL,2019-02,2,,0.0,0.16371265094690232,0.5,0
P3,AMZN,2018-03,62,0.39629629629629626,-0.22655704750137484,0.34954169161479115,0.7096774193548387,0
P3,AMZN,2018-04,63,0.43214285714285716,-0.13784048752090222,0.324500198067806,0.3968253968253968,0
P3,AMZN,2018-05,65,0.5857699805068226,0.16908575783392935,0.2791215768173884,0.5076923076923077,0
P3,AMZN,2018-06,63,0.6543478260869565,0.3018817718513035,0.23844782404118048,0.5873015873015873,0
P3,AMZN,2018-07,60,0.6,0.2364331218717302,0.24530028221883507,0.7666666666666667,0
P3,AMZN,2018-08,69,0.580603448275862,0.15916190598026567,0.29003279759635725,0.5072463768115942,0
P3,AMZN,2018-09,57,0.5270935960591133,0.0543885074572447,0.2835787103103584,0.543859649122807,0
P3,AMZN,2018-10,69,0.5952380952380952,0.17958267458705968,0.2393832952581249,0.391304347826087,0
P3,AMZN,2018-11,60,0.5833333333333333,0.16666666666666666,0.25676462874305184,0.6,0
P3,AMZN,2018-12,54,0.575187969924812,0.14372207796170244,0.22793337671880018,0.48148148148148145,0
P3,AMZN,2019-01,63,0.5226315789473684,0.04497996538855028,0.25965277594340436,0.5873015873015873,0
P3,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,1.0,1
