phase,symbol,flag,value,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AMZN,has_original_news,1,AUG_FINMODERN_LR,84,0.42323174238067857,0.42857142857142855,-0.1528350312029349,0.29143974438976156,0.4554341575618171,0.46808510638297873,0.3783783783783784,0.5357142857142857,False
later,AMZN,has_aug_news,0,AUG_FINMODERN_LR,19,0.5,0.2631578947368421,0.0,0.4612434571756047,0.5428571428571428,1.0,0.0,1.0,True
later,AMZN,has_aug_news,1,AUG_FINMODERN_LR,160,0.4569552144326634,0.46875,-0.08730701066284725,0.2664422674621726,0.5272986231998733,0.5617977528089888,0.352112676056338,0.6,False
later,AMZN,has_original_news,0,AUG_EVENT_META,95,0.5392287234042553,0.5368421052631579,0.0879817304091566,0.2869321720278476,0.5913120567375887,0.7659574468085106,0.3125,0.7263157894736842,False
later,AMZN,has_original_news,1,AUG_EVENT_META,84,0.5014376078205866,0.5,0.0028555781958467287,0.3017627121230048,0.46808510638297873,0.48936170212765956,0.5135135135135135,0.4880952380952381,False
later,AMZN,has_aug_news,0,AUG_EVENT_META,19,0.5714285714285714,0.3684210526315789,0.20498001542269695,0.42323717522675935,0.5714285714285714,1.0,0.14285714285714285,0.8947368421052632,False
later,AMZN,has_aug_news,1,AUG_EVENT_META,160,0.5287228991929103,0.5375,0.057850027765025284,0.27853198644793437,0.5421743946827029,0.6067415730337079,0.4507042253521127,0.58125,False
later,AMZN,has_original_news,0,ORIG_PRICE_R1,95,0.5596187943262412,0.5578947368421052,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,has_original_news,1,ORIG_PRICE_R1,84,0.4580218516388729,0.4642857142857143,-0.08373988316725563,0.30538942739249597,0.42093156986774,0.5106382978723404,0.40540540540540543,0.5476190476190477,False
later,AMZN,has_aug_news,0,ORIG_PRICE_R1,19,0.47857142857142854,0.42105263157894735,-0.03912303982179758,0.3147556730709535,0.41428571428571426,0.6,0.35714285714285715,0.631578947368421,False
later,AMZN,has_aug_news,1,ORIG_PRICE_R1,160,0.5132141161576198,0.525,0.026874237543331982,0.2671790995686817,0.5355277733818642,0.6179775280898876,0.4084507042253521,0.60625,False
later,AMZN,has_original_news,0,ORIG_FULL_LR,95,0.5596187943262412,0.5578947368421052,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,has_original_news,1,ORIG_FULL_LR,84,0.5543415756181713,0.5238095238095238,0.12460403068253721,0.2757204114857473,0.4876365727429557,0.2978723404255319,0.8108108108108109,0.25,False
later,AMZN,has_aug_news,0,ORIG_FULL_LR,19,0.47857142857142854,0.42105263157894735,-0.03912303982179758,0.3147556730709535,0.41428571428571426,0.6,0.35714285714285715,0.631578947368421,False
later,AMZN,has_aug_news,1,ORIG_FULL_LR,160,0.5626681436936224,0.55625,0.1251680307562822,0.2516028662176386,0.5693938914385187,0.5056179775280899,0.6197183098591549,0.45,False
later,AMZN,has_original_news,0,ORIG_TFIDF_SVM,95,0.5596187943262412,0.5578947368421052,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,has_original_news,1,ORIG_TFIDF_SVM,84,0.47671075330649804,0.5238095238095238,-0.07476241840952233,0.24798132354065455,0.5025876940770557,0.8723404255319149,0.08108108108108109,0.8928571428571429,False
