phase,symbol,month,method,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AMZN,2018-09,ORIG_FINBERT_LR,57,0.41995073891625617,0.42105263157894735,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,ORIG_FINBERT_LR,69,0.5446428571428572,0.4782608695652174,0.08625819491779428,0.3155653486629534,0.5962301587301587,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,ORIG_FINMODERN_LR,57,0.5467980295566502,0.543859649122807,0.09925833339709303,0.23947929100944396,0.6391625615763548,0.7142857142857143,0.3793103448275862,0.6666666666666666,False
development,AMZN,2018-10,ORIG_FINMODERN_LR,69,0.5758928571428572,0.5217391304347826,0.1431049438115632,0.25310987660108625,0.6418650793650794,0.7142857142857143,0.4375,0.6086956521739131,False
development,AMZN,2018-09,ORIG_EVENT_META,57,0.43657635467980294,0.43859649122807015,-0.1302608319197154,0.25806664769871657,0.5036945812807881,0.32142857142857145,0.5517241379310345,0.38596491228070173,False
development,AMZN,2018-10,ORIG_EVENT_META,69,0.6071428571428572,0.5652173913043478,0.19889806323953876,0.2658660481219865,0.6369047619047619,0.7142857142857143,0.5,0.5652173913043478,False
later,AAPL,2018-11,PRICE_R1,60,0.5261401557285873,0.5333333333333333,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7419354838709677,0.3103448275862069,0.7166666666666667,False
later,AAPL,2018-12,PRICE_R1,53,0.6385448916408669,0.5660377358490566,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.8947368421052632,0.38235294117647056,0.7169811320754716,False
later,AAPL,2019-01,PRICE_R1,63,0.485966735966736,0.5238095238095238,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7027027027027027,0.2692307692307692,0.7142857142857143,False
later,AAPL,2019-02,PRICE_R1,2,,0.0,0.0,0.3846307444858184,,,0.0,1.0,True
later,AAPL,2018-11,AUG_FULL_LR,60,0.4883203559510567,0.5,-0.032691368880022616,0.2856049743745054,0.5661846496106785,0.8387096774193549,0.13793103448275862,0.85,False
later,AAPL,2018-12,AUG_FULL_LR,53,0.5503095975232198,0.4528301886792453,0.1285137228652776,0.3415026684077696,0.5975232198142415,0.8947368421052632,0.20588235294117646,0.8301886792452831,False
later,AAPL,2019-01,AUG_FULL_LR,63,0.5031185031185031,0.5238095238095238,0.0063230379732829725,0.24055459423236292,0.6133056133056134,0.6216216216216216,0.38461538461538464,0.6190476190476191,False
later,AAPL,2019-02,AUG_FULL_LR,2,,0.0,0.0,0.4816712814675821,,,0.0,1.0,True
later,AAPL,2018-11,AUG_TFIDF_SVM,60,0.5,0.5166666666666667,0.0,0.25493225480664244,0.6562847608453838,1.0,0.0,1.0,True
later,AAPL,2018-12,AUG_TFIDF_SVM,53,0.5,0.3584905660377358,0.0,0.2879754571137736,0.5108359133126935,1.0,0.0,1.0,True
later,AAPL,2019-01,AUG_TFIDF_SVM,63,0.5,0.5873015873015873,0.0,0.24165550438877287,0.551975051975052,1.0,0.0,1.0,True
later,AAPL,2019-02,AUG_TFIDF_SVM,2,,0.0,0.0,0.3623494474694714,,,0.0,1.0,True
later,AAPL,2018-11,AUG_FINBERT_LR,60,0.5778642936596218,0.5833333333333334,0.16508332072280238,0.24502653350658182,0.5873192436040046,0.7419354838709677,0.41379310344827586,0.6666666666666666,False
later,AAPL,2018-12,AUG_FINBERT_LR,53,0.5619195046439628,0.4528301886792453,0.17540654413022408,0.27270466095924745,0.6671826625386996,0.9473684210526315,0.17647058823529413,0.8679245283018868,False
later,AAPL,2019-01,AUG_FINBERT_LR,63,0.5550935550935552,0.5714285714285714,0.11088084491130999,0.25619178496167516,0.49688149688149685,0.6486486486486487,0.46153846153846156,0.6031746031746031,False
later,AAPL,2019-02,AUG_FINBERT_LR,2,,0.0,0.0,0.3375080238045389,,,0.0,1.0,True
