symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,outer,2018-07,no_semantic,60,0.6263736263736264,0.24232015747572203,0.24643020682983108,0.6,0.5384615384615384,0.7142857142857143,0.45,1.0
AAPL,outer,2018-07,no_body,60,0.5384615384615384,0.07546295692968115,0.24905859123574356,0.5,0.41025641025641024,0.6666666666666666,0.38333333333333336,1.0
AAPL,outer,2018-07,no_title,60,0.5915750915750916,0.17471413945365305,0.24694432548973974,0.5833333333333334,0.5641025641025641,0.6190476190476191,0.5,1.0
AAPL,outer,2018-07,uniform,60,0.5769230769230769,0.1480820649045572,0.25142181296860816,0.55,0.48717948717948717,0.6666666666666666,0.43333333333333335,1.0
AAPL,outer,2018-08,price,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.5942028985507246,0.6470588235294118,0.4444444444444444,0.6231884057971014,1.0
AAPL,outer,2018-08,title,69,0.5098039215686274,0.018475274304048998,0.23730918602646964,0.5942028985507246,0.6862745098039216,0.3333333333333333,0.6811594202898551,1.0
AAPL,outer,2018-08,body,69,0.46405228758169936,-0.07067418228235592,0.2583606979092237,0.5797101449275363,0.7058823529411765,0.2222222222222222,0.7246376811594203,1.0
AAPL,outer,2018-08,semantic,69,0.6290849673202614,0.22966668972778925,0.22131579356907594,0.6376811594202898,0.6470588235294118,0.6111111111111112,0.5797101449275363,1.0
AAPL,outer,2018-08,integrated,69,0.5294117647058824,0.05693238549900613,0.23849253890956862,0.6231884057971014,0.7254901960784313,0.3333333333333333,0.7101449275362319,1.0
AAPL,outer,2018-08,multi_only,69,0.5294117647058824,0.05693238549900613,0.23849253890956862,0.6231884057971014,0.7254901960784313,0.3333333333333333,0.7101449275362319,1.0
AAPL,outer,2018-08,no_semantic,69,0.5294117647058824,0.05693238549900613,0.23849253890956862,0.6231884057971014,0.7254901960784313,0.3333333333333333,0.7101449275362319,1.0
AAPL,outer,2018-08,no_body,69,0.5375816993464052,0.07001400420140048,0.23330154309587695,0.6086956521739131,0.6862745098039216,0.3888888888888889,0.6666666666666666,1.0
AAPL,outer,2018-08,no_title,69,0.5490196078431372,0.09803921568627451,0.23440202636456692,0.6521739130434783,0.7647058823529411,0.3333333333333333,0.7391304347826086,1.0
AAPL,outer,2018-08,uniform,69,0.6225490196078431,0.23094092880061248,0.22115850195576092,0.6811594202898551,0.7450980392156863,0.5,0.6811594202898551,1.0
AMZN,frozen,all,price,305,0.48012173012173015,-0.04108130850350009,0.2653435065654828,0.4721311475409836,0.6083916083916084,0.35185185185185186,0.6295081967213115,1.0
AMZN,frozen,all,title,305,0.48711473711473713,-0.02672923016810586,0.27698763722753034,0.4786885245901639,0.6223776223776224,0.35185185185185186,0.6360655737704918,1.0
AMZN,frozen,all,body,305,0.5585124751791418,0.11786747347821837,0.25394114213183816,0.5540983606557377,0.6293706293706294,0.4876543209876543,0.5672131147540984,1.0
AMZN,frozen,all,semantic,305,0.48711473711473713,-0.02672923016810586,0.28526524525884267,0.4786885245901639,0.6223776223776224,0.35185185185185186,0.6360655737704918,1.0
AMZN,frozen,all,integrated,305,0.502352585685919,0.004734901273009702,0.2579085562785647,0.49836065573770494,0.5664335664335665,0.4382716049382716,0.5639344262295082,1.0
AMZN,frozen,all,multi_only,305,0.502352585685919,0.004734901273009702,0.2579085562785647,0.49836065573770494,0.5664335664335665,0.4382716049382716,0.5639344262295082,1.0
AMZN,frozen,all,no_semantic,305,0.502352585685919,0.004734901273009702,0.2579085562785647,0.49836065573770494,0.5664335664335665,0.4382716049382716,0.5639344262295082,1.0
AMZN,frozen,all,no_body,305,0.48012173012173015,-0.04108130850350009,0.2653435065654828,0.4721311475409836,0.6083916083916084,0.35185185185185186,0.6295081967213115,1.0
AMZN,frozen,all,no_title,305,0.4842441509108176,-0.031974670301631876,0.25759959975274127,0.4786885245901639,0.5734265734265734,0.3950617283950617,0.5901639344262295,1.0
AMZN,frozen,all,uniform,305,0.4996762496762497,-0.000653393835176443,0.26201140399989703,0.49508196721311476,0.5734265734265734,0.42592592592592593,0.5737704918032787,1.0
AMZN,frozen,2018-09,price,57,0.5283251231527094,0.05817474046899912,0.24694643796602234,0.5263157894736842,0.6428571428571429,0.41379310344827586,0.6140350877192983,1.0
AMZN,frozen,2018-09,title,57,0.44027093596059114,-0.12172795978705897,0.2756094317865654,0.43859649122807015,0.5357142857142857,0.3448275862068966,0.5964912280701754,1.0
AMZN,frozen,2018-09,body,57,0.5443349753694582,0.08877935232369505,0.24712030362574378,0.543859649122807,0.5714285714285714,0.5172413793103449,0.5263157894736842,1.0
AMZN,frozen,2018-09,semantic,57,0.42056650246305416,-0.15906300624662031,0.2754328487932302,0.42105263157894735,0.39285714285714285,0.4482758620689655,0.47368421052631576,1.0
AMZN,frozen,2018-09,integrated,57,0.4913793103448276,-0.017241379310344827,0.25033581463891214,0.49122807017543857,0.5,0.4827586206896552,0.5087719298245614,1.0
AMZN,frozen,2018-09,multi_only,57,0.4913793103448276,-0.017241379310344827,0.25033581463891214,0.49122807017543857,0.5,0.4827586206896552,0.5087719298245614,1.0
AMZN,frozen,2018-09,no_semantic,57,0.4913793103448276,-0.017241379310344827,0.25033581463891214,0.49122807017543857,0.5,0.4827586206896552,0.5087719298245614,1.0
AMZN,frozen,2018-09,no_body,57,0.5283251231527094,0.05817474046899912,0.24694643796602234,0.5263157894736842,0.6428571428571429,0.41379310344827586,0.6140350877192983,1.0
AMZN,frozen,2018-09,no_title,57,0.5277093596059113,0.05611408793082274,0.2448248592274594,0.5263157894736842,0.6071428571428571,0.4482758620689655,0.5789473684210527,1.0
AMZN,frozen,2018-09,uniform,57,0.4729064039408867,-0.0543885074572447,0.25353995178036887,0.47368421052631576,0.42857142857142855,0.5172413793103449,0.45614035087719296,1.0
AMZN,frozen,2018-10,price,69,0.4732142857142857,-0.05050762722761054,0.27438016255401454,0.43478260869565216,0.5714285714285714,0.375,0.6086956521739131,1.0
AMZN,frozen,2018-10,title,69,0.5074404761904762,0.014029896452114039,0.2776618745191803,0.463768115942029,0.6190476190476191,0.3958333333333333,0.6086956521739131,1.0
AMZN,frozen,2018-10,body,69,0.6517857142857142,0.28081384444437113,0.2418096795501927,0.6086956521739131,0.7619047619047619,0.5416666666666666,0.5507246376811594,1.0
AMZN,frozen,2018-10,semantic,69,0.4553571428571429,-0.08815601984727771,0.3300590339312304,0.391304347826087,0.6190476190476191,0.2916666666666667,0.6811594202898551,1.0
AMZN,frozen,2018-10,integrated,69,0.5357142857142857,0.0657951694959769,0.256097973229077,0.5217391304347826,0.5714285714285714,0.5,0.5217391304347826,1.0
AMZN,frozen,2018-10,multi_only,69,0.5357142857142857,0.0657951694959769,0.256097973229077,0.5217391304347826,0.5714285714285714,0.5,0.5217391304347826,1.0
AMZN,frozen,2018-10,no_semantic,69,0.5357142857142857,0.0657951694959769,0.256097973229077,0.5217391304347826,0.5714285714285714,0.5,0.5217391304347826,1.0
AMZN,frozen,2018-10,no_body,69,0.4732142857142857,-0.05050762722761054,0.27438016255401454,0.43478260869565216,0.5714285714285714,0.375,0.6086956521739131,1.0
AMZN,frozen,2018-10,no_title,69,0.5148809523809523,0.02753076906317364,0.2584425427095555,0.4927536231884058,0.5714285714285714,0.4583333333333333,0.5507246376811594,1.0
AMZN,frozen,2018-10,uniform,69,0.5282738095238095,0.052712740442193935,0.27194298057343125,0.4927536231884058,0.6190476190476191,0.4375,0.5797101449275363,1.0
AMZN,frozen,2018-11,price,60,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5333333333333333,0.5833333333333334,0.4583333333333333,0.5666666666666667,1.0
AMZN,frozen,2018-11,title,60,0.513888888888889,0.027777777777777776,0.27126677331807436,0.5333333333333333,0.6111111111111112,0.4166666666666667,0.6,1.0
AMZN,frozen,2018-11,body,60,0.4444444444444444,-0.1111111111111111,0.2745240036339852,0.4666666666666667,0.5555555555555556,0.3333333333333333,0.6,1.0
AMZN,frozen,2018-11,semantic,60,0.5694444444444444,0.14433756729740643,0.2678553251664629,0.6,0.7222222222222222,0.4166666666666667,0.6666666666666666,1.0
AMZN,frozen,2018-11,integrated,60,0.5208333333333334,0.041192627728581725,0.26259296282002753,0.5333333333333333,0.5833333333333334,0.4583333333333333,0.5666666666666667,1.0
AMZN,frozen,2018-11,multi_only,60,0.5208333333333334,0.041192627728581725,0.26259296282002753,0.5333333333333333,0.5833333333333334,0.4583333333333333,0.5666666666666667,1.0
AMZN,frozen,2018-11,no_semantic,60,0.5208333333333334,0.041192627728581725,0.26259296282002753,0.5333333333333333,0.5833333333333334,0.4583333333333333,0.5666666666666667,1.0
AMZN,frozen,2018-11,no_body,60,0.5208333333333334,0.041192627728581725,0.26659197231364257,0.5333333333333333,0.5833333333333334,0.4583333333333333,0.5666666666666667,1.0
