phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,has_usable_text,0,N1M,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,N1M,124,0.5241596638655461,0.06411226104954046,0.29488484117001534,0.6042542016806722,0.8571428571428571,0.19117647058823528,0.8306451612903226,False
development,AAPL,has_qualified_event,0,N1M,40,0.5303030303030303,0.07537783614444091,0.30872791316156806,0.5176767676767677,0.8333333333333334,0.22727272727272727,0.8,False
development,AAPL,has_qualified_event,1,N1M,86,0.5119565217391304,0.03230825477230273,0.2866950131336672,0.6260869565217391,0.85,0.17391304347826086,0.8372093023255814,False
development,AAPL,has_original_news,0,N0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,N0,124,0.5477941176470589,0.12452068109744242,0.2812746976582664,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_usable_text,0,N0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,N0,124,0.5477941176470589,0.12452068109744242,0.2812746976582664,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_qualified_event,0,N0,40,0.6035353535353535,0.24669716448921308,0.293549975023867,0.5555555555555556,0.8888888888888888,0.3181818181818182,0.775,False
development,AAPL,has_qualified_event,1,N0,86,0.5119565217391304,0.03230825477230273,0.2741305913900761,0.6364130434782609,0.85,0.17391304347826086,0.8372093023255814,False
development,AMZN,has_original_news,0,F0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F0,73,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.4967793880837359,0.5925925925925926,0.3695652173913043,0.6164383561643836,False
development,AMZN,has_usable_text,0,F0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F0,73,0.48107890499194844,-0.037570916339223395,0.2760381016412171,0.4967793880837359,0.5925925925925926,0.3695652173913043,0.6164383561643836,False
development,AMZN,has_qualified_event,0,F0,118,0.4909420289855072,-0.01787996349630379,0.2683835360325943,0.532608695652174,0.5652173913043478,0.4166666666666667,0.576271186440678,False
development,AMZN,has_qualified_event,1,F0,8,0.3666666666666667,-0.2581988897471611,0.3088174176896387,0.4,0.3333333333333333,0.4,0.5,False
development,AMZN,has_original_news,0,R1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,R1,73,0.5334138486312399,0.07031061003186734,0.2776554103630293,0.5652173913043478,0.7407407407407407,0.32608695652173914,0.6986301369863014,False
development,AMZN,has_usable_text,0,R1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,R1,73,0.5334138486312399,0.07031061003186734,0.2776554103630293,0.5652173913043478,0.7407407407407407,0.32608695652173914,0.6986301369863014,False
development,AMZN,has_qualified_event,0,R1,118,0.49879227053140096,-0.0024154589371980675,0.2708592524161732,0.5504227053140096,0.6086956521739131,0.3888888888888889,0.6101694915254238,False
development,AMZN,has_qualified_event,1,R1,8,0.7,0.4472135954999579,0.28705854311838624,0.6,1.0,0.4,0.75,False
development,AMZN,has_original_news,0,F1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F1,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,has_usable_text,0,F1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F1,73,0.5994363929146538,0.20049361773565857,0.2366527460904941,0.5901771336553945,0.48148148148148145,0.717391304347826,0.3561643835616438,False
development,AMZN,has_qualified_event,0,F1,118,0.5585748792270531,0.11630996441185117,0.24858493438670284,0.5851449275362319,0.4782608695652174,0.6388888888888888,0.4067796610169492,False
development,AMZN,has_qualified_event,1,F1,8,0.5333333333333333,0.06666666666666667,0.2414554225661896,0.3333333333333333,0.6666666666666666,0.4,0.625,False
development,AMZN,has_original_news,0,F2,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F2,73,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,has_usable_text,0,F2,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F2,73,0.4440418679549114,-0.10981436312113849,0.32212584446777337,0.47665056360708535,0.5185185185185185,0.3695652173913043,0.589041095890411,False
development,AMZN,has_qualified_event,0,F2,118,0.447463768115942,-0.10286016413334878,0.298719613271713,0.49064009661835745,0.4782608695652174,0.4166666666666667,0.5423728813559322,False
development,AMZN,has_qualified_event,1,F2,8,0.7,0.4472135954999579,0.2819109317049626,0.6,1.0,0.4,0.75,False
development,AMZN,has_original_news,0,F6,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_original_news,1,F6,73,0.5595813204508857,0.13110740970142798,0.266041192610162,0.5426731078904992,0.8148148148148148,0.30434782608695654,0.7397260273972602,False
development,AMZN,has_usable_text,0,F6,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
development,AMZN,has_usable_text,1,F6,73,0.5595813204508857,0.13110740970142798,0.266041192610162,0.5426731078904992,0.8148148148148148,0.30434782608695654,0.7397260273972602,False
development,AMZN,has_qualified_event,0,F6,118,0.5135869565217391,0.027538005725776183,0.26558161595273583,0.5401570048309179,0.6521739130434783,0.375,0.635593220338983,False
development,AMZN,has_qualified_event,1,F6,8,0.7,0.4472135954999579,0.25892394395917373,0.6,1.0,0.4,0.75,False
development,AMZN,has_original_news,0,F1_temperature,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.5689149560117303,0.5,0.4838709677419355,0.5094339622641509,False
