method,phase,symbol,month,n,BA,MCC,Brier,Accuracy,AUC,predicted_up,constant
U,development,AMZN,2018-09,57,0.4716748768472906,-0.05817474046899912,0.25476004965760685,0.47368421052631576,0.5036945812807881,0.38596491228070173,False
U,development,AMZN,2018-10,69,0.65625,0.2890730751633232,0.24220680697950617,0.6521739130434783,0.6815476190476191,0.4492753623188406,False
U,later,AAPL,2018-11,60,0.41935483870967744,-0.2916230242449912,0.2643699406471833,0.43333333333333335,0.5239154616240267,0.9166666666666666,False
U,later,AAPL,2018-12,53,0.5356037151702786,0.0953872486770759,0.29794388918792936,0.4339622641509434,0.6052631578947368,0.8490566037735849,False
U,later,AAPL,2019-01,63,0.5015592515592516,0.003909831197463945,0.26491333773194986,0.5555555555555556,0.45530145530145527,0.8095238095238095,False
U,later,AAPL,2019-02,2,,0.0,0.41610131543483264,0.0,,1.0,True
U,later,AMZN,2018-11,60,0.5138888888888888,0.02723168561657922,0.267106988666287,0.5166666666666667,0.5370370370370371,0.5166666666666667,False
U,later,AMZN,2018-12,54,0.606015037593985,0.20770247549870044,0.23172681932992079,0.6296296296296297,0.6270676691729323,0.3888888888888889,False
U,later,AMZN,2019-01,63,0.51,0.019572034031470318,0.2701639820516313,0.5079365079365079,0.4473684210526316,0.49206349206349204,False
U,later,AMZN,2019-02,2,0.5,0.0,0.26145143278404165,0.5,0.0,1.0,True
U,train_forward_oof,AAPL,2018-03,62,0.5145833333333334,0.029288959306450306,0.28068955092967074,0.5161290322580645,0.5135416666666667,0.5483870967741935,False
U,train_forward_oof,AAPL,2018-04,63,0.544858870967742,0.11815066113959706,0.27110827744763727,0.5396825396825397,0.530241935483871,0.8253968253968254,False
U,train_forward_oof,AAPL,2018-05,66,0.4883504193849022,-0.023169959709801357,0.28727782588582806,0.48484848484848486,0.43429636533084803,0.4696969696969697,False
U,train_forward_oof,AAPL,2018-06,63,0.45833333333333337,-0.08492077756084468,0.2549990706951743,0.47619047619047616,0.4660493827160493,0.6190476190476191,False
U,train_forward_oof,AAPL,2018-07,60,0.4010989010989011,-0.1957807216292501,0.25433201323688553,0.45,0.40903540903540914,0.6333333333333333,False
U,train_forward_oof,AAPL,2018-08,69,0.446078431372549,-0.10989747684344606,0.2570041065153792,0.5797101449275363,0.39760348583877997,0.7536231884057971,False
U,train_forward_oof,AMZN,2018-03,62,0.42486772486772484,-0.15937962369601547,0.30454245710075767,0.4032258064516129,0.40529100529100526,0.6774193548387096,False
U,train_forward_oof,AMZN,2018-04,63,0.37857142857142856,-0.2531399269503094,0.2762832309533964,0.3968253968253968,0.3520408163265306,0.3492063492063492,False
U,train_forward_oof,AMZN,2018-05,65,0.6101364522417154,0.24257697570248454,0.25015896106178054,0.5692307692307692,0.5604288499025342,0.27692307692307694,False
U,train_forward_oof,AMZN,2018-06,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.5714285714285714,0.5630434782608695,0.49206349206349204,False
U,train_forward_oof,AMZN,2018-07,60,0.6166666666666667,0.23995690956687135,0.2380766481082152,0.6166666666666667,0.64,0.6166666666666667,False
U,train_forward_oof,AMZN,2018-08,69,0.6400862068965517,0.27661828579457937,0.2305148064594193,0.6376811594202898,0.6672413793103448,0.5072463768115942,False
A,development,AAPL,2018-09,57,0.5997536945812808,0.21456972463472546,0.24383742846575646,0.5964912280701754,0.6194581280788177,0.6842105263157895,False
A,development,AAPL,2018-10,69,0.5410256410256411,0.09439569093506098,0.2551867165967402,0.5072463768115942,0.5196581196581197,0.7536231884057971,False
A,development,AMZN,2018-09,57,0.4895320197044335,-0.02133376614824745,0.2542704790410794,0.49122807017543857,0.5110837438423645,0.40350877192982454,False
A,development,AMZN,2018-10,69,0.65625,0.2890730751633232,0.24220680697950617,0.6521739130434783,0.6815476190476191,0.4492753623188406,False
A,later,AAPL,2018-11,60,0.5066740823136818,0.01667593364912675,0.2541648403119982,0.5166666666666667,0.5650723025583982,0.8,False
A,later,AAPL,2018-12,53,0.5565015479876161,0.12030098223477871,0.25522651923164164,0.49056603773584906,0.6408668730650154,0.7169811320754716,False
