variant,method,parameter,symbol,month,n,BA,MCC,Brier,pred_up,constant,selected_oof,selected_final,return_MAE,return_RMSE,return_corr
price,C1,0.01,AMZN,2018-08,69,0.593103448275862,0.18399945481723784,0.239194536645777,0.5217391304347826,0,,,0.005534056540255035,0.007088011914394862,0.32626902671199404
price,C1,0.1,AMZN,2018-08,69,0.593103448275862,0.18399945481723784,0.23921057433387696,0.5217391304347826,0,,,0.005534304384367735,0.007088017595774491,0.3262773763049426
price,C1,1.0,AMZN,2018-08,69,0.593103448275862,0.18399945481723784,0.2393668946161382,0.5217391304347826,0,,,0.005536661345863005,0.007088142137554325,0.3263440310594923
price,C1,10.0,AMZN,2018-08,69,0.5758620689655172,0.1501785206706653,0.24061904113191246,0.5362318840579711,0,,,0.005554774717137381,0.00709333094907754,0.32566784408742633
price,C1,1.0,AAPL,2018-03,62,0.5229166666666667,0.05046083923495819,0.2670360895498201,0.2903225806451613,0,True,,0.00863265191248783,0.011643891898410414,0.0013266240529138929
price,C1,1.0,AMZN,2018-03,62,0.4296296296296296,-0.14744639577357763,0.30546709145404866,0.3387096774193548,0,True,,0.012365914046812747,0.01862378510382406,-0.4797523755440725
price,C1,1.0,AAPL,2018-04,63,0.49243951612903225,-0.015136233740515087,0.2550692507903137,0.5238095238095238,0,True,,0.008112650894255316,0.011228330860747001,-0.0006153035848773233
price,C1,1.0,AMZN,2018-04,63,0.4535714285714285,-0.09285714285714286,0.2765984358380128,0.4444444444444444,0,True,,0.012984830788789682,0.016881181692793654,-0.10304404034891651
price,C1,1.0,AAPL,2018-05,66,0.49347623485554526,-0.014090754910992804,0.26197637014842795,0.30303030303030304,0,True,,0.005977131780315049,0.00792913749060815,-0.06402793057458946
price,C1,1.0,AMZN,2018-05,65,0.4834307992202729,-0.03649388130037378,0.2591998949727162,0.27692307692307694,0,True,,0.005160479833176454,0.00656441298879137,-0.15902344859633152
price,C1,1.0,AAPL,2018-06,63,0.49537037037037035,-0.009517337345336012,0.2627315700672614,0.36507936507936506,0,True,,0.005022653273033275,0.006179582083012497,0.06454210540914065
price,C1,1.0,AMZN,2018-06,63,0.5228260869565218,0.04662524041201569,0.2514795823070729,0.3333333333333333,0,True,,0.006303917042583237,0.008238854517920563,0.11803682846991301
price,C1,1.0,AAPL,2018-07,60,0.5347985347985348,0.07366720901486377,0.25869740211056647,0.2833333333333333,0,True,,0.005515699681774418,0.007132254318839812,0.00473314431467883
price,C1,1.0,AMZN,2018-07,60,0.5666666666666667,0.13333333333333333,0.23879722482522428,0.5,0,True,,0.006735066124079412,0.0093189532833752,0.18793183171313166
price,C1,1.0,AAPL,2018-08,69,0.5522875816993464,0.09192670044355895,0.24595986451637675,0.5217391304347826,0,True,,0.005316823113873108,0.007148773046278604,0.19316020890678887
price,C1,1.0,AMZN,2018-08,69,0.593103448275862,0.18399945481723784,0.2393668946161382,0.5217391304347826,0,True,,0.005536661345863005,0.007088142137554325,0.3263440310594923
price,C1,1.0,AAPL,development,126,0.5679513184584178,0.14208985534541094,0.24166077613473308,0.6507936507936508,0,,True,0.00709452553364929,0.009350556149798251,0.20897341252259272
price,C1,1.0,AMZN,development,126,0.5194805194805194,0.038160315698326765,0.25621886701936447,0.5476190476190477,0,,True,0.01165510254181382,0.015472323549251649,0.08803852202960465
price,C1,1.0,AAPL,later,178,0.5253884046987495,0.052549035770563274,0.26213751948866126,0.6292134831460674,0,,True,0.010628588215633004,0.013320642224778752,0.06263972377441482
price,C1,1.0,AMZN,later,179,0.5527534418022528,0.10855210242059282,0.25394394296476014,0.6201117318435754,0,,True,0.014109678636094438,0.01885008722840071,0.10973064158157356
price,C2,0.0,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.3522343225442419,0.46774193548387094,0,,,0.007592051715075821,0.010121845079397573,-0.06432562361505116
price,C2,0.1,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.35186012404344086,0.46774193548387094,0,,,0.007932505203248792,0.010751075549319521,0.13704597655670248
price,C2,0.5,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.3515656364858936,0.46774193548387094,0,,,0.007984646763563974,0.010921825762404823,0.13121048384111247
price,C2,1.0,AAPL,2018-03,62,0.46875,-0.0625978857295168,0.3507194899031035,0.46774193548387094,0,,,0.008001277750551799,0.010957274033030914,0.1299448338015459
price,C2,0.0,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.3727004744355071,0.5806451612903226,0,,,0.008640778484255684,0.012128511673250254,0.22800332154307545
price,C2,0.1,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.3725960743947907,0.5806451612903226,0,,,0.010671624665240898,0.015153427447572667,-0.34542287872833316
price,C2,0.5,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.37126233821768606,0.5806451612903226,0,,,0.010967988592441393,0.01569311930600673,-0.3743568534937183
price,C2,1.0,AMZN,2018-03,62,0.4777777777777778,-0.044657608470472246,0.3692374875882622,0.5806451612903226,0,,,0.010992536714242296,0.01574617135436154,-0.37612945832701367
price,C2,0.0,AAPL,2018-04,63,0.44606854838709675,-0.11022145480880653,0.32993825894316414,0.6031746031746031,0,,,0.007548469844384451,0.009912840044127734,0.0774805743909543
price,C2,0.1,AAPL,2018-04,63,0.44606854838709675,-0.11022145480880653,0.33019235017095666,0.6031746031746031,0,,,0.007976494217669142,0.011340537320964445,-0.023058549416778772
price,C2,0.5,AAPL,2018-04,63,0.44606854838709675,-0.11022145480880653,0.33035886941839804,0.6031746031746031,0,,,0.008084007961286626,0.011435657122286681,-0.025715734869602432
price,C2,1.0,AAPL,2018-04,63,0.44606854838709675,-0.11022145480880653,0.3305514424290893,0.6031746031746031,0,,,0.008103888718656785,0.011445120819479801,-0.024669179807676456
price,C2,0.0,AMZN,2018-04,63,0.45357142857142857,-0.09372184261837677,0.33000255942562234,0.5873015873015873,0,,,0.010747857203259475,0.014020705794343185,-0.165465660661699
price,C2,0.1,AMZN,2018-04,63,0.45357142857142857,-0.09372184261837677,0.3301663279436426,0.5873015873015873,0,,,0.012558534895190957,0.016435068872141228,-0.11036134455237337
price,C2,0.5,AMZN,2018-04,63,0.45357142857142857,-0.09372184261837677,0.33030572335020614,0.5873015873015873,0,,,0.012890153288304963,0.016791687065474074,-0.12526475968189163
price,C2,1.0,AMZN,2018-04,63,0.45357142857142857,-0.09372184261837677,0.3306539472903885,0.5873015873015873,0,,,0.012941470977079112,0.01684037281943081,-0.1270027085058995
price,C2,0.0,AAPL,2018-05,66,0.5400745573159367,0.08048737734561064,0.28846800566147995,0.42424242424242425,0,,,0.004796800247859505,0.006371792118802359,-0.06731010622761383
price,C2,0.1,AAPL,2018-05,66,0.5400745573159367,0.08048737734561064,0.28867071825052093,0.42424242424242425,0,,,0.005833640872755239,0.007350098593542891,0.0030314635551493326
price,C2,0.5,AAPL,2018-05,66,0.5400745573159367,0.08048737734561064,0.2886695929089863,0.42424242424242425,0,,,0.0058843357391235905,0.00741475960201727,-0.010090886821739682
price,C2,1.0,AAPL,2018-05,66,0.5400745573159367,0.08048737734561064,0.2886672836468424,0.42424242424242425,0,,,0.0058914002753601945,0.007425613677389751,-0.012358943924288079
price,C2,0.0,AMZN,2018-05,65,0.44590643274853803,-0.10663931317935317,0.2745177896492419,0.49230769230769234,0,,,0.003950633202761855,0.005095331691096185,0.13557445029304444
price,C2,0.1,AMZN,2018-05,65,0.40886939571150094,-0.17982398626950324,0.2735867252842099,0.5230769230769231,0,,,0.004603174491934794,0.005780932870766396,-0.10028470896550061
price,C2,0.5,AMZN,2018-05,65,0.40886939571150094,-0.17982398626950324,0.27405882025240164,0.5230769230769231,0,,,0.004661918578522091,0.005845529889294665,-0.10441365523639665
price,C2,1.0,AMZN,2018-05,65,0.40886939571150094,-0.17982398626950324,0.2738974465886694,0.5230769230769231,0,,,0.004670179460403365,0.005852716819772938,-0.10436218993770803
price,C2,0.0,AAPL,2018-06,63,0.44907407407407407,-0.10112618056102679,0.2855504233581605,0.4603174603174603,0,,,0.0041867730089956215,0.005565910276591857,-0.1841179654492501
price,C2,0.1,AAPL,2018-06,63,0.4629629629629629,-0.07339758434175737,0.2855173107182205,0.47619047619047616,0,,,0.004967924395042294,0.006147271460514669,0.030589913969899317
price,C2,0.5,AAPL,2018-06,63,0.4629629629629629,-0.07339758434175737,0.2854753254534402,0.47619047619047616,0,,,0.00499947541949975,0.006184973589711802,0.029792444214283672
