method,symbol,BA_mean,BA_std,accuracy_mean,accuracy_std,MCC_mean,MCC_std,Brier_mean,Brier_std,log_loss_mean,log_loss_std,predicted_up_mean,predicted_up_std,TPR_mean,TPR_std,TNR_mean,TNR_std
FULL,AAPL,0.6756819506913209,0.01207215252857032,0.6811955168119551,0.012009527722282627,0.3547965671232678,0.0244078076451776,0.22281157682941186,0.0036266639188109397,0.7029281780086071,0.01834377257133123,0.5807388958073889,0.0007189916179198518,0.7417624521072796,0.011339960603025877,0.6096014492753623,0.012841890288729877
FULL,AMZN,0.6027871398361089,0.008088528865591976,0.6040630182421227,0.007996393665831653,0.20618294791053127,0.016083652707475325,0.2524091344612758,0.002205627114619037,0.7580670573524384,0.014686814141158362,0.5402155887230514,0.016185092285193336,0.639423076923077,0.016654334688162305,0.5661512027491409,0.01951514895464016
FULL_SHRINK,AAPL,0.6756819506913209,0.01207215252857032,0.6811955168119551,0.012009527722282627,0.3547965671232678,0.0244078076451776,0.21330116366129018,0.00288201565811036,0.6176560746427945,0.006148574253222122,0.5807388958073889,0.0007189916179198518,0.7417624521072796,0.011339960603025877,0.6096014492753623,0.012841890288729877
FULL_SHRINK,AMZN,0.6027871398361089,0.008088528865591976,0.6040630182421227,0.007996393665831653,0.20618294791053127,0.016083652707475325,0.23824791571460438,0.00267275052884209,0.6700671650276583,0.006174076710465298,0.5402155887230514,0.016185092285193336,0.639423076923077,0.016654334688162305,0.5661512027491409,0.01951514895464016
PAPER,AAPL,0.6725137431284357,0.010128497428486176,0.6766293067662931,0.010591407905498588,0.3467787980647586,0.020820823243459147,0.22723435484511145,0.003300494051425405,0.7166367442651326,0.019732991194805913,0.5637193856371939,0.015064547373702025,0.7218390804597701,0.02043263084440368,0.6231884057971014,0.014966224313277467
PAPER,AMZN,0.5851754559873116,0.011410620646935099,0.5928689883913765,0.01128578572870331,0.19035892147891587,0.024805637205981362,0.24980762353281413,0.0017459029156127195,0.728643662523999,0.008115183902219629,0.7238805970149254,0.005699721013626659,0.8060897435897436,0.009100814656731196,0.3642611683848797,0.015747682800535547
PARAGRAPH_FINBERT_FUSION,AAPL,0.6719192487089788,0.011492666147931097,0.6778746367787463,0.011571075022637054,0.34780402396144355,0.02346499740463953,0.21808551342517932,0.0018144365852753148,0.6597438628248459,0.003988733903705793,0.5857202158572021,0.0031340118037653697,0.7432950191570882,0.012661081717899095,0.6005434782608695,0.010869565217391311
PARAGRAPH_FINBERT_FUSION,AMZN,0.5975209820248479,0.008355865725632076,0.5986733001658374,0.008281502634924645,0.19551397225243253,0.016619192316603495,0.244725979448717,0.005212786856100092,0.7023803489889647,0.030243039080001546,0.5364842454394694,0.01697810549705078,0.6306089743589743,0.01771902595151918,0.5644329896907215,0.020129509473986226
PARAGRAPH_MODERN_FUSION,AAPL,0.6751238963851408,0.009999628671811589,0.6811955168119551,0.01019346546933057,0.35450676289408806,0.020618511956281567,0.21823056995827747,0.004832881076002782,0.6664932633192879,0.024505658872259226,0.5873806558738065,0.004373455273081257,0.7478927203065133,0.012661081717899118,0.6023550724637681,0.008301767563325782
PARAGRAPH_MODERN_FUSION,AMZN,0.5978348863335977,0.00970427592784958,0.5990878938640133,0.009335265546598397,0.19621629428736698,0.019105314163290414,0.24140250756554604,0.003274826976688289,0.6862487449398026,0.010776122385133624,0.5393864013266998,0.01742773595106445,0.6338141025641026,0.013878612240135266,0.5618556701030928,0.02485477000255919
PRICE,AAPL,0.5583510328169249,0.007102982510691966,0.5699460356994603,0.008102624033185141,0.12163142398074718,0.01582112421820045,0.24678611911509274,0.0009488351371772951,0.6885710336698682,0.002002511839811939,0.6438356164383562,0.024051317454331207,0.6973180076628352,0.02742609987459509,0.41938405797101447,0.02196441241482272
PRICE,AMZN,0.5267603423209093,0.01062662109190119,0.5302653399668326,0.01035654726102554,0.054586223944075835,0.021560060009405368,0.2562713732356464,0.0025011185114110876,0.7083605037411683,0.006077449160268935,0.6015754560530681,0.007996393665831604,0.6274038461538461,0.004163583672040556,0.4261168384879725,0.01864478901564494
