symbol,seed,coverage,method,n,up,down,errors,can_modify,changed,repaired,introduced,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AMZN,573,no_news,TFIDF_SVM,389,213,176,176,0,144,69,75,0.5,0.24896320770967537,0.0,0.5475578406169666,1.0,True,0.6910922014785252,1.0,0.0
AMZN,573,no_news,A1,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,no_news,A2,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,no_news,A3,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,no_news,B1,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,no_news,B2,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,no_news,FULL_SHRINK,389,213,176,170,0,0,0,0,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False,0.6786369737282949,0.676056338028169,0.42613636363636365
AMZN,573,target_paragraph,FULL,412,200,212,141,0,0,0,0,0.6565566037735848,0.25864298476233216,0.314320171754638,0.6577669902912622,0.4538834951456311,False,0.8365832999496892,0.615,0.6981132075471698
AMZN,573,target_paragraph,TFIDF_SVM,412,200,212,138,0,59,31,28,0.6634905660377358,0.22017785994249786,0.3290834255651734,0.6650485436893204,0.441747572815534,False,0.6321865004150591,0.61,0.7169811320754716
AMZN,573,target_paragraph,A1,412,200,212,140,412,81,41,40,0.6586320754716981,0.22911275925828664,0.3193039700449158,0.6601941747572816,0.441747572815534,False,0.6505961279046629,0.605,0.7122641509433962
AMZN,573,target_paragraph,A2,412,200,212,148,412,93,43,50,0.6389150943396227,0.23255415939757879,0.28031376995856877,0.6407766990291263,0.4320388349514563,False,0.6575384560127496,0.575,0.7028301886792453
AMZN,573,target_paragraph,A3,412,200,212,135,412,70,38,32,0.6702830188679245,0.22123097119796936,0.34434284837204143,0.6723300970873787,0.42475728155339804,False,0.633916142234095,0.6,0.7405660377358491
AMZN,573,target_paragraph,B1,412,200,212,149,412,18,5,13,0.6369811320754717,0.2623241559908083,0.2752801411271734,0.6383495145631068,0.44902912621359226,False,0.8440510268066383,0.59,0.6839622641509434
AMZN,573,target_paragraph,B2,412,200,212,136,412,41,23,18,0.6687735849056604,0.26217259781728447,0.3386994297632792,0.6699029126213593,0.4563106796116505,False,0.9308670124456715,0.63,0.7075471698113207
AMZN,573,target_paragraph,FULL_SHRINK,412,200,212,141,0,0,0,0,0.6565566037735848,0.22922164930485964,0.314320171754638,0.6577669902912622,0.4538834951456311,False,0.6512701392483315,0.615,0.6981132075471698
AMZN,574,news_without_target_paragraph,FULL,3,3,0,1,0,0,0,0,,0.1853806484131891,,0.6666666666666666,0.6666666666666666,False,0.5599949834685524,0.6666666666666666,
AMZN,574,news_without_target_paragraph,TFIDF_SVM,3,3,0,0,0,1,1,0,,0.1334691860850357,,1.0,1.0,True,0.4532311588236075,1.0,
AMZN,574,news_without_target_paragraph,A1,3,3,0,1,3,2,1,1,,0.21979904489366442,,0.6666666666666666,0.6666666666666666,False,0.6324116799569535,0.6666666666666666,
AMZN,574,news_without_target_paragraph,A2,3,3,0,1,3,2,1,1,,0.23003681020912525,,0.6666666666666666,0.6666666666666666,False,0.6530340336786483,0.6666666666666666,
AMZN,574,news_without_target_paragraph,A3,3,3,0,0,3,1,1,0,,0.17044365582712806,,1.0,1.0,True,0.530503513713979,1.0,
AMZN,574,news_without_target_paragraph,B1,3,3,0,1,0,0,0,0,,0.1853806484131891,,0.6666666666666666,0.6666666666666666,False,0.5599949834685524,0.6666666666666666,
AMZN,574,news_without_target_paragraph,B2,3,3,0,1,0,0,0,0,,0.1853806484131891,,0.6666666666666666,0.6666666666666666,False,0.5599949834685524,0.6666666666666666,
AMZN,574,news_without_target_paragraph,FULL_SHRINK,3,3,0,1,0,0,0,0,,0.21482008521328275,,0.6666666666666666,0.6666666666666666,False,0.6222448652489562,0.6666666666666666,
AMZN,574,no_news,FULL,389,213,176,180,0,0,0,0,0.5217002774221084,0.25097340841262733,0.045795189357902305,0.5372750642673522,0.6658097686375322,False,0.6972902394319163,0.6854460093896714,0.35795454545454547
AMZN,574,no_news,TFIDF_SVM,389,213,176,176,0,130,67,63,0.5,0.24895711521521158,0.0,0.5475578406169666,1.0,True,0.691094866684918,1.0,0.0
