symbol,reference,method,resampling,delta_BA,low,high,replicates
AMZN,FULL,TFIDF_SVM_PRICE_FALLBACK,day5,0.008586934972244251,-0.005769555465993718,0.023442434800047995,1000
AMZN,FULL,TFIDF_SVM_PRICE_FALLBACK,association_group,0.008586934972244251,-0.008838481986566605,0.024069103145852117,1000
AMZN,TFIDF_SVM,A1,day1,0.00945017182130585,-0.020480154177389735,0.04123933689006963,1000
AMZN,TFIDF_SVM,A1,day5,0.00945017182130585,-0.02692562703153485,0.0408629690312712,1000
AMZN,TFIDF_SVM,A1,association_group,0.00945017182130585,-0.019537091216966024,0.04286842970943644,1000
AMZN,TFIDF_SVM,A2,day1,0.0014662635474491509,-0.027529786694697345,0.03298719758146508,1000
AMZN,TFIDF_SVM,A2,day5,0.0014662635474491509,-0.03434107625981615,0.03344836571211959,1000
AMZN,TFIDF_SVM,A2,association_group,0.0014662635474491509,-0.025898581946681955,0.0358112247805377,1000
AMZN,TFIDF_SVM,A3,day1,0.010449709225482412,-0.01720985146735225,0.03990669091710758,1000
AMZN,TFIDF_SVM,A3,day5,0.010449709225482412,-0.020098906697729717,0.03944998062802569,1000
AMZN,TFIDF_SVM,A3,association_group,0.010449709225482412,-0.015531310857914211,0.04016427603983662,1000
AMZN,TFIDF_SVM,B1,day1,-0.0015984337827120998,-0.030817795946812616,0.032719274286763904,1000
AMZN,TFIDF_SVM,B1,day5,-0.0015984337827120998,-0.03264097663075382,0.028348042360004395,1000
AMZN,TFIDF_SVM,B1,association_group,-0.0015984337827120998,-0.03300553035624812,0.03277265523509198,1000
AMZN,TFIDF_SVM,B2,day1,0.0028912238963785253,-0.027771661682149843,0.03651462683467137,1000
AMZN,TFIDF_SVM,B2,day5,0.0028912238963785253,-0.03013378429819419,0.03258706636831635,1000
AMZN,TFIDF_SVM,B2,association_group,0.0028912238963785253,-0.026718177414334892,0.03527799982558451,1000
AMZN,TFIDF_SVM,FULL_SHRINK,day1,0.0016356066613798653,-0.028899964102277857,0.03561432832416746,1000
AMZN,TFIDF_SVM,FULL_SHRINK,day5,0.0016356066613798653,-0.030114108846249658,0.03288114351411722,1000
AMZN,TFIDF_SVM,FULL_SHRINK,association_group,0.0016356066613798653,-0.029458221030145035,0.03651990313388249,1000
AMZN,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,day1,0.0102225416336241,-0.01627626380489328,0.03800971593603823,1000
AMZN,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,day5,0.0102225416336241,-0.01716910993491559,0.03603445402407235,1000
AMZN,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,association_group,0.0102225416336241,-0.014592790674158264,0.03725553974497359,1000
