symbol,seed,reference,method,delta_BA,delta_accuracy,delta_MCC,delta_Brier,delta_log_loss
AAPL,575,FULL,A2,-0.07724262868565712,-0.06600249066002484,-0.13787595625935936,0.009253322094351757,-0.051723886976320355
AAPL,575,FULL,A3,-0.05852698650674659,-0.0547945205479452,-0.11402497242304921,-0.0030890505894343168,-0.07811045970248864
AAPL,575,FULL,B1,-0.006687281359320174,-0.00747198007471972,-0.014605493769259348,0.0020942078176053314,0.004334989462760119
AAPL,575,FULL,B2,-0.01755372313843062,-0.01992528019925277,-0.038123101363140455,0.008775416448268042,0.041678751606471276
AAPL,575,FULL,FULL_SHRINK,0.0,0.0,0.0,-0.009057626394767648,-0.08916709284234192
AAPL,575,FULL,TFIDF_SVM_PRICE_FALLBACK,0.021632933533233478,0.021170610211706187,0.04320140968376568,-0.01921524200372346,-0.11159568432362577
AAPL,575,TFIDF_SVM,A1,-0.08925849575212397,-0.0797011207970113,-0.16599902974371675,0.022722634074785947,0.04809403460076811
AAPL,575,TFIDF_SVM,A2,-0.09636744127936037,-0.08468244084682441,-0.1760169272464102,0.02807570168843332,0.059046444300269285
AAPL,575,TFIDF_SVM,A3,-0.07765179910044984,-0.07347447073474478,-0.15216594341010004,0.015733329004647245,0.032659871574100996
AAPL,575,TFIDF_SVM,B1,-0.02581209395302342,-0.026151930261519296,-0.052746464756310174,0.020916587411686893,0.11510532073934976
AAPL,575,TFIDF_SVM,B2,-0.036678535732133866,-0.03860523038605235,-0.07626407235019128,0.027597796042349604,0.15244908288306092
AAPL,575,TFIDF_SVM,FULL_SHRINK,-0.019124812593703244,-0.018679950186799577,-0.038140970987050826,0.009764753199313914,0.021603238434247718
AAPL,575,TFIDF_SVM,TFIDF_SVM_PRICE_FALLBACK,0.002508120939530234,0.00249066002490661,0.005060438696714853,-0.00039286240964189756,-0.0008253530470361259
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,A1,-0.0917666166916542,-0.08219178082191791,-0.1710594684404316,0.023115496484427844,0.048919387647804236
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,A2,-0.0988755622188906,-0.08717310087173102,-0.18107736594312504,0.028468564098075216,0.05987179734730541
AAPL,575,TFIDF_SVM_PRICE_FALLBACK,A3,-0.08015992003998007,-0.07596513075965139,-0.1572263821068149,0.016126191414289143,0.03348522462113712
