seed,symbol,fold,method,calibration_model,terms,bigrams,numeric_terms,negation_terms,C,rho,semantic_dimensions
574,AMZN,9,A1,0,5000.0,0,629,2,1.0,0.0,0
574,AMZN,9,A2,0,5000.0,2432,418,24,1.0,0.0,0
574,AMZN,9,A3,0,5000.0,2476,401,28,1.0,0.0,0
574,AMZN,9,A3,1,5000.0,2453,456,23,1.0,0.0,0
574,AMZN,9,A3,2,5000.0,2443,460,21,1.0,0.0,0
574,AMZN,9,B2,-1,500.0,0,0,0,0.1,1.0,768
574,AMZN,9,B1,-1,,0,0,0,1.0,0.0,0
575,AAPL,0,A1,0,5000.0,0,759,3,1.0,0.0,0
575,AAPL,0,A2,0,5000.0,2793,778,15,1.0,0.0,0
575,AAPL,0,A3,0,5000.0,2809,785,14,1.0,0.0,0
575,AAPL,0,A3,1,5000.0,2776,768,13,1.0,0.0,0
575,AAPL,0,A3,2,5000.0,2807,790,15,1.0,0.0,0
575,AAPL,0,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AAPL,0,B2,-1,500.0,0,0,0,1.0,0.1,768
575,AAPL,1,A1,0,5000.0,0,751,3,1.0,0.0,0
575,AAPL,1,A2,0,5000.0,2783,778,14,1.0,0.0,0
575,AAPL,1,A3,0,5000.0,2797,786,15,1.0,0.0,0
575,AAPL,1,A3,1,5000.0,2768,768,13,1.0,0.0,0
575,AAPL,1,A3,2,5000.0,2787,753,15,1.0,0.0,0
575,AAPL,1,B1,-1,,0,0,0,1.0,0.0,0
575,AAPL,1,B2,-1,,0,0,0,1.0,0.0,0
575,AAPL,2,A1,0,5000.0,0,736,3,1.0,0.0,0
575,AAPL,2,A2,0,5000.0,2786,756,15,1.0,0.0,0
575,AAPL,2,A3,0,5000.0,2782,773,15,1.0,0.0,0
575,AAPL,2,A3,1,5000.0,2771,755,15,1.0,0.0,0
575,AAPL,2,A3,2,5000.0,2779,728,15,1.0,0.0,0
575,AAPL,2,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AAPL,2,B2,-1,500.0,0,0,0,1.0,1.0,768
575,AAPL,3,A1,0,5000.0,0,759,3,1.0,0.0,0
575,AAPL,3,A2,0,5000.0,2793,785,14,1.0,0.0,0
575,AAPL,3,A3,0,5000.0,2784,770,14,1.0,0.0,0
575,AAPL,3,A3,1,5000.0,2790,788,14,1.0,0.0,0
575,AAPL,3,A3,2,5000.0,2783,788,13,1.0,0.0,0
575,AAPL,3,B1,-1,500.0,0,0,0,0.1,1.0,16
575,AAPL,3,B2,-1,500.0,0,0,0,0.1,0.1,768
575,AAPL,4,A1,0,5000.0,0,734,3,1.0,0.0,0
575,AAPL,4,A2,0,5000.0,2786,769,15,1.0,0.0,0
575,AAPL,4,A3,0,5000.0,2789,770,14,1.0,0.0,0
575,AAPL,4,A3,1,5000.0,2766,741,15,1.0,0.0,0
575,AAPL,4,A3,2,5000.0,2790,763,18,1.0,0.0,0
575,AAPL,4,B1,-1,500.0,0,0,0,1.0,0.1,16
575,AAPL,4,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AAPL,5,A1,0,5000.0,0,770,3,1.0,0.0,0
575,AAPL,5,A2,0,5000.0,2801,784,15,1.0,0.0,0
575,AAPL,5,A3,0,5000.0,2813,786,15,1.0,0.0,0
575,AAPL,5,A3,1,5000.0,2791,789,14,1.0,0.0,0
575,AAPL,5,A3,2,5000.0,2797,777,16,1.0,0.0,0
575,AAPL,5,B1,-1,500.0,0,0,0,0.1,0.1,16
575,AAPL,5,B2,-1,500.0,0,0,0,0.1,0.1,768
575,AAPL,6,A1,0,5000.0,0,750,3,1.0,0.0,0
575,AAPL,6,A2,0,5000.0,2789,766,15,1.0,0.0,0
575,AAPL,6,A3,0,5000.0,2807,776,14,1.0,0.0,0
575,AAPL,6,A3,1,5000.0,2775,770,14,1.0,0.0,0
575,AAPL,6,A3,2,5000.0,2787,763,16,1.0,0.0,0
575,AAPL,6,B1,-1,,0,0,0,1.0,0.0,0
575,AAPL,6,B2,-1,,0,0,0,1.0,0.0,0
575,AAPL,7,A1,0,5000.0,0,740,3,1.0,0.0,0
575,AAPL,7,A2,0,5000.0,2793,779,14,1.0,0.0,0
575,AAPL,7,A3,0,5000.0,2782,762,15,1.0,0.0,0
575,AAPL,7,A3,1,5000.0,2790,760,16,1.0,0.0,0
575,AAPL,7,A3,2,5000.0,2788,787,13,1.0,0.0,0
575,AAPL,7,B1,-1,500.0,0,0,0,0.1,0.1,16
575,AAPL,7,B2,-1,500.0,0,0,0,0.1,0.1,768
575,AAPL,8,A1,0,5000.0,0,755,3,1.0,0.0,0
575,AAPL,8,A2,0,5000.0,2790,772,15,1.0,0.0,0
575,AAPL,8,A3,0,5000.0,2796,782,14,1.0,0.0,0
575,AAPL,8,A3,1,5000.0,2771,763,14,1.0,0.0,0
575,AAPL,8,A3,2,5000.0,2784,751,16,1.0,0.0,0
575,AAPL,8,B1,-1,,0,0,0,1.0,0.0,0
575,AAPL,8,B2,-1,,0,0,0,1.0,0.0,0
575,AAPL,9,A1,0,5000.0,0,751,3,1.0,0.0,0
575,AAPL,9,A2,0,5000.0,2790,783,15,1.0,0.0,0
575,AAPL,9,A3,0,5000.0,2814,788,14,1.0,0.0,0
575,AAPL,9,A3,1,5000.0,2795,788,15,1.0,0.0,0
575,AAPL,9,A3,2,5000.0,2782,753,16,1.0,0.0,0
575,AAPL,9,B1,-1,500.0,0,0,0,0.01,0.1,16
575,AAPL,9,B2,-1,,0,0,0,0.01,0.0,0
575,AMZN,0,A1,0,5000.0,0,630,3,1.0,0.0,0
575,AMZN,0,A2,0,5000.0,2451,403,24,1.0,0.0,0
575,AMZN,0,A3,0,5000.0,2501,413,22,1.0,0.0,0
575,AMZN,0,A3,1,5000.0,2480,375,24,1.0,0.0,0
575,AMZN,0,A3,2,5000.0,2482,399,26,1.0,0.0,0
575,AMZN,0,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AMZN,0,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AMZN,1,A1,0,5000.0,0,632,3,1.0,0.0,0
575,AMZN,1,A2,0,5000.0,2443,398,24,1.0,0.0,0
575,AMZN,1,A3,0,5000.0,2513,427,22,0.1,0.0,0
575,AMZN,1,A3,1,5000.0,2445,352,27,0.1,0.0,0
575,AMZN,1,A3,2,5000.0,2422,413,24,0.1,0.0,0
575,AMZN,1,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AMZN,1,B1,-1,,0,0,0,0.1,0.0,0
575,AMZN,2,A1,0,5000.0,0,642,2,1.0,0.0,0
575,AMZN,2,A2,0,5000.0,2441,406,23,1.0,0.0,0
575,AMZN,2,A3,0,5000.0,2472,387,23,1.0,0.0,0
575,AMZN,2,A3,1,5000.0,2488,348,20,1.0,0.0,0
575,AMZN,2,A3,2,5000.0,2448,484,22,1.0,0.0,0
575,AMZN,2,B1,-1,500.0,0,0,0,1.0,0.1,16
575,AMZN,2,B2,-1,500.0,0,0,0,1.0,1.0,768
575,AMZN,3,A1,0,5000.0,0,640,3,1.0,0.0,0
575,AMZN,3,A2,0,5000.0,2423,409,24,1.0,0.0,0
575,AMZN,3,A3,0,5000.0,2471,388,22,1.0,0.0,0
575,AMZN,3,A3,1,5000.0,2437,367,27,1.0,0.0,0
575,AMZN,3,A3,2,5000.0,2437,467,24,1.0,0.0,0
575,AMZN,3,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AMZN,3,B2,-1,500.0,0,0,0,0.1,1.0,768
575,AMZN,4,A1,0,5000.0,0,638,2,1.0,0.0,0
575,AMZN,4,A2,0,5000.0,2445,412,24,1.0,0.0,0
575,AMZN,4,A3,0,5000.0,2470,398,21,1.0,0.0,0
575,AMZN,4,A3,1,5000.0,2481,374,25,1.0,0.0,0
575,AMZN,4,A3,2,5000.0,2496,427,23,1.0,0.0,0
575,AMZN,4,B1,-1,500.0,0,0,0,1.0,1.0,16
575,AMZN,4,B2,-1,500.0,0,0,0,1.0,1.0,768
575,AMZN,5,A1,0,5000.0,0,638,3,1.0,0.0,0
575,AMZN,5,A2,0,5000.0,2430,420,23,1.0,0.0,0
575,AMZN,5,A3,0,5000.0,2491,385,19,1.0,0.0,0
575,AMZN,5,A3,1,5000.0,2486,387,26,1.0,0.0,0
575,AMZN,5,A3,2,5000.0,2481,495,24,1.0,0.0,0
