symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant,log_loss,TPR,TNR
AMZN,573,FULL_SHRINK,804,0.6118903647898493,0.23592423021229209,0.2244023506825673,0.6131840796019901,0.5410447761194029,False,0.6644394021372737,0.6490384615384616,0.5747422680412371
AMZN,573,TITLE_FINBERT_FUSION,804,0.6133524980174465,0.24257546010742004,0.22711906428720643,0.6144278606965174,0.5348258706467661,False,0.7040414628561279,0.6442307692307693,0.5824742268041238
AMZN,573,TITLE_MODERN_FUSION,804,0.6093997819191118,0.24032976290853736,0.21940734819229088,0.6106965174129353,0.5410447761194029,False,0.6909550411391369,0.6466346153846154,0.5721649484536082
AMZN,573,PARAGRAPH_FINBERT_FUSION,804,0.6071694091990483,0.241023092116022,0.2146935911143654,0.6082089552238806,0.5335820895522388,False,0.6867250664882243,0.6370192307692307,0.5773195876288659
AMZN,573,PARAGRAPH_MODERN_FUSION,804,0.6069959357652657,0.23807264064666855,0.21450079302244557,0.6082089552238806,0.5385572139303483,False,0.675853809661748,0.6418269230769231,0.5721649484536082
AMZN,574,PAPER,804,0.5866623711340206,0.24944357740267126,0.19482560627109496,0.5945273631840796,0.7288557213930348,False,0.7253726371612144,0.8125,0.36082474226804123
AMZN,574,PRICE,804,0.5148195876288659,0.25753816199373764,0.03037496093298459,0.5186567164179104,0.6106965174129353,False,0.7114975023583051,0.625,0.40463917525773196
AMZN,574,FULL,804,0.5964264472640761,0.2549166263229975,0.19395492864664665,0.5982587064676617,0.5559701492537313,False,0.7723196712236653,0.6490384615384616,0.5438144329896907
AMZN,574,TFIDF_LR,804,0.6041831879460745,0.23686743681518058,0.23354598324969522,0.6119402985074627,0.7263681592039801,False,0.6665626546762088,0.8269230769230769,0.38144329896907214
AMZN,574,TFIDF_SVM,804,0.6054718477398889,0.23663538051312075,0.23610145525773688,0.6131840796019901,0.7251243781094527,False,0.6662273156417359,0.8269230769230769,0.38402061855670105
AMZN,574,TFIDF_RF,804,0.5846922085646312,0.24278554837807925,0.187290659066179,0.5920398009950248,0.7139303482587065,False,0.6787705049717615,0.7956730769230769,0.37371134020618557
AMZN,574,TFIDF_LR_PRICE_FALLBACK,804,0.6048399088025376,0.23815261300487675,0.21132808114241225,0.6069651741293532,0.5646766169154229,False,0.6701940756539623,0.6658653846153846,0.5438144329896907
AMZN,574,TFIDF_SVM_PRICE_FALLBACK,804,0.606128568596352,0.237610925356149,0.21385636037222927,0.6082089552238806,0.5634328358208955,False,0.6692248280777833,0.6658653846153846,0.5463917525773195
AMZN,574,TFIDF_RF_PRICE_FALLBACK,804,0.5853489294210943,0.24409631499028087,0.17153307228494571,0.5870646766169154,0.5522388059701493,False,0.6824528023083836,0.6346153846153846,0.5360824742268041
AMZN,574,A1,804,0.6048399088025376,0.2429682140815075,0.21132808114241225,0.6069651741293532,0.5646766169154229,False,0.6799430476263657,0.6658653846153846,0.5438144329896907
AMZN,574,A2,804,0.5979753172085647,0.24115119499621002,0.19671259698502644,0.599502487562189,0.5472636815920398,False,0.6763055995103566,0.6418269230769231,0.5541237113402062
AMZN,574,A3,804,0.5991648493259318,0.2371646320650436,0.20110743076374013,0.6019900497512438,0.5845771144278606,False,0.6682494613248292,0.6802884615384616,0.5180412371134021
AMZN,574,B1,804,0.5965131839809674,0.2545316174596693,0.19402242899413522,0.5982587064676617,0.5534825870646766,False,0.7701019958210523,0.6466346153846154,0.5463917525773195
AMZN,574,B2,804,0.5983098731165741,0.2603211279759891,0.19865163169637343,0.6007462686567164,0.5733830845771144,False,0.8575626954992442,0.6682692307692307,0.5283505154639175
AMZN,574,FULL_SHRINK,804,0.5964264472640761,0.2376507929589403,0.19395492864664665,0.5982587064676617,0.5559701492537313,False,0.6690908701096827,0.6490384615384616,0.5438144329896907
AMZN,574,TITLE_FINBERT_FUSION,804,0.5951377874702617,0.2503298468517615,0.19141746701700693,0.5970149253731343,0.5572139303482587,False,0.7399875267671499,0.6490384615384616,0.5412371134020618
AMZN,574,TITLE_MODERN_FUSION,804,0.5887812252180809,0.2445831904907673,0.17878786337220096,0.5907960199004975,0.5609452736318408,False,0.6987150005322237,0.6466346153846154,0.5309278350515464
AMZN,574,PARAGRAPH_FINBERT_FUSION,804,0.5927339413164155,0.25068712089691597,0.1864757228721359,0.5945273631840796,0.554726368159204,False,0.7372417748460268,0.6442307692307693,0.5412371134020618
AMZN,574,PARAGRAPH_MODERN_FUSION,804,0.5876660388580492,0.241515512723107,0.17638429006841938,0.5895522388059702,0.5572139303482587,False,0.6855230542926474,0.6418269230769231,0.5335051546391752
