source,record,variant,symbol,period,method,slope,intercept,train_n,monotone_non_decreasing
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,163,P3,AMZN,2018-05,platt,0.21672538388040616,0.19698756321093847,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,164,P3,AMZN,2018-06,platt,0.2254870303219874,0.2837859217560783,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,165,P3,AMZN,2018-07,platt,0.30206861957759146,0.303861251487374,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,166,P3,AMZN,2018-08,platt,0.3021608591518826,0.3217637752432024,,True
outputs/stock_nextgen_4h/runs/v1/CALIBRATION_FITS.json,167,P3,AMZN,frozen,platt,0.3170546829543621,0.38628637560858636,,True
outputs/stock_paper_methods_4h/v1/calibration.csv,0,F1,AAPL,2018-03,identity,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,1,F1,AAPL,2018-03,temperature,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,2,F1,AAPL,2018-03,platt_shrunk,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,3,F1,AMZN,2018-03,identity,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,4,F1,AMZN,2018-03,temperature,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,5,F1,AMZN,2018-03,platt_shrunk,1.0,0.0,0,True
outputs/stock_paper_methods_4h/v1/calibration.csv,6,F1,AAPL,2018-04,identity,1.0,0.0,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,7,F1,AAPL,2018-04,temperature,0.010051835744633586,0.0,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,8,F1,AAPL,2018-04,platt_shrunk,0.48615815533314827,0.01792521630160211,62,True
outputs/stock_paper_methods_4h/v1/calibration.csv,9,F1,AMZN,2018-04,identity,1.0,0.0,29,True
outputs/stock_paper_methods_4h/v1/calibration.csv,10,F1,AMZN,2018-04,temperature,1.0,0.0,29,True
outputs/stock_paper_methods_4h/v1/calibration.csv,11,F1,AMZN,2018-04,platt_shrunk,1.0,0.0,29,True
