symbol,month,method,C,n,BA,accuracy,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
AAPL,2018-07,FINMODERN_LR,0.01,60,0.4084249084249084,0.4166666666666667,-0.17471413945365305,0.27121210510838567,0.4151404151404151,0.4358974358974359,0.38095238095238093,0.5,False
AAPL,2018-07,FINMODERN_LR,0.1,60,0.39743589743589747,0.4166666666666667,-0.19611613513818404,0.29787707917749534,0.42368742368742374,0.46153846153846156,0.3333333333333333,0.5333333333333333,False
AAPL,2018-07,FINMODERN_LR,1.0,60,0.4084249084249084,0.4166666666666667,-0.17471413945365305,0.31089692148581066,0.4151404151404151,0.4358974358974359,0.38095238095238093,0.5,False
AAPL,2018-08,PRICE_R1,0.01,69,0.5081699346405228,0.5652173913043478,0.014806384278366074,0.2338478164075101,0.5773420479302832,0.6274509803921569,0.3888888888888889,0.6231884057971014,False
AAPL,2018-08,PRICE_R1,0.1,69,0.5849673202614378,0.6521739130434783,0.16011904396842466,0.22189551634367582,0.6034858387799564,0.7254901960784313,0.4444444444444444,0.6811594202898551,False
AAPL,2018-08,PRICE_R1,1.0,69,0.6127450980392157,0.6666666666666666,0.21004201260420147,0.21872420414696947,0.6187363834422658,0.7254901960784313,0.5,0.6666666666666666,False
AAPL,2018-08,TFIDF_SVM,0.01,69,0.5,0.7391304347826086,0.0,0.21636624115074415,0.6296296296296297,1.0,0.0,1.0,True
AAPL,2018-08,TFIDF_SVM,0.1,69,0.5,0.7391304347826086,0.0,0.21215225179154143,0.6993464052287582,1.0,0.0,1.0,True
AAPL,2018-08,TFIDF_SVM,1.0,69,0.5,0.7391304347826086,0.0,0.21321223059550742,0.7091503267973855,1.0,0.0,1.0,True
AAPL,2018-08,FINMODERN_LR,0.01,69,0.5212418300653594,0.6376811594202898,0.043292945423175716,0.23755672096600314,0.5337690631808278,0.7647058823529411,0.2777777777777778,0.7536231884057971,False
AAPL,2018-08,FINMODERN_LR,0.1,69,0.5588235294117647,0.6666666666666666,0.1198881565564866,0.23797598009247148,0.559912854030501,0.7843137254901961,0.3333333333333333,0.7536231884057971,False
AAPL,2018-08,FINMODERN_LR,1.0,69,0.576797385620915,0.6666666666666666,0.15098575305776035,0.23971059142419596,0.5751633986928104,0.7647058823529411,0.3888888888888889,0.7246376811594203,False
AMZN,2018-03,PRICE_R1,0.01,62,0.42328042328042326,0.3870967741935484,-0.18688841543883614,0.2672571411421581,0.36296296296296293,0.7037037037037037,0.14285714285714285,0.7903225806451613,False
AMZN,2018-03,PRICE_R1,0.1,62,0.419047619047619,0.3870967741935484,-0.18744806778279025,0.311749771518395,0.37142857142857144,0.6666666666666666,0.17142857142857143,0.7580645161290323,False
AMZN,2018-03,PRICE_R1,1.0,62,0.40634920634920635,0.3870967741935484,-0.19622565452573865,0.3432166374283094,0.4042328042328042,0.5555555555555556,0.2571428571428571,0.6612903225806451,False
AMZN,2018-03,TFIDF_SVM,0.01,62,0.5,0.43548387096774194,0.0,0.26251460121076586,0.5518518518518518,1.0,0.0,1.0,True
AMZN,2018-03,TFIDF_SVM,0.1,62,0.5,0.43548387096774194,0.0,0.2653945252745354,0.4957671957671958,1.0,0.0,1.0,True
AMZN,2018-03,TFIDF_SVM,1.0,62,0.5,0.43548387096774194,0.0,0.2731351771941568,0.3486772486772487,1.0,0.0,1.0,True
AMZN,2018-03,FINMODERN_LR,0.01,62,0.3677248677248677,0.3387096774193548,-0.2997679495150803,0.267843236361661,0.3978835978835979,0.5925925925925926,0.14285714285714285,0.7419354838709677,False
AMZN,2018-03,FINMODERN_LR,0.1,62,0.3164021164021164,0.2903225806451613,-0.40811527785924934,0.3388724463418775,0.28465608465608466,0.5185185185185185,0.11428571428571428,0.7258064516129032,False
AMZN,2018-03,FINMODERN_LR,1.0,62,0.2952380952380952,0.2903225806451613,-0.4095238095238095,0.4256635888098119,0.2666666666666667,0.3333333333333333,0.2571428571428571,0.5645161290322581,False
AMZN,2018-04,PRICE_R1,0.01,63,0.425,0.4126984126984127,-0.15348515337873012,0.2608866613632526,0.4653061224489796,0.5357142857142857,0.3142857142857143,0.6190476190476191,False
AMZN,2018-04,PRICE_R1,0.1,63,0.45714285714285713,0.4444444444444444,-0.08770580193070292,0.28568346381997567,0.49387755102040815,0.5714285714285714,0.34285714285714286,0.6190476190476191,False
AMZN,2018-04,PRICE_R1,1.0,63,0.4357142857142857,0.42857142857142855,-0.12909944487358058,0.31207229660296876,0.46836734693877546,0.5,0.37142857142857144,0.5714285714285714,False
AMZN,2018-04,TFIDF_SVM,0.01,63,0.44285714285714284,0.4603174603174603,-0.11912467150602794,0.2540503727771403,0.42602040816326536,0.2857142857142857,0.6,0.3492063492063492,False
AMZN,2018-04,TFIDF_SVM,0.1,63,0.46071428571428574,0.47619047619047616,-0.08109307588519343,0.25068458992363646,0.4852040816326531,0.32142857142857145,0.6,0.36507936507936506,False
AMZN,2018-04,TFIDF_SVM,1.0,63,0.5,0.5555555555555556,0.0,0.25011421945163154,0.3352040816326531,0.0,1.0,0.0,True
AMZN,2018-04,FINMODERN_LR,0.01,63,0.34285714285714286,0.3333333333333333,-0.3192095500484051,0.2840464893739326,0.3224489795918367,0.42857142857142855,0.2571428571428571,0.6031746031746031,False
AMZN,2018-04,FINMODERN_LR,0.1,63,0.30714285714285716,0.30158730158730157,-0.3872983346207417,0.3674971431447878,0.29591836734693877,0.35714285714285715,0.2571428571428571,0.5714285714285714,False
AMZN,2018-04,FINMODERN_LR,1.0,63,0.31785714285714284,0.31746031746031744,-0.3624412178045377,0.43201125283593167,0.286734693877551,0.32142857142857145,0.3142857142857143,0.5238095238095238,False
AMZN,2018-05,PRICE_R1,0.01,65,0.496588693957115,0.46153846153846156,-0.007392113785968284,0.25242665386293434,0.5000000000000001,0.2894736842105263,0.7037037037037037,0.2923076923076923,False
AMZN,2018-05,PRICE_R1,0.1,65,0.49610136452241715,0.49230769230769234,-0.007693004760192652,0.25749776964600923,0.4415204678362573,0.47368421052631576,0.5185185185185185,0.47692307692307695,False
AMZN,2018-05,PRICE_R1,1.0,65,0.4273879142300195,0.4307692307692308,-0.14314646543895154,0.26793750951778683,0.4249512670565302,0.4473684210526316,0.4074074074074074,0.5076923076923077,False
AMZN,2018-05,TFIDF_SVM,0.01,65,0.5,0.4153846153846154,0.0,0.2625987506239485,0.4844054580896687,0.0,1.0,0.0,True
AMZN,2018-05,TFIDF_SVM,0.1,65,0.41520467836257313,0.35384615384615387,-0.2543859649122807,0.2632353409029174,0.4307992202729045,0.05263157894736842,0.7777777777777778,0.12307692307692308,False
AMZN,2018-05,TFIDF_SVM,1.0,65,0.43615984405458086,0.38461538461538464,-0.1621694550961884,0.26136297179056067,0.5487329434697856,0.13157894736842105,0.7407407407407407,0.18461538461538463,False
AMZN,2018-05,FINMODERN_LR,0.01,65,0.5277777777777778,0.5230769230769231,0.054812658916372645,0.2578818877629836,0.5185185185185186,0.5,0.5555555555555556,0.47692307692307695,False
AMZN,2018-05,FINMODERN_LR,0.1,65,0.4800194931773879,0.49230769230769234,-0.03976768394980835,0.2720656571536269,0.5136452241715399,0.5526315789473685,0.4074074074074074,0.5692307692307692,False
AMZN,2018-05,FINMODERN_LR,1.0,65,0.5487329434697856,0.5538461538461539,0.09634555216934666,0.28203570947069306,0.5029239766081872,0.5789473684210527,0.5185185185185185,0.5384615384615384,False
AMZN,2018-06,PRICE_R1,0.01,63,0.5201086956521739,0.5079365079365079,0.038848061530093264,0.24730523227081147,0.5597826086956522,0.475,0.5652173913043478,0.4603174603174603,False
AMZN,2018-06,PRICE_R1,0.1,63,0.6048913043478261,0.6507936507936508,0.22006970263318495,0.23611675461342904,0.6065217391304348,0.775,0.43478260869565216,0.6984126984126984,False
AMZN,2018-06,PRICE_R1,1.0,63,0.5489130434782609,0.6031746031746031,0.10425720702853737,0.2283408739016395,0.6576086956521738,0.75,0.34782608695652173,0.7142857142857143,False
AMZN,2018-06,TFIDF_SVM,0.01,63,0.4798913043478261,0.49206349206349204,-0.038848061530093264,0.2501703183301783,0.5195652173913043,0.525,0.43478260869565216,0.5396825396825397,False
AMZN,2018-06,TFIDF_SVM,0.1,63,0.4798913043478261,0.49206349206349204,-0.038848061530093264,0.2501290803733253,0.5043478260869566,0.525,0.43478260869565216,0.5396825396825397,False
AMZN,2018-06,TFIDF_SVM,1.0,63,0.5021739130434782,0.5555555555555556,0.004561030106387253,0.24974695596302107,0.49891304347826093,0.7,0.30434782608695654,0.6984126984126984,False
AMZN,2018-06,FINMODERN_LR,0.01,63,0.529891304347826,0.5555555555555556,0.05883110060307674,0.2543425356374755,0.48586956521739133,0.625,0.43478260869565216,0.6031746031746031,False
AMZN,2018-06,FINMODERN_LR,0.1,63,0.4989130434782609,0.5396825396825397,-0.002195496824144787,0.26542809493451325,0.4934782608695653,0.65,0.34782608695652173,0.6507936507936508,False
AMZN,2018-06,FINMODERN_LR,1.0,63,0.5423913043478261,0.5714285714285714,0.08405484751817915,0.2706987474764141,0.4978260869565217,0.65,0.43478260869565216,0.6190476190476191,False
AMZN,2018-07,PRICE_R1,0.01,60,0.5333333333333333,0.5333333333333333,0.07537783614444091,0.2445011478170417,0.6011111111111112,0.7666666666666667,0.3,0.7333333333333333,False
AMZN,2018-07,PRICE_R1,0.1,60,0.5833333333333334,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.6111111111111112,0.8333333333333334,0.3333333333333333,0.75,False
AMZN,2018-07,PRICE_R1,1.0,60,0.5666666666666667,0.5666666666666667,0.15762208124782015,0.24935618761064768,0.5955555555555555,0.8333333333333334,0.3,0.7666666666666667,False
AMZN,2018-07,TFIDF_SVM,0.01,60,0.4833333333333333,0.48333333333333334,-0.03849001794597505,0.25411531453169606,0.4183333333333333,0.7333333333333333,0.23333333333333334,0.75,False
AMZN,2018-07,TFIDF_SVM,0.1,60,0.3833333333333333,0.38333333333333336,-0.23995690956687135,0.25783336134111495,0.3538888888888889,0.26666666666666666,0.5,0.38333333333333336,False
AMZN,2018-07,TFIDF_SVM,1.0,60,0.43333333333333335,0.43333333333333335,-0.19611613513818404,0.26162049569992774,0.325,0.8,0.06666666666666667,0.8666666666666667,False
AMZN,2018-07,FINMODERN_LR,0.01,60,0.6,0.6,0.22613350843332272,0.24572758440851572,0.6155555555555555,0.8333333333333334,0.36666666666666664,0.7333333333333333,False
AMZN,2018-07,FINMODERN_LR,0.1,60,0.6000000000000001,0.6,0.2182178902359924,0.2527675742717435,0.61,0.8,0.4,0.7,False
AMZN,2018-07,FINMODERN_LR,1.0,60,0.5333333333333333,0.5333333333333333,0.07881104062391008,0.25834580361803416,0.5688888888888889,0.8,0.26666666666666666,0.7666666666666667,False
AMZN,2018-08,PRICE_R1,0.01,69,0.5474137931034483,0.5797101449275363,0.10316934010406772,0.24276050427921458,0.6198275862068966,0.75,0.3448275862068966,0.7101449275362319,False
AMZN,2018-08,PRICE_R1,0.1,69,0.6336206896551724,0.6521739130434783,0.274433014821148,0.23060211345278409,0.6586206896551725,0.75,0.5172413793103449,0.6376811594202898,False
AMZN,2018-08,PRICE_R1,1.0,69,0.6383620689655172,0.6521739130434783,0.2798784825060619,0.22544673685564837,0.6724137931034483,0.725,0.5517241379310345,0.6086956521739131,False
AMZN,2018-08,TFIDF_SVM,0.01,69,0.5521551724137931,0.5797101449275363,0.11048316484363792,0.24237102555265932,0.5974137931034482,0.725,0.3793103448275862,0.6811594202898551,False
AMZN,2018-08,TFIDF_SVM,0.1,69,0.5801724137931035,0.6231884057971014,0.1918851827829536,0.242882046488568,0.6293103448275863,0.85,0.3103448275862069,0.782608695652174,False
AMZN,2018-08,TFIDF_SVM,1.0,69,0.5926724137931034,0.6376811594202898,0.22749093868363565,0.24501764988895197,0.5189655172413793,0.875,0.3103448275862069,0.7971014492753623,False
AMZN,2018-08,FINMODERN_LR,0.01,69,0.6288793103448276,0.6521739130434783,0.2698978095246549,0.23868791872538414,0.621551724137931,0.775,0.4827586206896552,0.6666666666666666,False
AMZN,2018-08,FINMODERN_LR,0.1,69,0.5991379310344828,0.6231884057971014,0.20761369963434992,0.2302397806989059,0.6543103448275862,0.75,0.4482758620689655,0.6666666666666666,False
AMZN,2018-08,FINMODERN_LR,1.0,69,0.6508620689655172,0.6666666666666666,0.3073393355103343,0.22839389335995525,0.675,0.75,0.5517241379310345,0.6231884057971014,False
