stock,horizon,method,month,params,train_n,train_end,evaluation_cutoff,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AMZN,4h,PAPER_1G_L1LR,2018-12,"{""C"": 0.1}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,54,0.48148148148148145,0.5398496240601504,0.08194825765222345,0.3783783783783784,0.7368421052631579,0.5,0.7368421052631579,0.34285714285714286,0.6851851851851852,0.35185185185185186,False,0.48045112781954885,0.253761107746996
AMZN,4h,PAPER_1G_L1LR,2018-12,"{""C"": 1.0}",685,2018-11-30 20:30:00+00:00,2018-12-03 14:25:00+00:00,54,0.48148148148148145,0.5278195488721804,0.055639097744360905,0.37142857142857144,0.6842105263157895,0.48148148148148145,0.6842105263157895,0.37142857142857144,0.6481481481481481,0.35185185185185186,False,0.6067669172932332,0.2274541739997078
AMZN,4h,PAPER_1G_L1LR,2019-01,"{""C"": 0.01}",739,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.6031746031746031,0.5,0.0,0.6031746031746031,1.0,0.7524752475247525,1.0,0.0,1.0,0.6031746031746031,True,0.5226315789473683,0.2486106558802903
AMZN,4h,PAPER_1G_L1LR,2019-01,"{""C"": 0.1}",739,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.49206349206349204,0.44894736842105265,-0.10884457624470638,0.5681818181818182,0.6578947368421053,0.6097560975609756,0.6578947368421053,0.24,0.6984126984126984,0.6031746031746031,False,0.49157894736842106,0.25592546412399986
AMZN,4h,PAPER_1G_L1LR,2019-01,"{""C"": 1.0}",739,2018-12-31 20:30:00+00:00,2019-01-02 14:25:00+00:00,63,0.5555555555555556,0.47421052631578947,-0.08029550685469662,0.5892857142857143,0.868421052631579,0.7021276595744681,0.868421052631579,0.08,0.8888888888888888,0.6031746031746031,False,0.43894736842105264,0.2871185304914433
AMZN,4h,PAPER_1G_L1LR,2019-02,"{""C"": 0.01}",802,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25030472447310653
AMZN,4h,PAPER_1G_L1LR,2019-02,"{""C"": 0.1}",802,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25030472447310653
AMZN,4h,PAPER_1G_L1LR,2019-02,"{""C"": 1.0}",802,2019-01-31 20:30:00+00:00,2019-02-01 14:25:00+00:00,2,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25030472447310653
AAPL,4h,PAPER_1G_LINSVM,2018-03,"{""C"": 0.01}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.5,0.49375,-0.013549853549457657,0.5116279069767442,0.6875,0.5866666666666667,0.6875,0.3,0.6935483870967742,0.5161290322580645,False,0.5515625,
AAPL,4h,PAPER_1G_LINSVM,2018-03,"{""C"": 0.1}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.46774193548387094,0.46354166666666663,-0.07543383751631462,0.48717948717948717,0.59375,0.5352112676056338,0.59375,0.3333333333333333,0.6290322580645161,0.5161290322580645,False,0.5390625,
AAPL,4h,PAPER_1G_LINSVM,2018-03,"{""C"": 1.0}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.532258064516129,0.5302083333333334,0.060894276207042165,0.5428571428571428,0.59375,0.5671641791044776,0.59375,0.4666666666666667,0.5645161290322581,0.5161290322580645,False,0.5786458333333333,
AAPL,4h,PAPER_1G_LINSVM,2018-04,"{""C"": 0.01}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.5555555555555556,0.5589717741935484,0.13052314094665607,0.5333333333333333,0.7741935483870968,0.631578947368421,0.7741935483870968,0.34375,0.7142857142857143,0.49206349206349204,False,0.5796370967741935,
AAPL,4h,PAPER_1G_LINSVM,2018-04,"{""C"": 0.1}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.47619047619047616,0.47580645161290325,-0.04843594796964828,0.4666666666666667,0.45161290322580644,0.45901639344262296,0.45161290322580644,0.5,0.47619047619047616,0.49206349206349204,False,0.5574596774193548,
AAPL,4h,PAPER_1G_LINSVM,2018-04,"{""C"": 1.0}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.4444444444444444,0.44405241935483875,-0.11200812967981165,0.43333333333333335,0.41935483870967744,0.4262295081967213,0.41935483870967744,0.46875,0.47619047619047616,0.49206349206349204,False,0.4334677419354839,
AAPL,4h,PAPER_1G_LINSVM,2018-05,"{""C"": 0.01}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.5454545454545454,0.5349487418452936,0.07055815512267397,0.5897435897435898,0.6216216216216216,0.6052631578947368,0.6216216216216216,0.4482758620689655,0.5909090909090909,0.5606060606060606,False,0.5619757688723206,
AAPL,4h,PAPER_1G_LINSVM,2018-05,"{""C"": 0.1}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.6060606060606061,0.6076421248835042,0.21369687880543223,0.6666666666666666,0.5945945945945946,0.6285714285714286,0.5945945945945946,0.6206896551724138,0.5,0.5606060606060606,False,0.6272134203168686,
AAPL,4h,PAPER_1G_LINSVM,2018-05,"{""C"": 1.0}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.6666666666666666,0.6728797763280522,0.3438422020934522,0.7419354838709677,0.6216216216216216,0.6764705882352942,0.6216216216216216,0.7241379310344828,0.4696969696969697,0.5606060606060606,False,0.6570363466915191,
AAPL,4h,PAPER_1G_LINSVM,2018-06,"{""C"": 0.01}",307,2018-05-31 19:30:00+00:00,2018-06-01 13:25:00+00:00,63,0.4126984126984127,0.4074074074074074,-0.18349396085439343,0.48484848484848486,0.4444444444444444,0.463768115942029,0.4444444444444444,0.37037037037037035,0.5238095238095238,0.5714285714285714,False,0.41358024691358025,
