stock,month,C,train_n,train_end,evaluation_cutoff,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AMZN,2018-03,1.0,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.47619047619047616,0.5138888888888888,0.032274861218395144,0.4375,0.7777777777777778,0.56,0.7777777777777778,0.25,0.7619047619047619,0.42857142857142855,0.6018518518518519,0.2780432197146673,False
AMZN,2018-04,0.01,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.5238095238095238,0.5227272727272727,0.045454545454545456,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5,0.5238095238095238,0.5238095238095238,0.4818181818181818,0.2524216802613661,False
AMZN,2018-04,0.1,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.42857142857142855,0.42727272727272725,-0.14545454545454545,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4,0.5238095238095238,0.5238095238095238,0.4636363636363636,0.26824839597242095,False
AMZN,2018-04,1.0,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.4,0.36363636363636365,0.38095238095238093,0.36363636363636365,0.4,0.47619047619047616,0.5238095238095238,0.5,0.2723831446706074,False
AMZN,2018-05,0.01,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.45454545454545453,0.45,-0.1,0.5,0.5,0.5,0.5,0.4,0.5454545454545454,0.5454545454545454,0.44166666666666665,0.25068474930502804,False
AMZN,2018-05,0.1,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.5,0.4833333333333333,-0.035634832254989916,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.3,0.6818181818181818,0.5454545454545454,0.375,0.257818267966537,False
AMZN,2018-05,1.0,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.45454545454545453,0.43333333333333335,-0.14907119849998599,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.2,0.7272727272727273,0.5454545454545454,0.375,0.2659794138320171,False
AMZN,2018-06,0.01,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.42857142857142855,0.4583333333333333,-0.09128709291752768,0.5,0.25,0.3333333333333333,0.25,0.6666666666666666,0.2857142857142857,0.5714285714285714,0.5370370370370371,0.2507219761687171,False
AMZN,2018-06,0.1,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.5238095238095238,0.5277777777777778,0.05504818825631803,0.6,0.5,0.5454545454545454,0.5,0.5555555555555556,0.47619047619047616,0.5714285714285714,0.5277777777777778,0.25249450516815014,False
AMZN,2018-06,1.0,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.5238095238095238,0.5277777777777778,0.05504818825631803,0.6,0.5,0.5454545454545454,0.5,0.5555555555555556,0.47619047619047616,0.5714285714285714,0.537037037037037,0.25749724852717304,False
AMZN,2018-07,0.01,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.6190476190476191,0.6227272727272727,0.24771684715343112,0.5833333333333334,0.7,0.6363636363636364,0.7,0.5454545454545454,0.5714285714285714,0.47619047619047616,0.5454545454545454,0.2481901342460502,False
AMZN,2018-07,0.1,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.5714285714285714,0.5727272727272728,0.14545454545454545,0.5454545454545454,0.6,0.5714285714285714,0.6,0.5454545454545454,0.5238095238095238,0.47619047619047616,0.6,0.24161569120194107,False
AMZN,2018-07,1.0,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00,21,0.5238095238095238,0.5272727272727272,0.05504818825631803,0.5,0.6,0.5454545454545454,0.6,0.45454545454545453,0.5714285714285714,0.47619047619047616,0.6000000000000001,0.24039690998390256,False
AMZN,2018-08,0.01,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.391304347826087,0.3611111111111111,-0.2777777777777778,0.5,0.5,0.5,0.5,0.2222222222222222,0.6086956521739131,0.6086956521739131,0.40476190476190477,0.25280063106618395,False
AMZN,2018-08,0.1,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.34782608695652173,0.3055555555555556,-0.3984925297873177,0.4666666666666667,0.5,0.4827586206896552,0.5,0.1111111111111111,0.6521739130434783,0.6086956521739131,0.3888888888888889,0.2591423608655223,False
AMZN,2018-08,1.0,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00,23,0.391304347826087,0.3611111111111111,-0.2777777777777778,0.5,0.5,0.5,0.5,0.2222222222222222,0.6086956521739131,0.6086956521739131,0.4126984126984127,0.2618583875767306,False
