stock,horizon,method,month,params,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier,error_n,error_accuracy,error_ba,error_mcc,error_precision,error_recall,error_f1,error_up_recall,error_down_recall,error_pred_up,error_true_up,error_constant,error_auc,error_brier
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":1.0}",21,0.38095238095238093,0.38636363636363635,-0.2337367475021143,0.375,0.2727272727272727,0.3157894736842105,0.2727272727272727,0.5,0.38095238095238093,0.5238095238095238,False,0.37727272727272726,0.321776884300954,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":0.01}",22,0.5454545454545454,0.5083333333333333,0.028867513459481284,0.55,0.9166666666666666,0.6875,0.9166666666666666,0.1,0.9090909090909091,0.5454545454545454,False,0.5083333333333333,0.2500038332387801,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":0.1}",22,0.5454545454545454,0.5083333333333333,0.028867513459481284,0.55,0.9166666666666666,0.6875,0.9166666666666666,0.1,0.9090909090909091,0.5454545454545454,False,0.5083333333333333,0.2500038332387801,0.0,0.0,0.0,8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":1.0}",22,0.45454545454545453,0.4666666666666667,-0.06900655593423542,0.5,0.3333333333333333,0.4,0.3333333333333333,0.6,0.36363636363636365,0.5454545454545454,False,0.43749999999999994,0.37591302685834616,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,"{""C"":0.01}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.48611111111111105,0.25000242929535854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,"{""C"":0.1}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.48611111111111105,0.25000242929535854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,"{""C"":1.0}",21,0.6190476190476191,0.5972222222222222,0.2041241452319315,0.6428571428571429,0.75,0.6923076923076923,0.75,0.4444444444444444,0.6666666666666666,0.5714285714285714,False,0.6157407407407407,0.2627331700475756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,"{""C"":0.01}",21,0.47619047619047616,0.5,0.0,0.47619047619047616,1.0,0.6451612903225806,1.0,0.0,1.0,0.47619047619047616,True,0.4681818181818182,0.2508862433862434,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,"{""C"":0.1}",21,0.47619047619047616,0.5,0.0,0.47619047619047616,1.0,0.6451612903225806,1.0,0.0,1.0,0.47619047619047616,True,0.4681818181818182,0.2508862433862434,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,"{""C"":1.0}",21,0.42857142857142855,0.4409090909090909,-0.13858046563114676,0.4375,0.7,0.5384615384615384,0.7,0.18181818181818182,0.7619047619047619,0.47619047619047616,False,0.37272727272727274,0.3729791902477703,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":0.01}",23,0.6086956521739131,0.5,0.0,0.6086956521739131,1.0,0.7567567567567568,1.0,0.0,1.0,0.6086956521739131,True,0.6785714285714286,0.24771192945853918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":0.1}",23,0.6086956521739131,0.5,0.0,0.6086956521739131,1.0,0.7567567567567568,1.0,0.0,1.0,0.6086956521739131,True,0.6785714285714286,0.24771192945853918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.326672684688674e-17
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,"{""C"":1.0}",23,0.391304347826087,0.3412698412698413,-0.3367175148507369,0.5,0.5714285714285714,0.5333333333333333,0.5714285714285714,0.1111111111111111,0.6956521739130435,0.6086956521739131,False,0.17460317460317465,0.3757257669821275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,"{""C"":0.01}",21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
