stock,horizon_window,method,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-09,development,19,0.5789473684210527,0.5833333333333333,0.1685499656158105,0.5454545454545454,0.6666666666666666,0.6,0.6666666666666666,0.5,0.5789473684210527,0.47368421052631576,0.6,0.2690855277699951,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-10,development,23,0.391304347826087,0.4007936507936508,-0.1953363462243731,0.3076923076923077,0.4444444444444444,0.36363636363636365,0.4444444444444444,0.35714285714285715,0.5652173913043478,0.391304347826087,0.4444444444444444,0.32512281307559676,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-11,later,21,0.38095238095238093,0.37727272727272726,-0.24771684715343112,0.4166666666666667,0.45454545454545453,0.43478260869565216,0.45454545454545453,0.3,0.5714285714285714,0.5238095238095238,0.4636363636363636,0.3481205833307075,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-12,later,19,0.3684210526315789,0.38095238095238093,-0.2326210525996177,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.5789473684210527,0.3684210526315789,0.47619047619047616,0.3713901982558334,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-01,later,21,0.5238095238095238,0.5318181818181817,0.06741998624632421,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.36363636363636365,0.7,0.3333333333333333,0.5238095238095238,0.4727272727272728,0.32960508529294674,False
AMZN,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.23355303546334852,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-09,development,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-10,development,23,0.391304347826087,0.5,0.0,0.391304347826087,1.0,0.5625,1.0,0.0,1.0,0.391304347826087,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-11,later,21,0.5238095238095238,0.5,0.0,0.5238095238095238,1.0,0.6875,1.0,0.0,1.0,0.5238095238095238,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2018-12,later,19,0.3684210526315789,0.5,0.0,0.3684210526315789,1.0,0.5384615384615384,1.0,0.0,1.0,0.3684210526315789,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-01,later,21,0.5238095238095238,0.5,0.0,0.5238095238095238,1.0,0.6875,1.0,0.0,1.0,0.5238095238095238,0.5,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,PAPER_2G_L1LR,2019-02,later,1,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.25,True
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-09,development,19,0.5263157894736842,0.5388888888888889,0.08819171036881969,0.5,0.7777777777777778,0.6086956521739131,0.7777777777777778,0.3,0.7368421052631579,0.47368421052631576,0.43333333333333335,0.2701992020050596,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-10,development,23,0.5217391304347826,0.5674603174603174,0.1431049438115632,0.4375,0.7777777777777778,0.56,0.7777777777777778,0.35714285714285715,0.6956521739130435,0.391304347826087,0.5714285714285715,0.26374190751058135,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-11,later,21,0.47619047619047616,0.4727272727272727,-0.05504818825631803,0.5,0.5454545454545454,0.5217391304347826,0.5454545454545454,0.4,0.5714285714285714,0.5238095238095238,0.5272727272727272,0.2552664768720288,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2018-12,later,19,0.21052631578947367,0.22619047619047616,-0.5476190476190477,0.16666666666666666,0.2857142857142857,0.21052631578947367,0.2857142857142857,0.16666666666666666,0.631578947368421,0.3684210526315789,0.25,0.31435879610639256,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2019-01,later,21,0.5238095238095238,0.5363636363636364,0.08528028654224416,0.6,0.2727272727272727,0.375,0.2727272727272727,0.8,0.23809523809523808,0.5238095238095238,0.5272727272727273,0.24831108768613822,False
AMZN,1d:DNEWS_OVERNIGHT,TFIDF_LR,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.16783864930939052,True
