phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
inner,120,AMZN,AR0,2018-03,298,0.49000793761964795,-0.06987107091730392,0.2434606471107106,0.48246719895410184,0.9717514124293786,0.008264462809917356,0.9798657718120806,False,298,0.7751677852348994
inner,120,AMZN,AR0,2018-04,304,0.5320855614973262,0.1603508715967266,0.2729451094433822,0.5128205128205128,1.0,0.06417112299465241,0.9605263157894737,False,304,0.7335526315789473
inner,120,AMZN,AR0,2018-05,374,0.49084734054800827,-0.07943630272924242,0.2581697737158537,0.5094980428275385,0.9767441860465116,0.0049504950495049506,0.9866310160427807,False,374,0.8021390374331551
inner,120,AMZN,AR1,2018-03,298,0.5,0.0,0.2440023628587566,0.5471821450249801,1.0,0.0,1.0,True,298,0.7751677852348994
inner,120,AMZN,AR1,2018-04,304,0.5,0.0,0.26139403127668975,0.39617898441427857,1.0,0.0,1.0,True,304,0.7335526315789473
inner,120,AMZN,AR1,2018-05,374,0.5,0.0,0.2528742735940559,0.4605687312917338,1.0,0.0,1.0,True,374,0.8021390374331551
inner,240,AAPL,AR0,2018-03,688,0.5465348208248817,0.14000394068419283,0.24949080737305723,0.5404918864097363,0.17352941176470588,0.9195402298850575,0.12645348837209303,False,688,0.5828488372093024
inner,240,AAPL,AR0,2018-04,782,0.49784949821625046,-0.004692511423558676,0.24839641992903091,0.5451071916780582,0.2878338278931751,0.7078651685393258,0.29028132992327366,False,782,0.5562659846547314
inner,240,AAPL,AR0,2018-05,1112,0.590753628952078,0.19804909346445204,0.24946015296991061,0.5799197985020217,0.3644859813084112,0.8170212765957446,0.28776978417266186,False,1112,0.5908273381294964
inner,240,AAPL,AR1,2018-03,688,0.5302569303583502,0.10007847622677754,0.24957780331133664,0.5378042596348884,0.1323529411764706,0.9281609195402298,0.10174418604651163,False,688,0.5828488372093024
inner,240,AAPL,AR1,2018-04,782,0.5013069716267129,0.0029206764530808095,0.24837003915662853,0.5390857866835594,0.27002967359050445,0.7325842696629213,0.26854219948849106,False,782,0.5562659846547314
inner,240,AAPL,AR1,2018-05,1112,0.5903360509047524,0.19903960851036856,0.2495924547972744,0.5753529528733347,0.35514018691588783,0.825531914893617,0.2787769784172662,False,1112,0.5908273381294964
inner,240,AMZN,AR0,2018-03,160,0.4222222222222222,-0.2730960101243047,0.2516405835193874,0.4457142857142858,0.8444444444444444,0.0,0.9125,False,160,0.58125
inner,240,AMZN,AR0,2018-04,186,0.47311827956989244,-0.07036672182012484,0.2497264252719028,0.5434154237484102,0.7956989247311828,0.15053763440860216,0.8225806451612904,False,186,0.5645161290322581
inner,240,AMZN,AR0,2018-05,197,0.484466221851543,-0.05232086042285107,0.25061653585357646,0.5404503753127606,0.8863636363636364,0.08256880733944955,0.9035532994923858,False,197,0.6243654822335025
inner,240,AMZN,AR1,2018-03,160,0.45555555555555555,-0.20232565955562798,0.2501731654229634,0.4728571428571428,0.9111111111111111,0.0,0.95,False,160,0.58125
inner,240,AMZN,AR1,2018-04,186,0.45161290322580644,-0.1777046633277277,0.25068580326872514,0.5019077349982657,0.8709677419354839,0.03225806451612903,0.9193548387096774,False,186,0.5645161290322581
inner,240,AMZN,AR1,2018-05,197,0.5060988323603002,0.021595862986706675,0.2512301392310005,0.5040658882402003,0.9204545454545454,0.09174311926605505,0.9137055837563451,False,197,0.6243654822335025
outer,30,AAPL,AR0,2018-06,1498,0.5273976023976024,0.05580008588733884,0.2495164382085023,0.5313472242043671,0.43116883116883115,0.6236263736263736,0.4045393858477971,False,1498,0.7790387182910548
outer,30,AAPL,AR0,2018-07,969,0.4934642765245733,-0.013088352947224798,0.25080417186323434,0.5088236555450725,0.4449438202247191,0.5419847328244275,0.4520123839009288,False,969,0.7812177502579979
outer,30,AAPL,AR0,2018-08,1370,0.5265962036238137,0.06609076823768024,0.2502336168629919,0.559613891285591,0.2236842105263158,0.8295081967213115,0.2,False,1370,0.845985401459854
outer,30,AAPL,AR1,2018-06,1498,0.5071053946053946,0.014207342721069669,0.25049327528024873,0.5235157699443413,0.5155844155844156,0.49862637362637363,0.5086782376502003,False,1498,0.7790387182910548
outer,30,AAPL,AR1,2018-07,969,0.5041298567630157,0.008286766616393474,0.2503732145130318,0.5169011064413758,0.44719101123595506,0.5610687022900763,0.44272445820433437,False,969,0.7812177502579979
outer,30,AAPL,AR1,2018-08,1370,0.5063308886971527,0.01314081145413932,0.2539674527174724,0.5187618636755824,0.3618421052631579,0.6508196721311476,0.3562043795620438,False,1370,0.845985401459854
outer,30,AMZN,AR0,2018-06,461,0.49842802816371096,-0.0040717892899798745,0.24899951109365265,0.5438551903309613,0.8162393162393162,0.18061674008810572,0.8177874186550976,False,461,0.8134490238611713
outer,30,AMZN,AR0,2018-07,381,0.5399332376958729,0.08535798114679202,0.2466519974847835,0.5497406753476054,0.7157360406091371,0.3641304347826087,0.6771653543307087,False,381,0.8031496062992126
outer,30,AMZN,AR0,2018-08,449,0.5122148193014335,0.02475463685628245,0.250406587545468,0.5063799717343024,0.6141732283464567,0.41025641025641024,0.6035634743875279,False,449,0.8752783964365256
outer,30,AMZN,AR1,2018-06,461,0.48515569110282764,-0.029827641040961302,0.2612807211727318,0.4714221167965661,0.5341880341880342,0.43612334801762115,0.5488069414316703,False,461,0.8134490238611713
outer,30,AMZN,AR1,2018-07,381,0.5266773339218715,0.05450822670280037,0.25227343148379483,0.5348708894283822,0.6294416243654822,0.42391304347826086,0.6036745406824147,False,381,0.8031496062992126
outer,30,AMZN,AR1,2018-08,449,0.5144155057540885,0.028866584844158844,0.26089164987210434,0.49850595598627095,0.5826771653543307,0.4461538461538462,0.5701559020044543,False,449,0.8752783964365256
outer,60,AAPL,AR0,2018-06,1404,0.5191790129358658,0.04172121452712792,0.24982361514087503,0.5517505833243487,0.3202170963364993,0.7181409295352323,0.301994301994302,False,1404,0.7642450142450142
outer,60,AAPL,AR0,2018-07,905,0.4889911303872153,-0.02228146165878234,0.2530691689925255,0.47074639549876923,0.41228070175438597,0.5657015590200446,0.42320441988950275,False,905,0.7657458563535912
outer,60,AAPL,AR0,2018-08,1259,0.5460258530225459,0.09859623534127006,0.2502531955548987,0.5985520611399073,0.32985658409387225,0.7621951219512195,0.29388403494837173,False,1259,0.8324066719618745
outer,60,AAPL,AR1,2018-06,1404,0.5177468931748508,0.03976338000566688,0.24996082750021792,0.5408794924111893,0.2903663500678426,0.7451274362818591,0.27350427350427353,False,1404,0.7642450142450142
outer,60,AAPL,AR1,2018-07,905,0.4957239284179268,-0.00869406676399712,0.25189919679141604,0.4930107841988044,0.4057017543859649,0.5857461024498887,0.40994475138121544,False,905,0.7657458563535912
outer,60,AAPL,AR1,2018-08,1259,0.5301870342692997,0.0631869276794294,0.25256967606175973,0.5410585005458921,0.3428943937418514,0.717479674796748,0.3193010325655282,False,1259,0.8324066719618745
outer,60,AMZN,AR0,2018-06,440,0.541747613377619,0.08619515574625994,0.24854145529110253,0.5521610160640054,0.40329218106995884,0.6802030456852792,0.3659090909090909,False,440,0.8045454545454546
outer,60,AMZN,AR0,2018-07,360,0.5224235315904812,0.044963791085994874,0.25423143373181173,0.5447081700052471,0.4861878453038674,0.5586592178770949,0.4638888888888889,False,360,0.7916666666666666
outer,60,AMZN,AR0,2018-08,417,0.4872856442920137,-0.02498521508310763,0.2500468794008598,0.5244487996080353,0.4076923076923077,0.5668789808917197,0.4172661870503597,False,417,0.8657074340527577
outer,60,AMZN,AR1,2018-06,440,0.5365356896659773,0.07617986141760032,0.2514399288695511,0.5358567817676673,0.38271604938271603,0.6903553299492385,0.35,False,440,0.8045454545454546
outer,60,AMZN,AR1,2018-07,360,0.5113429426834162,0.02276471713804479,0.252670591975541,0.5195839377758573,0.4696132596685083,0.553072625698324,0.4583333333333333,False,360,0.7916666666666666
outer,60,AMZN,AR1,2018-08,417,0.4867466927976482,-0.025822960998207255,0.2511806921594152,0.5028662420382166,0.43846153846153846,0.535031847133758,0.44844124700239807,False,417,0.8657074340527577
outer,120,AAPL,AR0,2018-06,1190,0.5845707603932521,0.1781688249290033,0.24444274326029158,0.6170447063097427,0.41823899371069184,0.7509025270758123,0.33949579831932775,False,1190,0.7218487394957983
outer,120,AAPL,AR0,2018-07,764,0.45436850618197766,-0.09343608145279135,0.2556570033562152,0.4630075115826411,0.34656084656084657,0.5621761658031088,0.39267015706806285,False,764,0.7225130890052356
outer,120,AAPL,AR0,2018-08,992,0.4893271907092811,-0.019810748054231418,0.2547780441520152,0.4904501391688262,0.4289855072463768,0.5496688741721855,0.43548387096774194,False,992,0.7872983870967742
outer,120,AAPL,AR1,2018-06,1190,0.5781054878187226,0.16833995115008654,0.24832286084248953,0.6119672819744341,0.3836477987421384,0.7725631768953068,0.31092436974789917,False,1190,0.7218487394957983
outer,120,AAPL,AR1,2018-07,764,0.4606807029086822,-0.08141595797613405,0.2512809916568382,0.464916248595005,0.3306878306878307,0.5906735751295337,0.3704188481675393,False,764,0.7225130890052356
outer,120,AAPL,AR1,2018-08,992,0.4991457913427392,-0.0016256458015356126,0.2518063261023535,0.5133458105384393,0.372463768115942,0.6258278145695364,0.37298387096774194,False,992,0.7872983870967742
outer,120,AMZN,AR0,2018-06,377,0.49728641456582634,-0.013219944361919141,0.24414664316788381,0.5675624416433239,0.9553571428571429,0.0392156862745098,0.9575596816976127,False,377,0.7718832891246684
outer,120,AMZN,AR0,2018-07,313,0.47744517635287254,-0.05600356074267161,0.2607697536215718,0.4666472108730093,0.7761194029850746,0.1787709497206704,0.8019169329073482,False,313,0.7603833865814696
outer,120,AMZN,AR0,2018-08,333,0.46080919677515675,-0.0887109869282027,0.24997341804023368,0.4286727381307853,0.7157360406091371,0.20588235294117646,0.7477477477477478,False,333,0.8318318318318318
outer,120,AMZN,AR1,2018-06,377,0.5019111811391223,0.012295789144721018,0.2468955747824385,0.523984593837535,0.9776785714285714,0.026143790849673203,0.9761273209549072,False,377,0.7718832891246684
outer,120,AMZN,AR1,2018-07,313,0.5111523388643375,0.059934246995572545,0.2544424864985086,0.4620195113816393,0.9776119402985075,0.0446927374301676,0.9648562300319489,False,313,0.7603833865814696
outer,120,AMZN,AR1,2018-08,333,0.49957076739325174,-0.0014317494725550456,0.24843622873240637,0.4585697223051658,0.9035532994923858,0.09558823529411764,0.9039039039039038,False,333,0.8318318318318318
outer,240,AAPL,AR0,2018-06,731,0.5083554438393147,0.018037255257709432,0.2525637085196375,0.46564337693369956,0.2995391705069124,0.7171717171717171,0.292749658002736,False,731,0.5471956224350205
outer,240,AAPL,AR0,2018-07,438,0.4377092400401741,-0.12488369472870198,0.25038419962004765,0.4580787579511215,0.4870689655172414,0.3883495145631068,0.545662100456621,False,438,0.5296803652968036
