symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage,news_coverage,dates
AAPL,forward,outer,title,192,0.527056277056277,0.051405265158515547,0.24701071491182833,0.5260416666666666,0.5238095238095238,0.5303030303030303,0.5052083333333334,1.0,0.9947916666666666,64
AAPL,forward,outer,price,192,0.5263347763347763,0.05009974174016351,0.25359548725862835,0.515625,0.49206349206349204,0.5606060606060606,0.4739583333333333,1.0,0.9947916666666666,64
AAPL,forward,outer,old_integrated,192,0.5093795093795094,0.018012089209605342,0.24831718274877831,0.53125,0.5793650793650794,0.4393939393939394,0.5729166666666666,1.0,0.9947916666666666,64
AAPL,forward,outer,old_body,192,0.487012987012987,-0.02522671612121095,0.25283771342494515,0.5208333333333334,0.5952380952380952,0.3787878787878788,0.6041666666666666,1.0,0.9947916666666666,64
AAPL,forward,outer,old_semantic,192,0.5003607503607503,0.000685701245759728,0.2539163292175713,0.5052083333333334,0.5158730158730159,0.48484848484848486,0.515625,1.0,0.9947916666666666,64
AAPL,forward,outer,body,192,0.5003607503607503,0.000685701245759728,0.2535472128318294,0.5052083333333334,0.5158730158730159,0.48484848484848486,0.515625,1.0,0.9947916666666666,64
AAPL,forward,outer,semantic,192,0.5263347763347763,0.05009974174016351,0.25359548725862835,0.515625,0.49206349206349204,0.5606060606060606,0.4739583333333333,1.0,0.9947916666666666,64
AAPL,forward,outer,joint_body,192,0.5245310245310246,0.0469733357340772,0.2658026904586517,0.5416666666666666,0.5793650793650794,0.4696969696969697,0.5625,1.0,0.9947916666666666,64
AAPL,forward,outer,joint_semantic,192,0.5263347763347763,0.05009974174016351,0.25359548725862835,0.515625,0.49206349206349204,0.5606060606060606,0.4739583333333333,1.0,0.9947916666666666,64
AAPL,forward,outer,static,192,0.5263347763347763,0.05009974174016351,0.25359548725862835,0.515625,0.49206349206349204,0.5606060606060606,0.4739583333333333,1.0,0.9947916666666666,64
AAPL,forward,outer,gate,192,0.5266955266955267,0.050728119721132635,0.25359209244825914,0.5208333333333334,0.5079365079365079,0.5454545454545454,0.4895833333333333,1.0,0.9947916666666666,64
AAPL,forward,outer,price_cal,192,0.5277777777777778,0.05291406415614403,0.2483940470070738,0.5364583333333334,0.5555555555555556,0.5,0.5364583333333334,1.0,0.9947916666666666,64
AAPL,forward,outer,static_cal,192,0.5277777777777778,0.05291406415614403,0.2483940470070738,0.5364583333333334,0.5555555555555556,0.5,0.5364583333333334,1.0,0.9947916666666666,64
AAPL,forward,outer,gate_cal,192,0.5353535353535354,0.06729747117826079,0.2483974291926052,0.5416666666666666,0.5555555555555556,0.5151515151515151,0.53125,1.0,0.9947916666666666,64
