group,symbol,month,method,C,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AAPL|R0,AAPL,2018-07,R0,0.01,60,0.5512820512820513,0.09985744825254635,0.24882775673199287,0.1583611263429353,0.4,0.65,False
AAPL|R0,AAPL,2018-07,R0,0.1,60,0.5384615384615384,0.07546295692968115,0.2484541238599816,0.15761188828496442,0.38333333333333336,0.65,False
AAPL|R0,AAPL,2018-07,R0,1.0,60,0.5622710622710623,0.12326934324804635,0.25257126305587874,0.16053168752984429,0.36666666666666664,0.65,False
AAPL|R1,AAPL,2018-07,R1,0.01,60,0.586080586080586,0.17216117216117216,0.24446613983237067,0.16952337600547288,0.35,0.65,False
AAPL|R1,AAPL,2018-07,R1,0.1,60,0.641025641025641,0.26920937709142984,0.2402622751771922,0.16291676484778272,0.5166666666666667,0.65,False
AAPL|R1,AAPL,2018-07,R1,1.0,60,0.6043956043956045,0.19928486356118832,0.24240342849309598,0.16411812330042008,0.5166666666666667,0.65,False
AAPL|R2,AAPL,2018-07,R2,0.01,60,0.575091575091575,0.1473324397198537,0.23921657337996985,0.14920401220207513,0.38333333333333336,0.65,False
AAPL|R2,AAPL,2018-07,R2,0.1,60,0.6666666666666666,0.3195816569607349,0.2311332868843767,0.13591263287528507,0.55,0.65,False
AAPL|R2,AAPL,2018-07,R2,1.0,60,0.6556776556776557,0.301227212573792,0.23045806346294198,0.1409882324274969,0.5833333333333334,0.65,False
AAPL|R0,AAPL,2018-08,R0,0.01,69,0.5277777777777778,0.05121969142940493,0.23840409450057107,0.21466701650418646,0.6521739130434783,0.7391304347826086,False
AAPL|R0,AAPL,2018-08,R0,0.1,69,0.5555555555555556,0.10150384378451047,0.2294482937430287,0.20278701644006694,0.6376811594202898,0.7391304347826086,False
AAPL|R0,AAPL,2018-08,R0,1.0,69,0.5457516339869282,0.08291575195885001,0.22780397160256885,0.20188755085782184,0.6231884057971014,0.7391304347826086,False
AAPL|R1,AAPL,2018-08,R1,0.01,69,0.5081699346405228,0.014806384278366074,0.2338478164075101,0.20709761110464317,0.6231884057971014,0.7391304347826086,False
AAPL|R1,AAPL,2018-08,R1,0.1,69,0.5849673202614378,0.16011904396842466,0.22189551634367582,0.1943017231240457,0.6811594202898551,0.7391304347826086,False
AAPL|R1,AAPL,2018-08,R1,1.0,69,0.6127450980392157,0.21004201260420147,0.21872420414696947,0.188655959581471,0.6666666666666666,0.7391304347826086,False
AAPL|R2,AAPL,2018-08,R2,0.01,69,0.488562091503268,-0.020456296511187223,0.23330845195534497,0.21776203960090013,0.5942028985507246,0.7391304347826086,False
AAPL|R2,AAPL,2018-08,R2,0.1,69,0.5473856209150327,0.08929715913623683,0.22548782614533228,0.18625848603085393,0.6811594202898551,0.7391304347826086,False
AAPL|R2,AAPL,2018-08,R2,1.0,69,0.5751633986928104,0.14002800840280097,0.22389633740760106,0.21047763801312422,0.6666666666666666,0.7391304347826086,False
AMZN|R0,AMZN,2018-03,R0,0.01,62,0.39470899470899473,-0.2733101380504877,0.2607383342894865,0.17291587974813177,0.8225806451612904,0.43548387096774194,False
AMZN|R0,AMZN,2018-03,R0,0.1,62,0.45185185185185184,-0.11148872005381641,0.2984807309805408,0.21050566366003792,0.7580645161290323,0.43548387096774194,False
AMZN|R0,AMZN,2018-03,R0,1.0,62,0.3751322751322751,-0.24881561069936012,0.3231248191864623,0.2727574440346048,0.5483870967741935,0.43548387096774194,False
AMZN|R1,AMZN,2018-03,R1,0.01,62,0.42328042328042326,-0.18688841543883614,0.2672571411421581,0.15002100126869866,0.7903225806451613,0.43548387096774194,False
