symbol,period,news_scope,method,n,BA,MCC,Brier,ECE10,pred_up,up_rate,constant
AMZN,test,no_news,R1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,R2,95,0.5188386524822695,0.046206571841285494,0.2558336804062166,0.13322823280071522,0.7894736842105263,0.49473684210526314,False
AMZN,test,no_news,S2,95,0.5804521276595744,0.16781574348451028,0.2317502507634674,0.13571141710014215,0.6421052631578947,0.49473684210526314,False
AMZN,test,no_news,S3,95,0.5394503546099291,0.0907853264224108,0.23707524281588807,0.09453200242333945,0.7473684210526316,0.49473684210526314,False
AMZN,test,no_news,llm,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F2,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F3,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F4,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F5,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,F6,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,P0_strict,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,P1_strict,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,P2_strict,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,no_news,P3_strict,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.15503785597706152,0.6631578947368421,0.49473684210526314,False
AMZN,test,news,R0,84,0.4125934445083381,-0.17376706217554452,0.29298271206470383,0.22717135348752832,0.5238095238095238,0.5595238095238095,False
AMZN,test,news,R1,84,0.4580218516388729,-0.08373988316725563,0.30538942739249597,0.1908569986325297,0.5476190476190477,0.5595238095238095,False
AMZN,test,news,R2,84,0.5025876940770557,0.005501402348658202,0.26639994078372625,0.10853989442854034,0.6785714285714286,0.5595238095238095,False
AMZN,test,news,S2,84,0.48993674525589426,-0.020266847105461557,0.29187175385218916,0.1710534580694324,0.5833333333333334,0.5595238095238095,False
AMZN,test,news,S3,84,0.47354801610120756,-0.054083074883079424,0.27214854581585246,0.14668088787621386,0.6190476190476191,0.5595238095238095,False
AMZN,test,news,llm,84,0.44968372627947095,-0.18075647986539942,0.24813716699929503,0.09924890796059219,0.9166666666666666,0.5595238095238095,False
AMZN,test,news,F0,84,0.4367452558941921,-0.12575247920598617,0.2957066702047056,0.22064362493924802,0.5238095238095238,0.5595238095238095,False
AMZN,test,news,F1,84,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.13944843442081248,0.25,0.5595238095238095,False
AMZN,test,news,F2,84,0.5333525014376078,0.06630585267224726,0.28293227466514725,0.16711984204596564,0.5238095238095238,0.5595238095238095,False
AMZN,test,news,F3,84,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.13944843442081248,0.25,0.5595238095238095,False
AMZN,test,news,F4,84,0.5215641173087981,0.04584501957215168,0.2644638533577678,0.11200016316566466,0.32142857142857145,0.5595238095238095,False
AMZN,test,news,F5,84,0.5215641173087981,0.04584501957215168,0.2644638533577678,0.11200016316566466,0.32142857142857145,0.5595238095238095,False
AMZN,test,news,F6,84,0.45715928694652097,-0.08946561129828609,0.26769052945825456,0.1086220865402832,0.6547619047619048,0.5595238095238095,False
AMZN,test,news,P0_strict,84,0.44968372627947095,-0.18075647986539942,0.24813716699929503,0.09924890796059219,0.9166666666666666,0.5595238095238095,False
AMZN,test,news,P1_strict,84,0.46808510638297873,-0.17075367167606953,0.24868769277964853,0.020584924871496237,0.9642857142857143,0.5595238095238095,False
AMZN,test,news,P2_strict,84,0.430132259919494,-0.14853786341377145,0.2494836689296808,0.055797714987526406,0.6785714285714286,0.5595238095238095,False
AMZN,test,news,P3_strict,84,0.430132259919494,-0.14853786341377145,0.24952491720867864,0.05572958468561223,0.6785714285714286,0.5595238095238095,False
AMZN,validation,no_news,R0,53,0.436950146627566,-0.12446786607714488,0.26085065894600173,0.19528807453378186,0.5283018867924528,0.41509433962264153,False
AMZN,validation,no_news,R1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,R2,53,0.4897360703812317,-0.02693942087882829,0.27039553383921866,0.1962018965427823,0.8301886792452831,0.41509433962264153,False
AMZN,validation,no_news,S2,53,0.5960410557184751,0.19985215407713416,0.25671017325778506,0.12966546971921056,0.660377358490566,0.41509433962264153,False
AMZN,validation,no_news,S3,53,0.6414956011730205,0.3037415944026213,0.24676270760145066,0.14005993383375276,0.6981132075471698,0.41509433962264153,False
AMZN,validation,no_news,llm,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F0,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F1,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F2,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F3,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F4,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F5,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,F6,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,P0_strict,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,P1_strict,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,P2_strict,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,no_news,P3_strict,53,0.49193548387096775,-0.015897613773829884,0.26394368251989403,0.146932156030269,0.5094339622641509,0.41509433962264153,False
AMZN,validation,news,R0,73,0.5551529790660226,0.1133590266897589,0.262782099399345,0.1798101432100276,0.6712328767123288,0.3698630136986301,False
AMZN,validation,news,R1,73,0.5334138486312399,0.07031061003186734,0.2776554103630293,0.2651556154391604,0.6986301369863014,0.3698630136986301,False
AMZN,validation,news,R2,73,0.537842190016103,0.08644673229329387,0.2844452301592115,0.20655821180304437,0.7671232876712328,0.3698630136986301,False
AMZN,validation,news,S2,73,0.6107085346215781,0.2361351161488559,0.26653569420681705,0.2054669582573363,0.7123287671232876,0.3698630136986301,False
