phase,symbol,month,method,n,BA,MCC,Brier,pred_up,up_rate,constant
development,AAPL,2018-09,D2,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0.49122807017543857,False
development,AAPL,2018-09,D3,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0.49122807017543857,False
development,AAPL,2018-09,D4,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.7894736842105263,0.49122807017543857,False
development,AAPL,2018-10,F0,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.855072463768116,0.43478260869565216,False
development,AAPL,2018-10,R1,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.782608695652174,0.43478260869565216,False
development,AAPL,2018-10,F1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.7971014492753623,0.43478260869565216,False
development,AAPL,2018-10,F2,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.8260869565217391,0.43478260869565216,False
development,AAPL,2018-10,F6,69,0.47564102564102567,-0.09315516419063742,0.26433476716613225,0.927536231884058,0.43478260869565216,False
development,AAPL,2018-10,D0,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.782608695652174,0.43478260869565216,False
development,AAPL,2018-10,D1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.7971014492753623,0.43478260869565216,False
