key,cutoff,latest_context_end,observed_bars,missing_bars,open_step,close_step,eligible
AMZN|2018-01-26 14:30:00+00:00,2018-01-26 14:25:00+00:00,2018-01-25 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-26 15:30:00+00:00,2018-01-26 15:25:00+00:00,2018-01-26 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-26 15:30:00+00:00,2018-01-26 15:25:00+00:00,2018-01-26 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-26 16:30:00+00:00,2018-01-26 16:25:00+00:00,2018-01-26 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-26 16:30:00+00:00,2018-01-26 16:25:00+00:00,2018-01-26 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-29 14:30:00+00:00,2018-01-29 14:25:00+00:00,2018-01-26 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-29 14:30:00+00:00,2018-01-29 14:25:00+00:00,2018-01-26 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-29 15:30:00+00:00,2018-01-29 15:25:00+00:00,2018-01-29 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-29 15:30:00+00:00,2018-01-29 15:25:00+00:00,2018-01-29 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-29 16:30:00+00:00,2018-01-29 16:25:00+00:00,2018-01-29 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-29 16:30:00+00:00,2018-01-29 16:25:00+00:00,2018-01-29 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-30 14:30:00+00:00,2018-01-30 14:25:00+00:00,2018-01-29 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-30 14:30:00+00:00,2018-01-30 14:25:00+00:00,2018-01-29 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-30 15:30:00+00:00,2018-01-30 15:25:00+00:00,2018-01-30 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-30 15:30:00+00:00,2018-01-30 15:25:00+00:00,2018-01-30 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-30 16:30:00+00:00,2018-01-30 16:25:00+00:00,2018-01-30 16:25:00+00:00,512,0,2,49,True
AMZN|2018-01-30 16:30:00+00:00,2018-01-30 16:25:00+00:00,2018-01-30 16:25:00+00:00,512,0,2,49,True
AAPL|2018-01-31 14:30:00+00:00,2018-01-31 14:25:00+00:00,2018-01-30 21:00:00+00:00,512,0,1,48,True
AMZN|2018-01-31 14:30:00+00:00,2018-01-31 14:25:00+00:00,2018-01-30 21:00:00+00:00,512,0,1,48,True
AAPL|2018-01-31 15:30:00+00:00,2018-01-31 15:25:00+00:00,2018-01-31 15:25:00+00:00,512,0,2,49,True
AMZN|2018-01-31 15:30:00+00:00,2018-01-31 15:25:00+00:00,2018-01-31 15:25:00+00:00,512,0,2,49,True
AAPL|2018-01-31 16:30:00+00:00,2018-01-31 16:25:00+00:00,2018-01-31 16:25:00+00:00,512,0,2,49,True
