phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
development,AMZN,A01,A1,5,-0.03061953514236887,0.05926069208171074,-0.0666467743329309,-0.017594960681366355
development,AMZN,E01,E1,5,-0.009075545540796957,0.08333333333333337,-0.06601392858467997,-0.017770191315016125
development,AMZN,MODERN,F2,5,0.04332249781468533,0.12764845963706514,-0.08384979905170364,-0.02271100027874111
development,AMZN,CHRONOS_LR,HISTORY_LR,5,-0.2380072019179944,0.0445105042016807,-0.042796532075441436,0.02693420203056443
development,AMZN,CHRONOS_LR,R1,5,-0.13050825734107074,0.11534948229566275,-0.034532069693702906,-0.001207884124843603
later,AAPL,E01,A01,1,-0.012499999999999983,0.026361468204240054,-0.0018010347059922763,0.003143790944611302
later,AAPL,E1,A1,1,-0.023529411764705882,0.03335784313725487,-0.004793450502611803,0.006709438869459367
later,AAPL,A01,A1,1,-0.06381582848127874,0.032267463719076586,-0.05266558075883978,-0.011157400054812692
later,AAPL,E01,E1,1,-0.0708688634214837,0.03633935194276156,-0.054118361221315345,-0.010117316997357878
later,AAPL,MODERN,F2,1,-0.1084768028024607,0.06491366182227996,-0.04666115940392924,-0.001679205783174045
later,AAPL,CHRONOS_LR,HISTORY_LR,1,-0.09255897048049108,0.06773169112424124,-0.16044602878151137,-0.041552826933632644
later,AAPL,CHRONOS_LR,R1,1,-0.08883091629152655,0.02636600005270909,-0.013010563550522197,0.012426282758109718
later,AAPL,E01,A01,5,-0.012048192771084335,0.026388071043946477,-0.0015140465210426008,0.0029140532147314837
later,AAPL,E1,A1,5,-0.028313179228123493,0.038888888888888876,-0.004984622848385334,0.0073080284583967115
later,AAPL,A01,A1,5,-0.06593551700940019,0.03217451183199919,-0.05535800576712666,-0.011573930532546135
later,AAPL,E01,E1,5,-0.08516545490602094,0.04304894811668348,-0.05810030115921778,-0.010172145602656744
later,AAPL,MODERN,F2,5,-0.12844811207311205,0.08182002464971457,-0.05637519391685037,0.003381238447298195
later,AAPL,CHRONOS_LR,HISTORY_LR,5,-0.08008473611829874,0.05774739923500999,-0.16541616307066317,-0.04117059382106257
later,AAPL,CHRONOS_LR,R1,5,-0.09577996195307545,0.024575060467671224,-0.01249358550748774,0.013856313863858633
later,AMZN,E01,A01,1,0.0,0.0,-0.000697623776258795,0.0011781523280299578
