phase,symbol,subset,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
later,AAPL,news,E1,178,0.5616395099153719,0.14076789415735066,0.2940225986473647,0.541871921182266,0.8045977011494253,0.31868131868131866,0.7415730337078652,False
later,AAPL,news,MODERN,178,0.5451559934318555,0.10546894633210954,0.26171966569726474,0.5738284703801945,0.8045977011494253,0.2857142857142857,0.7584269662921348,False
later,AAPL,news,HISTORY_LR,178,0.5163572060123784,0.032739233281760725,0.36065457434998266,0.48793735000631555,0.4942528735632184,0.5384615384615384,0.47752808988764045,False
later,AAPL,news,CHRONOS_LR,178,0.5054945054945055,0.0734940697113326,0.2556037005114354,0.5077680939749905,1.0,0.01098901098901099,0.9943820224719101,False
later,AMZN,news,F0,84,0.4367452558941921,-0.12575247920598617,0.2957066702047056,0.4341575618171363,0.46808510638297873,0.40540540540540543,0.5238095238095238,False
later,AMZN,news,R1,84,0.4580218516388729,-0.08373988316725563,0.30538942739249597,0.42093156986774,0.5106382978723404,0.40540540540540543,0.5476190476190477,False
later,AMZN,news,F1,84,0.5543415756181713,0.12460403068253721,0.2757204114857473,0.4876365727429557,0.2978723404255319,0.8108108108108109,0.25,False
later,AMZN,news,F2,84,0.5333525014376078,0.06630585267224726,0.28293227466514725,0.5376653248993675,0.5531914893617021,0.5135135135135135,0.5238095238095238,False
later,AMZN,news,F6,84,0.45715928694652097,-0.08946561129828609,0.26769052945825456,0.41920644048303624,0.6170212765957447,0.2972972972972973,0.6547619047619048,False
later,AMZN,news,A01,84,0.6066705002875216,0.21482857931789248,0.25397682231899854,0.5704427832087406,0.5106382978723404,0.7027027027027027,0.4166666666666667,False
later,AMZN,news,A1,84,0.5411155836687751,0.08223116733755031,0.2876150441705392,0.518688901667625,0.5957446808510638,0.4864864864864865,0.5595238095238095,False
later,AMZN,news,E01,84,0.6066705002875216,0.21482857931789248,0.2544319102426804,0.5675675675675675,0.5106382978723404,0.7027027027027027,0.4166666666666667,False
later,AMZN,news,E1,84,0.5304772857964348,0.06079744942280203,0.28943401303285166,0.5135135135135135,0.574468085106383,0.4864864864864865,0.5476190476190477,False
later,AMZN,news,MODERN,84,0.5738930419781484,0.14677671926652186,0.2489996691571092,0.5618171362852215,0.5531914893617021,0.5945945945945946,0.4880952380952381,False
later,AMZN,news,HISTORY_LR,84,0.5284646348476135,0.05666916887299833,0.29251658745762804,0.45600920069005174,0.48936170212765956,0.5675675675675675,0.4642857142857143,False
later,AMZN,news,CHRONOS_LR,84,0.5034502587694077,0.006922446149029845,0.257170537919341,0.43415756181713633,0.574468085106383,0.43243243243243246,0.5714285714285714,False
later,AMZN,no_news,F0,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,R1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,F1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,F2,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,F6,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,A01,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,A1,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
later,AMZN,no_news,E01,95,0.5596187943262412,0.12613553931990254,0.24290844019334246,0.6183510638297872,0.723404255319149,0.3958333333333333,0.6631578947368421,False
